,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600309.SH,X600011.SH,X600010.SH,X600660.SH,X601898.SH,X002466.SZ,X600188.SH,X600688.SH,X601991.SH,X601600.SH,X600362.SH,X600795.SH,X600886.SH,X600516.SH,X002460.SZ,X600547.SH,X300072.SZ,X000898.SZ,X600027.SH,X600352.SH,X600111.SH,X000553.SZ,X600176.SH,X601992.SH,X000786.SZ,X600299.SH,X600426.SH,X000709.SZ,X000408.SZ,X002110.SZ,X000792.SZ,X600315.SH,X600808.SH,X000883.SZ,X000830.SZ,X600801.SH,X601158.SH,X000932.SZ,X002271.SZ,X601699.SH,X600219.SH,X600489.SH,X000539.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.337189893058625,0,0,0,-0.0211406522645036,0,0,0,0,0,0.0326927448484559,0,0,0.0959065972207351,0,0,0,0.0749102598597048,0,0.035478788921966,-0.0153009705839676,0,0,0.0219358473501524,0,0,0,0,0,0,0,0,0,0,0.0510684704630934,0.0587580467351281,0,0,0.042123645213931,0,0,0,0,0.0663997739775673,0,0,0,0,0.00403202636040813,0.0211411092189695,0,0,0,0,0,0
X600028.SH,0.291350842455444,0,0.230360006879139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0365551574806504,0,-0.06816660595559,0,0,0,0,0,-0.128510856772636,-0.114525919158852,0,0,-0.0224672532014405,0,0,0,0,0.105739374560525,0,0,0,0,0,0,0,0,0.0211267995679224,0,0,0,0,0.0129073592770801,0.0172545808012272,0,-0.0840819541115179,0,0.143867563947778,0,0
X601088.SH,0,0.155045757148128,0,0.104108268038041,0,0.0236467947791778,-0.0415135788592928,0,0.242492540574964,0,0.0560340918900338,0.461992475219408,0,0,0,0,0,0,0.0607323599642487,0,0,0,0,0,0,0,0,0,-0.000870439280549935,-0.0287014910789221,0,0,0,0,-0.179793463937269,0,0.0123331172479801,0,0,0.022604808383565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600585.SH,0,0,0.207203782599362,0,0,0.0368088872389679,0,0,-0.148080280433428,0,0.0544802304840705,0,0.363320617175682,0,0,0,0,0,0,0,0,0,0,1.38777878078145e-17,0,0,-0.101203382674689,0,0,0.111614286454388,0,0,0,0,0,0,0.0821559783797347,0,0,0.159057795816882,0.366960620093535,0,0,0,0,0,0,0,0,-0.0200163064161866,0.0347400233558935,0,0.00766721007355856,0,0,0,0
X600019.SH,0,0,0,0,0,0.136081332084829,0,0.0100638496764603,0,0,0,0.385900999403937,0,0,0,0,0,0,-0.0624394090809043,0,0,0,0,0,0,0,-0.0667843644819062,0.0340086497359424,0,0,0,0,0,0,0,0,0,0.223125675957766,0,0,0,0,-2.16840434497101e-19,0,0.023451873072943,0,0,0,0,-0.00539992392089538,0.055302830651441,0,0,0,0.0353823215490559,0,0
X600309.SH,0,0,0.272021108285065,0,0,0,0,0.130749232677504,0,0,-0.265710142497978,0,0,0,0,0,0,0,0,-0.0579110706072123,0,0,0,0,0,0,0,0,0,0.217392102800933,0.109718462532107,0,-0.127110451550505,0,-0.093815654515293,0,0.0594756143257643,0,0,0.0372429539221998,0,0,0,0,0,0,0,0,0,0.0461973203675491,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0.0163219017490861,0,0,0,0,0,0,0,0,0,0,0.0377907047272232,0.0973988599395541,0.0275497580855362,0.0121990585073998,0,0.183734530854198,0,0,0,0,0,0,0,0,0,0.00595814593580856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00731012944013293,-0.0279542133133555,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.493763548374843,0.374428936556431,0,0,0,0,-0.0925848099469804,0,0.305311999103514,0.274190778238332,0,0.543791509142442,0,0,-0.162054349902005,0,0,0,0,0,0,0,0,0,0,0.255755219257294,0,0,0,0,0,0,0,0,0,0,0,0.0246247289562565,-0.085359047696739,0,0,0,0,0,0
X600660.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.121824268709169,0,-0.306062076784953,0,0,0,0,0,0,0.0864103833282759,0,0,0,0.0424850934707359,0.163054969870461,-0.232255900845197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0335747255034754,0.0845187551597417,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0.0120508206284007,0,0,0,0,0.0579430841740856,0,0,0.0942748657847242,0,0,0,0.170863233543124,0,0,0,0,0,0,0,0,0.0838303668248874,0.121501204693803,0,0.0129058122152154,0,0.0386152738822968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0582424326027669,0,-0.00289584342059015,0,0,0,0,0,0
X002466.SZ,0,0,0.00491039477418251,0.147682576461811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.405579179382751,0,3.46944695195361e-18,0,0,0,0.396120365440534,0,0,0,0,0,0,-0.178502310018789,0,0,0.057827536429745,0,-0.443364357737893,0,0,-0.416356833462922,0,0,0.118661786352303,0,0,0,0,0,0.0798853250810529,-0.0351158240237173,0,0,0,0,0,0
