,X601857.SH,X600028.SH,X600585.SH,X601088.SH,X600309.SH,X600547.SH,X600019.SH,X000708.SZ,X600011.SH,X002460.SZ,X002271.SZ,X600801.SH,X600886.SH,X600660.SH,X600010.SH,X601898.SH,X000792.SZ,X601600.SH,X600362.SH,X600688.SH,X600188.SH,X000786.SZ,X600352.SH,X601991.SH,X600489.SH,X600795.SH,X600027.SH,X601992.SH,X600111.SH,X600299.SH,X600176.SH,X002075.SZ,X000401.SZ,X600426.SH,X000723.SZ,X002466.SZ,X600529.SH,X600126.SH,X600486.SH,X002353.SZ,X601158.SH,X000932.SZ,X600219.SH,X000898.SZ,X600315.SH,X600516.SH,X600612.SH,X000883.SZ,X000553.SZ,X000709.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.31599291275439,0,0,0,0,0,0,0.0585233874053054,0,0,0,0,0.0639261828112774,0,0.0625952134858752,0,0,0,0,0,0.0198274830256311,0,0,0,0,0,0,0,0,0.0892776850980315,0.065289285589982,0,0,0,0.017571505448292,-0.0269135867828323,0,0.0154882957846015,-3.46944695195361e-18,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0.00938841842964745,0.000643673854427678,0.0112624734459048,0,0,0,0,0,0
X600028.SH,0,0,0,0,-0.0894410386436476,0,0,0,0.080420858170962,0.0337860874090167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0391009030607191,0,0,0,0.0252813949547635,0,0,0,0.0834131348910196,0,0,0,0,0,0.0712638599114203,0,0,0.0414969566599434,0,0,0.00576681840126127,0.00516113115862105,0,0,0,0,0,0
X600585.SH,0,0,0,0.0266141087869465,0.0399708004383119,0,0,0,0,0,0,0.524006940152264,0,0,0,0,0.0207849458486283,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,-0.0103470732793884,0,0,0,0.0452821633515767,0,0,0,0,0,0,0,0,-0.0283702731173598,0,0,0,0,0,-0.0455180728615017,0.0106825154081922,0.00349837332554791,0,0,0,0,0,0
X601088.SH,0,0,0.365292585328042,0,1.73472347597681e-18,0,0,0,0.123571003844535,0,-0.221147906189325,0,0,0,0,0,0,0,0.133225709467986,0,0,0,0,0,0,0,0,0.136368574798274,0,0,0,-0.137013645332795,0,0,0,0.0552219507982086,0.00446882610310201,-0.0082316215173842,0,0,0,0,0,0,0,0,0,0,-0.0129030262163848,0,0,0.000173850578219281,0.0202240592373599,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015010606745706,0,0,0,0,0,0,0.0717433660905333,0.0943194981265653,-0.0137663766111806,0,0.056866956394771,0.0330433639605955,0.0963956932900865,0.0318922090501942,0,0,0.0979902986108594,0,0,0,0,0,0,0.104636576258521,0,0,0,0,0.0175395487635363,0.0077436029665044,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01804036415613,0,0,0,0,0,0.0209898240762306,0,0.130439038446235,0,0,0.622122514914738,0,0,0,0,0,0,0,0,0,0,0.0498529429631731,-0.0192929230782087,0.00747813625668345,0,-0.0268310825980969,0,0,0,0,0,0,0.310931568805581,0,0.0170705977055865,0,0,0.0176206576025867,0.019227614900357,0,0,0,0,0,0
X600019.SH,0,0,0,0.100564765275659,0,0,0,0,0,0,0,0,0,0.0999366271370706,0,0,0,0,0.0745785638448633,0.0765408410682133,0,0.124300278332275,0,0,0,0,0,0,0,0,0.130593602018507,-0.0101542502413192,0,0,0,0,0.0538443134249226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00200118739015238,0,0,0,0,0,0
X000708.SZ,0,0,0,0,0,0,0,0,0,0,0.14552219549208,0,0,0.256879931613451,0,0,0.213483848481711,0,0,0,0,0,0,0,0.0964559316964446,0,0,0,-0.325110572665705,0,0.130319129096249,0.0444915052293109,0,0,0,0.0515655281651611,0,0.0307730597666551,0.135532505751202,0,0,0,0,0,0,0,0,0,-0.0727282984703158,0,-0.0836776269407765,0.0038130118054511,-0.0456846590542718,0,0,0,0,0,0
X600011.SH,0.0266420253412251,0,0,0.197886232259946,0,0,0,0,0,0,0.0195577768153116,0,0,0,0,0,0,0,0,0.0453971070840089,0,0,0,0,0,0,0.34000635883892,0,0,0.18554703927147,0,0,0,0.0305223392054328,0,-0.103528199411904,0.00424204733998902,-0.0361732527789551,0,0,0,0,0,0,0.0221794843714736,0,0.193094436926786,0,0.119329370916105,0,0,0,0.0201556885409045,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0,0,0.094509235305781,0,0,0.441036983623403,0,0,0,0,0,-0.0637877398501716,0,0.0257928501793664,0,0,0,0,0,0,0,0,0,0.0647111373397937,0,0,0,0.163410965809174,0.282677320628265,-0.0538512870724519,0,0.154495901393995,0,0,0,0,0,0,0,0,0,0,0.057005637646965,-0.0117694946603711,-0.018292314297144,0,0,0,0,0,0
