,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600585.SH,X600010.SH,X601600.SH,X600309.SH,X600011.SH,X601898.SH,X002466.SZ,X600688.SH,X601992.SH,X600795.SH,X600660.SH,X600188.SH,X600362.SH,X002460.SZ,X601991.SH,X600547.SH,X600111.SH,X300072.SZ,X600516.SH,X000792.SZ,X600886.SH,X000898.SZ,X000709.SZ,X600157.SH,X600027.SH,X600339.SH,X000408.SZ,X600489.SH,X000959.SZ,X000807.SZ,X600219.SH,X000723.SZ,X600808.SH,X600549.SH,X600176.SH,X002271.SZ,X000553.SZ,X600352.SH,X601158.SH,X002092.SZ,X000786.SZ,X000883.SZ,X000983.SZ,X000630.SZ,X600299.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0.0236447850819033,0,0,0,0,0.0304346774510179,0,0,0.0451518103773141,0,0,-4.33680868994202e-19,0,0,0.0412868875422193,0,-0.0227999381119139,0,0,0,0,0,0,0,0.0299876697259301,0,0,0,0,0,-0.0137602757824755,0,0,0,0.0497335204685612,0,0,-0.0172788537495931,-0.0338632421129595,0,0,0,0,0,-0.00547045130567576,0.00665172346172536,0,0,0,0,0,0
X600028.SH,0,0,0,0,0.159905506394699,0,0,0.0266403897795394,0,0,0,0,0,0,0,0.0149026391693414,0,0.0112508063074473,0,0,0,0,-0.0374147709602788,0,0,0,0,0,0,-0.0767390223135856,0,0,-0.0177110615470872,0,0,0,0,0,0,0,-0.021101903779642,0.114874894068199,0,0,0,0,0,0,0,0,-0.000881645829822465,0,0,0,0,0,0,0
X601088.SH,0,0,0,0.106921422886433,0,0,0,-0.0353747167874183,0,0,0,0,0,0.838261820610523,0,0,0,0,0,0,0.0515534063752802,-0.057878231168441,0.0165449802658041,-0.0306506257992738,0,0,0,0,0,0,-0.0451569033684917,0,0,0,0,0,0.000265905075231564,0,-0.0982077135030996,0,0,0,0,0.116263480711488,0,0,0,0,0,0,0,-0.0103151258715127,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0.264628433325953,0.030375344613028,0.151526953041955,0,0.0915653301581271,0,0,0,0,0,0,0,0,0,0,0.00825856148723043,0,0,0,0,0.0354790091105415,0,0,0,0,0,0,0,0,0,0,0.279098927873108,0,0,0,0,0,0,0,0,0,0,0,-0.00642439836042931,-0.011973894187976,-0.0125750117969833,0,0,0,0,0,0,0
X600585.SH,0,0,-0.091538396863484,0,0,0,0,0.261506902246356,0,0,0,0,0.0538022954239968,0,0,0,0,0,0,0,0,0,-0.0889118654963557,-0.149340594784239,0,0,0,0,0,0,0.0604008812499034,0,0,0.135597015418068,0,-0.0893966368789577,0,0,0,0.0847946813724074,0,0,0,-0.0136298680442928,0.00158053732332637,0,0,0,0,0,-0.0121831309396731,0,0,0,0,0,0,0
X600010.SH,0,0,0,0.063933692022881,0,0,0.0131415910648113,0.0356631337665425,0,0,0,0,0,0,0,0,0,0,0,0,0.126486922869602,0,0,0,0,0.154060876369416,0.0795781235431318,0,0,0,0,0,0,0.0682687427783386,0,0.036244280328955,0,0.0975913827758152,0,0,0,0,0,0.198144363304784,-0.0273911464821873,0,0,0,0,0,-0.0208679107613934,0.0398264716938622,0,0,0,0,0,0
X601600.SH,0,0,0,0.0363554105382668,0,0.35068074495768,0,0.0399405144798159,0,0.29530446050682,0.126724374760846,0,0,0,0,0,0,0,0,0,0,0,0.0840287925750946,-0.0101618904786344,0,0,0,0,0,0,0,0,0,0.126082387491986,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,-0.0228765950815005,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.272563605393932,0,0,0,0,0,0.00690631088689705,-0.0719672226128875,0,0,0,0,0,0,0,0,0,0,0,0,1.38777878078145e-17,0,0,0,0,0,0,0.0915995065560335,0,0,0.100410497083366,0,0,0,-0.0117774745555154,0.0220845458000399,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00509586207508802,0,0,0.015367063128061,0,-0.0186388686914247,0,-0.041117801502037,0,0,0,0.098348211347359,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0309791541448145,0.188798842757614,0,0,0,0,0,0,0,0,-0.0155113758893799,0.0265504597665594,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0427126885820331,0,0,0,0,0,0,-0.0218515828204002,0,0,0.239971936918542,0,0,0,0,-0.0343631815633142,0,0,0,0,0,0,0.109003818919223,0,0,0,0,0,0,0,0,0.143707408148786,0.261988335529467,0,0,0,0.00160343714479766,0,0,0,0,0,0
