,X601857.SH,X600028.SH,X600309.SH,X601088.SH,X600585.SH,X002460.SZ,X600660.SH,X000708.SZ,X600019.SH,X002271.SZ,X600547.SH,X000786.SZ,X600176.SH,X002466.SZ,X000301.SZ,X600426.SH,X600362.SH,X600111.SH,X600011.SH,X600886.SH,X601600.SH,X601898.SH,X600010.SH,X600803.SH,X600352.SH,X600486.SH,X002353.SZ,X600188.SH,X601991.SH,X002080.SZ,X600801.SH,X600795.SH,X600489.SH,X600219.SH,X600688.SH,X600299.SH,X300037.SZ,X000723.SZ,X600399.SH,X600027.SH,X000932.SZ,X601168.SH,X600157.SH,X000027.SZ,X002409.SZ,X601992.SH,X300073.SZ,X600516.SH,X000898.SZ,X600549.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,-0.0142845569495053,0,0.0334931695303913,-0.00820600601916941,0,0,0,-0.0101848548726764,0.0223725157775649,0,0.0271420105458383,0,0.0197976326468704,0,0.0183327154713784,0,0,0,0,0,0,0.066907850083937,0,0,0,0,0,0,0,0,0,0,0,0,0,0.072388273457097,0,0,0,0,0,0,0,0,0,-0.0012776264451203,0,0,0,0,0.00325552731373811,0,0
X600028.SH,0,0,0,0,0,0,-0.0340512911721642,0,0,0,0,0,0,-0.00490908679061306,0,0.0565240684843149,0,0,0,0.052125899206572,0,0,0,0,0,0,-0.0163196146213544,0,0,0,0,0,0,0,0,0,0,0.0104932165341102,0.00282630695362159,0,0,0,0,0,0,0,0,0,0.212765919581185,0,0,0,-0.00751728670572388,0,0,0,-0.00249639268997913,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0.168709878220016,0,0,0,0,0.0374243568898478,0.0139680667016223,0,0,0,0,0,0,0,0,0,0.258925171930496,0,0,0,0.0707953139817883,0,0,0,-0.0941911871887538,0,0,0,0,0.0547090992268441,0,0,0,0,0,0,0,0,0,0,0.0621020330588087,0,0.00305797471360471,0.0181004289378549,0,0,0,0.00512450710071781,0,0
X601088.SH,0,0,0,0,0,-0.011676201122266,0.0759789274786301,0,0,0,0,0,-0.0151395116610053,0.0211465736675546,0,-0.0800524810996117,0.0475191507182875,0,0,0,0,0.148196209682956,0,0,0,0,0,0.451898088175704,0,0,0,0,0,0,0,0,-0.0623892180485228,0,-0.0770050797841422,0,0,0.0990817175584767,0,0,0,0,-0.0402994928039689,0.0177571241534205,0,0,0,0.0244865118153425,0,0,0,0,-0.0202547311722409,0,0
X600585.SH,0,0,0,0,0,0.031374178494285,0.0949206326142153,0,0,0,0,-0.113919589257756,-0.0372639824309501,0,0,0,0,-0.0405349755934873,0,0,0,0.0739307714254897,0,0,0,0,0,0,0,0,0.0954720344088414,0,0,0,0,0,-0.116058824293131,0,0,0,0,0.0973087033656569,0,0,0,0,0,0,0.046000032752328,0,0,0.011795505294657,0,0,0,0,-0.0109296168119982,0,0
X002460.SZ,0,0,0,0,0,0,0.296103801286257,0,0,0,0,0.0175339174801648,0,0.374951316276575,0.027402514062276,0,0,0,0,0,-0.146512962006954,4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0918279765152058,0.155789898595497,0,0,0,0.195835681174836,0,0,0,0,0.491712019593999,0,-0.102795056286493,0,0,-0.0196946577781228,0,0,0,0,-0.0118112718870365,0,0
X600660.SH,0,0,0,0,0,0.0438463554638898,0,0,0,0,0,0,0.0096395294954584,-0.00661048511444351,0.11652206225055,0,0.129000723353657,0,0,0,-0.0880570716058449,0,0,0,0,0,0,0,0,0.00931599782408577,0,-0.0724296103567572,0,0,0,0,0.0442798094737122,-0.205912310150463,0.215410020843458,0,0,0,0,0,0,0,0,0,0,0,0,-0.00789981549654794,0,0,0,0,0.00137716554184811,0,0
X000708.SZ,0,0,0,0,0,0,0,0,0.189507798724207,0,0,0,-0.0755597707807105,0,-0.0644456078814195,0.210100404942675,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.139294884904274,0,0,0,0.165401710710622,0,0,0,0,0.0221252955103713,0,0,0.182739722607055,0,0,-0.026213866072005,0,0,0,0,-0.0331665220716816,0,2.16840434497101e-19,0.0238285197562303,0,0,0,-0.025124299990018,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.139644000393484,0,0,0,0,0,0,-0.111450421944236,0,0,0,0,0.0248651961930685,0,0,0,0.198762608259236,0,0,0,0,0.212977013944822,0,0.533648715406048,0,-0.0856108585578396,0,0,0,0,0,0,0,-0.112228382183031,-0.0176056721009547,0,0,0,0,0,0,0
X002271.SZ,0,0,0.0759012532894261,0,0,0,0.246524667012909,-0.0958002681524814,0,0,0,0,0.0621871265457175,0,0,0.0759396534898025,0,0,0,0,0,0,0,0,0.0177540773805623,0,0,0,0,0.0626724146139548,0,0,0,0,0,0,0,0,0.0118741529043782,0,0,0,0,0,0,0,0,0,0,0,0,-0.0304826451500995,0,0,0,0,0.0254264949343946,0,0
X600547.SH,0,0,0.126113549936334,0,0,0.0313777738189629,0,-0.00791759542642933,0,0,0,0,-0.012279271443063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.601303386605455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0630400812256386,-0.00804827892584629,-0.0214492276943074,0,0,0,0,0.0239125041032449,0,0
X000786.SZ,0,0,0,-0.0932110016402762,0,0,0,0.0231161835303904,0,0,0,0,0.227122748050015,-0.0761697256586952,0.0837017161163199,0.0927207665240469,0,0,-0.147356690369122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0461505626845527,0,0,0,0,0.01676325104717,0,0.0395000552477211,0,0,0,0.0434281550362024,0,-0.0508844485479898,-0.132295285516534,0,0,0,0.0225175080180204,0,0,0,0,-0.0258890402685557,0,0
X600176.SH,0,0,0,0,0,0.0663427443118549,0,0,0,0.106047039302779,0,0.0499579168913908,0,-0.115368015286486,0,0,0.227702097690741,0,0,0,0,0,0,0.104128151401384,0,0.0122104923708419,0,0,-0.0759631677292952,0.0725765541740507,0,0,0,0,0,0,0,0,-0.0343405605643812,0,0,0,0,0,0,0,0.39673980051093,0,0,0,0,0.0100035069857656,0,0,0,0,0.0054068237176531,0,0
X002466.SZ,0,0,0,0,0,0.176197761574173,0,0,-0.656502875441171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0486439996107695,0,0,0,0,0,0,0,0,0,0.227632537924771,0,0,0,0,0,0,0,0,0,0.437859283323161,0.30438401240635,-0.150397370361265,0.291147290259341,0,0.0573966809949071,0.0222974527460316,0,0,0,0,0,0
X000301.SZ,0,0,0,-0.315199062255124,0,0.0520409914226664,0,-0.138521776466506,0,0,0,0.433503441510952,0,0,0,0.076901357468235,0.211362993529528,0.562326543148237,0,-0.349417140916594,0,0,0,0,0,0,0.680217690444936,0,0,0,0,0,0,0,0,-0.0111326288496609,0,0,0,0,0,0,0,-0.0927281183421271,-0.268638130356494,0,0,0,-0.110277630704534,0,-0.185050257463244,-0.0585343683906302,3.46944695195361e-18,0,0,0,0.0448964863229725,0,0
X600426.SH,0,0,0.315541462850739,0,0,0,0,0,0,0,0,0,0,0,0.0331950667311309,0,0.00581502245480498,0.0939728905729191,0,0,0,0.150609727052901,0,0,0,0.126768462019434,0,0,0,0.0821795893964005,0,0,0,0,0,0,0,0,0.131502470994443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00237343685401401,0,0
X600362.SH,0,0,0,0,0,0,0.0677792682677914,0.135166985589951,0,0,0,0,0,0,0,0.23091585176617,0,0,0,0,0,0,0,0,0,0,0,0.439487751333462,0.104273688328497,0.104763959401533,0,0,0,0.0739590364597467,0,0,0,0,0,0,0,0.11154849842842,0,0,0,0,0.105097834458404,0,0,0,0,-0.0216525785209285,-1.73472347597681e-18,0,0,0,-0.00239427453242874,0,0
X600111.SH,0,0,0,0,0,0,0.258870639859881,0,0.102957645407935,0,-0.00381049346688417,0,0,0,0.264718730298505,-0.0518813174910687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0713640670134985,0,0,0,0,0,0,0,0,0,0,0.119010011643394,0,0.392834053430333,0,-0.0311759951928821,0,0,0,0,-0.0329769410891539,0,0
X600011.SH,0,0,-0.0723377724305462,0,0,0,0,0,0,0,0,0,0,0.037419232824034,0.0275673353569252,0,0,0.0279371156695546,0,0,0.0100369647047201,0,0,0,0,0,0,0,0.0458830078308674,0.0516691236467395,0,0.10381631261007,0,0,0,0,0,0,0,0,0,0,0.0943419944139277,0.0169058457694461,0.00135738522445523,0,0,0,0,0,0,0.00865808033258094,0,0,0,0,0,0,0
X600886.SH,0,0,0,0,0,0.00768481069400251,0,0.0182302068970761,0,0,0,0.043927153361883,-0.0580867141493426,0,0,0,0,0,0.327692620346956,0,0,0,0,0,0,0,0,0,0,0,0,0,0.183965840618659,0,0,0,0.0118610314925091,0,0,0,0,0.00615682945174491,0,0,0,0,0,0,0,0,-0.127790222875162,0.0825716553221383,-0.0970984960308737,0,0,0,-0.0244869702038797,0,0
X601600.SH,0,0,0,0,0,0,-0.20677927448219,0,0,0,0,0,0,0,0,0,0.0913210624337806,0.0580752652817826,0,0,0,0.141544940841037,0,0,0.0865367005698355,0,0,0,0,0,0,0,0,0.333098616614975,0,0,0.0250280639229783,0.0715956437416899,0,0,0,-1.73472347597681e-18,0,0,0,0,0.0615816977865665,0,0,0.0936377552893201,0.00802541372314626,0.02227516760408,-0.0328642281153446,0,0,0,-0.0333182213424153,0,0
X601898.SH,0,0,0.0457672414284631,0.461852120376658,0,0,0,0.00922744654885873,0,0,0,0,0,0,0,0,0,-0.059296966662638,0,0,0,0,0,0,0,0,0,0,0,0.041422344850984,0,0,0,0.049059416230223,0,0,0,0.198494126140138,0,0,0,0,0,0,0,0,0,0.138426297910478,0,0,0,-0.00696537317261009,0,0,0,0,-0.0289550080807044,0,0
X600010.SH,0,0,-0.00927036058045976,0,0,-0.0781917299305808,0,0,0,-0.113008236781814,0,0,0.104133764699411,0,0,0,-0.0103829005669288,0,0,0,0,0,0,0,0,-0.0546948123191575,0,0.121774617251723,0,0,0.0180478832227426,0,0,0,0,0,0,0,0,0,0,0.182049181222306,0.105414603627696,0,0.053218450915505,0,0,0,0,0.172935328533819,0,0.00598014507243563,0.00876854477517491,0,0,0,-0.00530736814741331,0,0
X600803.SH,0,0,0,-0.0721059794142581,0,0,0,0,0.107916160848192,0,0,0.109592841147014,0,-0.0281509125677769,0.116498020722145,0,0,0.0110004071210195,-0.00564110119420055,0,0,0,0,0,0,0,0,-0.0549174654115468,0,0,0,0,0,0,0,0,0.121958402127422,0,0,0,0,0,0,0,0,0,-0.0399406419644,0,0,0,0,0,0,0,0,0,-0.015697481369644,0,0
X600352.SH,0,0,0,0,0,0,0,0,0,0.14677372231034,0,0,0.240932293450255,-0.0385199883520833,-0.0581024163824545,0,0,-0.0453797204987191,0,0,0,0,0,0,0,0,0,0,0,0.0906929790612112,0,0,0.053250599150287,0,0,0,0,0,0.157369332363394,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0296920640916531,0,0,0,-0.00612502501467897,0,0
X600486.SH,0,0,0,0,0,-0.0247870573421323,0,-0.0318770896264688,0,0,0,0,0.0818681139225951,0.0073918978357612,0.0754475168080889,1.73472347597681e-18,0,0.113075323353523,0,0,0,0,0,0.0995689773977768,0.293679096306523,0,0.00595574225438202,0,0,0,0,0,0,0.034269851502112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0739641754275338,0,-0.0968405275285438,0.124052249868791,0,0,0,0.0279017148035309,0,0
X002353.SZ,0,0,0,0,0,-0.0329341760140342,-0.0447950447629261,0,0,0,0,0,0,-0.0293236278751283,0.102358006442541,0,0,0.140114448375273,0,0,0,0,0,0,0,0.128993788851731,0,0,0,0,0,0,0,0,0,0,-0.00886327711454437,0,0,0,-0.152845735731913,0.0277038771432304,0,0,0,0,3.46944695195361e-18,0,0,0,0,0.0202832117888018,0,0,0,0,0.0128151253863723,0,0
X600188.SH,0,0,0,0.483318393967621,0,0.0400206103368425,0,0,0,0,0,0,0,0,0,0,0,0.137258298427224,0,0,0,0,0,0,0,0,0.00292910642711723,0,0,0,0,0,0,0,0.118955333648335,0,0,0,0.0151434995103498,0,0,2.16840434497101e-19,0,0,0,0,0.0537390789080056,-0.0415860871323266,0,0,0,-0.0257056902910296,0,0,0,0,-0.020319167308771,0,0
X601991.SH,0,0,0,0.029756144862913,0,0,0.0116059875028577,-0.0344961129908026,0,0,0,0,0,0,0.0711257108460038,0,0,0,0.262104980305277,0,0,0,0,0.0176642913120623,0,0,0,0,0,0.123309717800302,0,0,-0.051487146257507,0,0,-0.0168899406610941,0,0,0.0818398569535626,0,0,0.0390774847845494,0,0.0353238916348046,0,0,0,0,0,0,0,-0.0300217045615634,0,0,0,0,0,0,0
X002080.SZ,0,0,0.0999163643625509,0,0,0,0.0384044453804929,0,0,0,0,0,0,0.165116825874806,-0.192902333105562,0,0,0,0,0,0,0.0976920000405398,0,0,0,0,0,0,0.270318818323059,0,0,0,0,0.0225603962300736,0,0,0,0,0,0,0,0.119098006563891,0,0,0,0,0,0.0451545389441251,0.448853686774577,0.109890217591209,0,-0.119855065429854,0.104723255380946,0,0,0,0.178428712385016,0,0
