,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600011.SH,X600309.SH,X600010.SH,X601898.SH,X600660.SH,X600688.SH,X601991.SH,X600188.SH,X600547.SH,X601600.SH,X600886.SH,X600362.SH,X600795.SH,X000898.SZ,X600027.SH,X601992.SH,X600111.SH,X000629.SZ,X600176.SH,X002466.SZ,X600516.SH,X002460.SZ,X300072.SZ,X600299.SH,X000709.SZ,X600808.SH,X600801.SH,X000553.SZ,X000825.SZ,X600339.SH,X600352.SH,X002110.SZ,X600426.SH,X600583.SH,X600489.SH,X601158.SH,X000786.SZ,X000301.SZ,X000883.SZ,X000932.SZ,X600219.SH,X601699.SH,X000792.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.118337973630398,0,0,0,0.109176810111857,0,0,0,0,0,0.0393439634531779,0,0,0,0,0,0,0,0,-0.0234668322028478,0,-0.0195105260329939,0,0,0,0,0,0,0,0.0404886721043881,0,0,0,0.208865117213862,0,0,0,0.217273007693483,0,0,0,0,0,0,0,0,0,0,0.0232272279109092,0.0243660111618292,0,0,0,0,0,0
X600028.SH,0.322961085169382,0,0,0.30331417322044,0.136468120221603,0.10668018636739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0267071546546633,0.114446567059427,0,0,0,0,0,0,0,0,0,0,0,0,0.119991629710801,0,0,0,0,0,0,0,0,0,0,0.0306120458227624,0.0150966112939617,0,0,0,0,0,0
X601088.SH,0,0.153507837860041,0,-3.46944695195361e-18,0,0,0,0,0.0355251937980421,0,0,0,0,0,0.0239018371792102,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0200876261250965,0,0,0.080652799509632,0,0,0,0,0,0,0,0.127210745878951,0,0,0,0,0.00797313898039334,0,0.327465177999844,0,0,-0.0217720026464514,-0.0372865398474205,0,0,0,0,0,0
X600585.SH,0,0.0437842314382647,0,0,0.1087744577568,1.0842021724855e-19,-0.0326676897919219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0247737038573717,0,0,0,0.290187848247567,0,0,0.0502305635139613,0,0,0,0,0,0,0.328655693518874,0,0,0,0,0,0.0358492109670786,-1.73472347597681e-18,-0.00911864772200825,0,0,0,0,0,0,0
X600019.SH,0,0,0,0.010877894137385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.630896135688629,0,0,0,0,0,0.00516816797746292,0,0,0,0,0,0,0.123790934301499,0.0623503693018333,0,0,0,0.0104841006995202,0,0,0,0,0,0,0,0.0578784381372041,0,0,0.0283565251295926,0,-0.0030317012064707,0,0,0,0,0,0,0
X600011.SH,0,-0.0472323444114451,0,0,0,0,0,0,0,0,0,0,-0.00336769424262682,0,0,0.163220494317425,0,0,0,0.764962215285647,0,0,-0.0702883592922714,0,0.0508811223278239,0,0,0,0,0,0,0,0,0,0,0.147040974925117,0,0,-0.00438804343619631,0,0,0,0,0,0,0,0,0,0,0.0120777041785177,0.0251067860495195,0,-0.0223245287827424,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,-0.268488537836234,0,0,0,0,0,0,0,0,0,0,0,0,0.163117586086871,0,0,0,0,0.490907164678835,0,0,0,0,0,0,0,0.0596061178742509,0,0,0,0.0991379156902906,0,0,0,0,0,0,0.0191795826491306,0,0,0,0,0.0179801718324739,0.0504855581229231,0,0.243981446923172,0,0,0,0
X600010.SH,0,0,0,-0.052644313900141,0,-0.0031909171050693,0,0,0,0,0,0,0,0,0,0,0,0,0.182098382155725,0,0,0,0.0569081667740142,0,0.0720985283232065,0.102956671915158,0,0,0,0,0,0,0,0.106747284498763,0,0,0,0,0,0,0,0,0,0,0.0446816036598345,0,0,0.134679848601075,0,-0.00863413917893411,-0.0307834589291086,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.012477906295242,0,0.239188683999138,0,0,0,0,0,0,0,-0.00922006496442924,0,0,0,0.116802396537657,0,0,0,0,-0.0263612661940132,0,0,-0.0145331709958117,0,0,0,-3.46944695195361e-18,0,0,0.0196276718082568,0,0,0,0,0.259059071511853,0,0,-0.0100716891654428,0.00059966563380625,0,0,0,0,0,0
X600660.SH,0,0,0,0,-0.0176006442645154,0.109515398362253,0.179963395938645,0,0,0,0,0,0,0.339352972870155,0,0,0,0,0,0,0,0,-0.0575741012508728,0,0.109425171316114,0.0833474293241975,0,0,0,0,0,-0.0126640179955716,0.0472686843595223,0,0.0868943500940458,0,-0.0234801943202283,0.0861454309257607,0,0,0,0,0,0,0,0,-0.0680959927985863,-0.0247234700911399,0.0781855817806349,0,-0.00677518417010326,0,0,0,0,0,0
