,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X601898.SH,X600188.SH,X600660.SH,X600019.SH,X601600.SH,X600585.SH,X600547.SH,X600886.SH,X600011.SH,X000792.SZ,X600795.SH,X600362.SH,X600010.SH,X600111.SH,X002460.SZ,X600489.SH,X000708.SZ,X600803.SH,X600027.SH,X002466.SZ,X000301.SZ,X600160.SH,X601991.SH,X600426.SH,X000786.SZ,X000983.SZ,X000807.SZ,X600219.SH,X601699.SH,X000630.SZ,X600176.SH,X600985.SH,X601168.SH,X000408.SZ,X002128.SZ,X600096.SH,X000933.SZ,X000877.SZ,X600378.SH,X002353.SZ,X000027.SZ,X600352.SH,X002271.SZ,X600995.SH,X000883.SZ,X002409.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0.0405541540711881,0,0.25486032746089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0403623394197213,0,0,0,0,0,0,0,0,0,0,0,0,0,0.449205376395393,0,0,0,0,0,0,0,0,0,0.0988669004529786,0,0,0,0,0,0.0883942970833288,0,0.0779534324941635,0,0,0,0,0,0,0
X601088.SH,0.137998343146674,0,0,0,0.212920180711264,8.67361737988404e-19,0,0,0,0,0,0,0,0,0.07874937091115,0,0,0,-0.132716781211379,0,0,0,0,0,0,0,0,0.0574769356413075,0,0,0,0,0,0,0,0.171971188691808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0180051376493284,-0.0520116189953868,-0.00505575294874647,0,0,0,0,0
X600028.SH,0.47865549927052,0,0,0,0.248965841090895,0,0,0,0,0,0.0627761471722217,0,0,0,0.137248721045396,0,0,0,0,0,0,0,0,-0.089879653550495,0,0,0,0,0,0,0,0,0,0,0,0,-0.0931773941487133,0,0,0,0,0.0374179740098879,0,0,0,0,0,0,0,0,0,0.0188844073399124,0,0.0208665146755452,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0.053132974524974,0,0.0632486763772324,0,0,0,0,0,0,0,0,0,0.089013136207356,0,0,0.122168286852497,0,0,0,0,0,0.284300042661607,0.0789857550233426,0,0,0,0,0,0,0,0,0,0.142117260921834,0,0,0,0,0.116833648820454,0,0,0.0128593602771599,0,0,0,0,-0.103499894961591,-0.0101489477211856,0,0,0,0,0,0
X601898.SH,0,0.767683510046064,0,0,0,0.117577157602444,0,0,0,0.0276772085177095,0,0,0,0,0,0,0,0,0,0.0516521165132652,0,0.0744897401662258,0,0,0,0,0,0,0,0,0,0,0,0,-0.039571210362968,0,0,0,0,0.0471965176196455,0,0,0,0,0,0,0,0,0.0111494439776506,0,0,0.0369770334687229,-0.0390465024857061,0,0,0,0,0,0
X600188.SH,0,0,0,0,0.159352444851839,0,0,0,1.38777878078145e-17,0,0,0,0,-0.0233003899649691,0,0,0,0,0,0,0,0,0.0290776681479271,0,0,0,0,0,0,0,0,0,0.143975586015315,0,0,0.617742265629178,0,0,0,0,0,0,0,0,0.21610589258646,0,0,0,0,0,0,0.103290760692309,0,0,0,0,0,0,0
X600660.SH,0,0,0,0.104389931429055,0,0,0,0,0.1433956665266,0,0,0,0,0,0,0,0,0.199528960404865,0,0,-0.322167200732295,0,0,0,0,0.121560062846922,0,0,0.226147964439161,0,0,0,0,0,0,0,-0.1820551358072,0,0,0,0,-0.269078779523674,0,0,0,0,0.195117366847235,0,0,0,0.186751937339166,-0.00136330780716276,-0.0428878125317502,-0.181682553291143,0,0,-0.121813826227008,0,0
X600019.SH,0,0,0.312166676380437,0,0,0,0,0,0,0.33698496412771,0,0,0.0993637159168676,0,0,0,0,0,0,0.169986225799597,0.174179572341799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0717331339735225,0,0,-0.0916764389998133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15076516657816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.468953986452904,0,0,0,0,0,0.405661446461999,0.0445270255020048,0.0092881361212332,0,0,-0.032761714226729,0,0,0,0,-0.0555607690549796,0,0.210090114652182,0,0,-0.0526112170179949,-0.00917962053412609,0,0,0,0,0,0
X600585.SH,0,0,0,0,0.0823804579707078,0,0,0.154768404306179,0,0,0,0,0,0.0617827885817547,0,0,0,0,0,0,0,0.0530794458140743,0,0,0.170993957223118,0,0,0,0.0891365735162714,0,0,0,0,0,0,0,0,0,0,0,0,0.173852780666763,0,0,0,0,0,0,0,0,0,0.0835052645451247,-0.00604538283226066,0,0,0,0,0,0
