,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600309.SH,X600547.SH,X600019.SH,X000708.SZ,X600011.SH,X002271.SZ,X002460.SZ,X600801.SH,X000792.SZ,X601898.SH,X600010.SH,X600886.SH,X601600.SH,X600660.SH,X600362.SH,X600688.SH,X000786.SZ,X600188.SH,X600795.SH,X601991.SH,X600352.SH,X601992.SH,X600299.SH,X600027.SH,X600111.SH,X600489.SH,X600176.SH,X000723.SZ,X002466.SZ,X002075.SZ,X000401.SZ,X600126.SH,X600426.SH,X000553.SZ,X601158.SH,X000898.SZ,X600219.SH,X600516.SH,X002353.SZ,X000932.SZ,X000883.SZ,X600583.SH,X600486.SH,X000709.SZ,X000027.SZ,X000630.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0.00203318552921061,0,0,0,0,0,0,0,0,0.0256927254646184,0,0,0.0867741204906804,0,0,0,0,0,0.153692019263568,0.0401557175080136,0.0812511318230719,0,0,0,0,0.0306298305381525,0.0495787077150596,0,4.33680868994202e-19,0,0.0260285094692752,0,0,0.199597560122389,0,0,0,0.0540863326321634,0,0,0,0,0,0,0.0113953731048514,0,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0,0.249164992472846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0121243399895476,3.46944695195361e-18,0.118870407117276,0,0,0,0,0,0,0,0,0.0284937366981594,0,0.0365954339959355,0,0,0,0,0.0320610296118367,0,0,0,0,0,0,0,0,0.0202499016820808,0.0117345789702158,0,0,0,0,0,0
X601088.SH,0,0,0,0.147583349068387,0,0,0,0,0.357653317093748,0,0,0,0,0,0,0,0,0,0,0.0787268888350117,0.106185791190482,0,0,0,0,0,0,0.0187986291673954,0,0,0,0,0.0382555088424425,-0.0511135793447827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0284609353759243,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0.0127552473892107,0.415501188398908,0.0239889073485187,0,0,0,0,0,0.157039638387452,0.00705389935081079,0.106094380974301,0,0,0,0,0,0,0,0,0,0,0,0,-0.0518103223364906,0.170810288438225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0153372420796105,-0.00662198156520959,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0.018472373301755,0,0,0,0,0,0,0,0,0,0.042734028025833,0,0,0,0,0,0,0,0,0,0,0,0.0876687476742851,-0.0155551032038637,0,0,0.0429195303516558,0,0,0,0,0.0806722508686765,0.0782239529999576,0,0,0.165371732105152,0,0,0,0,0,0.0340616796702557,0.0185530568199224,0,0,0,0,0,0
X600547.SH,0,0,0,0,0.0669824802260587,0,0,0,0,0,-0.186353172114702,0,0,0,0,0,0,0,0,0,0.0906623406927999,0,0,0,0,0,0,0,0,1.01313962254431,0,1.73472347597681e-18,0.0349694875979058,0.0809437168585853,0,0.0860683837835959,-0.0562330126668281,0.0013843833473612,0,0,-0.122313369821528,0,0,0,0,0,0,0,0,0,0.0455518612929716,0.00596150333087927,0.0342921349033795,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0.0994537239064963,0.033605595646147,0,0,0,0,0,0,0.263288619331231,0.0486413479258105,0,0,0,0,0,0.0849016864151154,0.0698751632334485,0.223314927628781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0145803620664452,-0.0142728364388829,0,0,0,0,0,0
X000708.SZ,0,0,0,0,0,0,0,0,0,0.125803417346505,0,0,0.0452495263769933,0,0,0,0,0,0,0.124144710841435,0,0,0,0,0,0,0,0,0,0,0.0856092293853585,0,0,0.100602300072917,0,0.0981750190989934,0,0,0,0,-3.46944695195361e-18,0,0.0917502526684694,0,0,0.0665381531040764,0,0,0,0,0,0.0216881127486652,-0.0393322847444216,0,0,0,0,0,0
X600011.SH,0,0,0.0913675388151926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0234499459903361,0,0,0,0,0,0,0,0,0.0434087814889138,0.607556642300147,0,0,0,0.0248457841210031,-0.0383570826202214,0.00312911401921799,0,0,0,0.173858928534644,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0175366774818692,0.0120432830404546,0,0,0,0,0,0
X002271.SZ,0,0,0,0,0,0,0,0,0,0,0.152897358025279,0.238682159878785,0,0,0,0,0,0,0,-0.120683564920563,0.0405395387655449,0,0,0.0852157923259845,-1.38777878078145e-17,0,0,0,0,0.133810376869731,0,0,0,-0.0200876531657536,0,0.0556046449514086,0,0,0,0,0,0,0,0,0,0.0654160202132815,0,0,0,0,0,0.0377166234527418,0.0226281054993432,0,0,0,0,0,0
