,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600011.SH,X600019.SH,X601898.SH,X601991.SH,X600111.SH,X601600.SH,X600795.SH,X600886.SH,X600362.SH,X600010.SH,X600188.SH,X600688.SH,X600309.SH,X600027.SH,X002353.SZ,X600583.SH,X601992.SH,X000883.SZ,X000792.SZ,X000898.SZ,X601158.SH,X000709.SZ,X000629.SZ,X600489.SH,X600490.SH,X000825.SZ,X600315.SH,X000831.SZ,X600547.SH,X000539.SZ,X600352.SH,X600660.SH,X601699.SH,X600808.SH,X000630.SZ,X600549.SH,X000983.SZ,X600307.SH,X000027.SZ,X600578.SH,X000937.SZ,X002470.SZ,X000959.SZ,X000960.SZ,X600863.SH,X600516.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0.013691850773551,0,0.00360407750647538,0.05175932427978,0,0,0,0,0,0,0,0,0,0,0,0.0647223517227926,0,0.0656727461402729,0,0,0,0,0,1.0842021724855e-19,0,0,0,0,0,0,0,-0.00786956272443161,0,0,0.0917307757603625,0,0.0346005302775542,0,0.0259297064800494,0,0.0895225000146468,0,0,0,-2.16840434497101e-19,0,0,0,0,-0.00855392832079435,0,0,0,0,0,0
X600028.SH,0,0,0.0698819736953211,0.130812659254798,0.0458795179796297,0,0,0,0,0,0,0,0,0,0,0.00557475539557536,0.0216894410952077,0,0.0449767561336958,0,0,0.00535265279240107,0.056196305716857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037869475333248,0,0.0231764554794227,0,0.112745930871347,0,0,0,0.0199351933836554,0,0.0300219530202483,0,-0.0185476055089979,0.0294104038678216,0,0,0,0,0,0
X601088.SH,0,0,0,0.0665474854692853,0,0.0195876372423288,0,0,0,0.0862945766131024,0,0,0,0,0.163079441423256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0436735641881447,0,-2.16840434497101e-19,-0.0434510605401329,0,0,0,0,-0.0133553562234486,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0.0809246698546346,0.181327446555338,0,0,0.0347687029329814,0,0.0443408264052665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0381200330119056,0,0,0,0,0,0.0862456610097123,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0.0461445506526684,0,0,0,0,0,0,-0.0171155393213966,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0.124705504902523,0,0,0,0,0,0.147967773015769,0,0,0,0,0,0.293697802399136,-0.128548317029216,0,0.0374086104520589,0.0462508709984994,0,0,0,0,0,0,-0.0896294237581934,0,0,0.0348839396425659,0,0,0,0,0,0,0,0,0,-0.0458006654676433,0,0.003493919707159,0,0,0.176295433961703,0,0,0.0525305810641845,0,0.0216001752462513,4.33680868994202e-19,0,0,0,0,0,0
X600019.SH,0,0,0.0728229174359203,0,0,0,0.128488540365864,0,0,0,0,-0.0554667329503108,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0.124343157229717,0,0,0,0.15565478833818,0,0,0,0,0.0703414885964754,0.0772924363538999,0.125304831775913,0,0,0,0,0,0,0,0,0.134662947905056,0,0.0971365616592257,0,0,0,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0.141668639639063,0,0,0,0.0108530280169348,0,0,0,0.0203840985221696,0,0,0,0,0,0,0.120354905491141,0,0,0,0,0,0.0426271920188555,0,0,0,0,0.17872844602752,0,0,0,0,0,0,0.0442732324334635,0,0,0,0,0,0.0141208651116497,0,0,0,0.0901391322047105,0,0,0,-0.000923646572940775,0,0,0,0,0,0
X601991.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0107761743504686,0.0260677534230231,0.0466377208649923,0,0,0,0,0,0,0.13657241238759,0,0,0.0206999237800318,0,-0.0261581719730237,0,0,0,0,0.0223778133753372,0,0,0,0,-0.0279749795733125,0,0.26600533294391,0,0,0,0,0,0,0,-2.16840434497101e-19,-0.0079089907517875,0,0,0,0,0,0
X600111.SH,0,0,0,0,0,0,0,0,0,0.0155226209914241,0,0,0,0,0.0382029878185357,0.00336253586061275,0,0,0,0,0.107381278044236,0,0,0,0.0119548441692926,0,0.0112336861097546,0,0,0.0686221138780367,0,0,0,0,0,0,0,0,0,0.230413476075909,0.0808639024792358,0.0369660723321051,0,0,0,0,0.0197846589001671,0.0705857372184739,0,1.73472347597681e-18,0,-0.00674005318558417,0,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0.037690398116381,0,0,0,0,0.054042758310636,0,0.0808398586889088,0,0,0,0,0,0,0,0,0.135653366970657,0,0.163318689713261,0,0,0,0,0,0,0,0,0,0,0.133792856937823,0,0.145173858567587,0.0131180111285427,0.0852517686275889,0.212012120950527,0,0,0,0,-0.142208507572933,0,0,0,-0.0352448640865058,0,0,0,0,0,0,0
