,X601857.SH,X600028.SH,X601088.SH,X600010.SH,X600011.SH,X600019.SH,X600795.SH,X600585.SH,X601600.SH,X601898.SH,X601991.SH,X600688.SH,X600157.SH,X600362.SH,X600111.SH,X600886.SH,X600027.SH,X600188.SH,X600021.SH,X000883.SZ,X601158.SH,X600352.SH,X000027.SZ,X600583.SH,X600309.SH,X601992.SH,X000539.SZ,X000709.SZ,X000060.SZ,X000898.SZ,X000792.SZ,X600808.SH,X600489.SH,X000825.SZ,X002470.SZ,X600547.SH,X002353.SZ,X000629.SZ,X600660.SH,X600307.SH,X002075.SZ,X600008.SH,X600098.SH,X600863.SH,X600578.SH,X000831.SZ,X600219.SH,X600549.SH,X002004.SZ,X000012.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.69803139376373,0,0,0,0,0,0,0,0,0,0,0.0222813129924938,0,0,0,0,0,0,0,0.0340969959896123,0,0,0.070421366674255,0.153464551528663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0177129336778793,0,0,0.00456690688367297,0.00148393408069235,0,0,0,0,0,0
X600028.SH,0.597208513808465,0,0,0,0,0,0,0,0.0108268699869141,0.179520590822872,0,0,0.0517831383813075,0,0,0,0,0,0,0,0.01242058469329,0,0,0,0,0.0252890098688144,0,0,0,0,0,0,0,0.0288260184345157,0.003250897654537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0212117019713891,0,0,0.00435766209883443,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,-1.73472347597681e-18,0,0.0792323235122366,0.0333013028438708,0.261663915306442,0,0,0,0,0,0,0,0,0,0,0,0.0291740751325082,0,0.101592082133955,0,-3.46944695195361e-18,0,0,0.109718565675553,0.0345676536571752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0511966912864392,0.0190480405348313,0,0,0,-0.00654965357481628,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.237201002924343,0,0,0,0,0.0631071696426044,0.0159448065055453,0,0,0.0324605063841949,0,0,0,0,0,0.0540789467436952,0,0,-0.0946748328205926,0,0,0,0.168291362165981,0.265692178415647,0,0,0,0.0350802229347845,0,0.021691308911414,0.0330047444173057,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0.0652041451448228,0.0676246350392452,0,0,0,0,0.135296085315434,0.0946882440576465,0,0.0555358388870129,0,0,0,0,0,0,0,0.068411178662124,0,0,0,0,0,0,0.0956570078552734,0,0,0,0,0,0,0,0,0,0,0.216897417241649,0,0,0,0,0,0,-0.00326037038465354,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0.398687707005723,0,0,0.05209802983755,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0.186200400779909,0,0.182396681157298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00770452266256297,0,0,0,0,-0.00135386202084487,0,0,0,0,0,0
X600795.SH,0,0,0,0,0.158219043291605,0,0,0,0.082222689746945,0,0.0225240489640539,0,0.0840813470749789,0,0,0,0,0,0.159354541080476,0,0,0,0,0.000228320706491147,0,0,0,0,0,0,0,0.033653194863149,0,0,0,0,0,0,0,0,0,0,0,0.300366144122927,0.0667381110545738,0,0,0,0,0,0,0,0.0181655613282,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0.0197658002501027,0,0,0,0,0.270700307947109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0827402277221428,0,0.0939340737445839,0,0,0,0.0401716035404334,0,0,0,0,0,0.00367862958921315,0,0,0,0,0,0
X601600.SH,0.0568884602123085,0,0,0,0,0,0.0218615390476155,0,0,0.154935852694303,0.0939029598005423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.178662533839385,0,0,0.129329434340552,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15783429477453,0,0,-0.16865010950929,0,0,-0.0234954533580177,0,0,0,0,0,0,0
X601898.SH,0,0,0.0212255398641278,0,0,0.256525511115417,0,0,0,0,0.104976928413839,0.06386574137889,0,0,0,0,0,0,0,0,0.0304207073415209,0,0,0,0,0.0708358868014012,0,0,0,0.0147339718970291,0,0.0290965446444658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.310514723576134,0,0,0,0,0.029259801526961,0.0556693267240209,0,0,0,0,0,0
