,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600011.SH,X600585.SH,X600010.SH,X601898.SH,X601600.SH,X600688.SH,X600547.SH,X600362.SH,X600795.SH,X600309.SH,X601991.SH,X300072.SZ,X600188.SH,X600157.SH,X600027.SH,X601992.SH,X600660.SH,X600886.SH,X600111.SH,X000898.SZ,X600489.SH,X600339.SH,X601158.SH,X000709.SZ,X600299.SH,X000959.SZ,X002466.SZ,X600583.SH,X000792.SZ,X000630.SZ,X000408.SZ,X600098.SH,X600352.SH,X000883.SZ,X600219.SH,X000983.SZ,X000539.SZ,X000027.SZ,X600021.SH,X000723.SZ,X000825.SZ,X002092.SZ,X600623.SH,X601699.SH,X600578.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.287016008987978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0670350294160378,0,0,0,0.0190327406144291,0.120835383651647,0,0,0,0,0.0483309921110213,0,0,0,0,0,0.0288744683863459,0,0,0,0,0,0,0,0,0,-0.0213741669586177,0.01934156128166,0,0,0,0,-0.00531192274766605,0,0,0,0,0,0
X600028.SH,0.878290144427304,0,0,0,0,0.00565887954342248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.056163532868553,0.0233556351455503,-0.0225152714877684,0,0,0,0,-0.0266222486897211,0,0.0040212657132893,0,0,0,0,0,0
X601088.SH,0,0.0111318196647686,0,0,0.182401555660151,0,0,0,0,0,0.00912112453470255,0,0.0262900525413554,0,0,0,0,0,0,-0.0293054934006674,0.10706311579523,0,0,0.170316945264936,0,0.0322840260875874,0,0.0433173969227859,0,0,0,-0.0764083639189456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117027371595641,0,-0.0269119119353858,-0.0135569885874439,0.00514045517945472,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0.291949517743944,0,-0.0872701200241704,0,0,-0.0791486083943936,0,0,0,0,0,0,0,-0.107007041388518,0,0,0,0.196302241337965,0,-0.285694377344571,0,0,0,0,0,0,0,0,0,-0.0668805521536301,0,0,0,-3.46944695195361e-18,0,0,0.103619935964988,0,0,0,0,0,0.231123843237186,-0.0231729985071703,-0.00560799644179983,0.000322176013226068,0.0570337610392033,0,0,0,0,0
X600011.SH,0,0,0,0.0294626309771831,0,0.0892979826971717,0,0,0,0,-0.0466696238636317,0,0.22420192347917,0,0,0,-0.0599944284176548,0,0.476201477111942,0,0,0,0,-0.0938652177842368,0,0,0.0163366383315263,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00485135222425606,0,0,0.0710399212662071,0,0,0,0,-0.0132816796301908,0.00532511764943138,0.0141508795319555,0,0,0,0,0
X600585.SH,0,0.29204856667813,0,0,0,0,0,0,0.190177578161366,0,0.0535713851174488,0,0,0,0,0,0.0992365375059584,0,0,0.0813911385018953,0,0,0,0.108075719934861,0,0,0,0,0,-0.0672603645577622,0.0790062927963751,0,0,0.0778634920809158,-0.556221317491584,0,0,0,0,0,0,0,0,-0.0352772690976008,0.0517100913940725,0,0,0,0,-0.122371058474852,-0.0121240444832409,0.00438440053825862,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0.139768174887369,0,0,0,0,0,0.0495722409977657,0,0,0,0,0,0,0,0,0.178014581441286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00607868960536322,0.0147415205142359,0.104145551126189,0.026256013279154,0,0,-0.0187359929646446,-0.00191942394040131,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0.0983806199273014,0,0,0,0,0.00757723768730484,0,0,0,0,0,0,0.0816391163746505,0,0.113721280741429,0,0,0,0,0,0.134382530661672,0,0,0,0,0,0,0.0960400013438588,0.133074786341262,0,0,0,-0.0269676670463865,0,0,0,0,0,0,0,-0.00167276922538736,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0.0293730636530588,0,0,0,0,0.00592852639074698,0.275505816243802,0,-0.103150843170669,0,-0.0506692825642666,0,0,0,0,0.122261862513541,0,0,0,0.00941473593548877,-0.162554663717404,0,0,0,0,0,0,0,0,0,0,0,0,0.585270727076449,0,0,0,0.0679289025393411,0,0,0,0,0,0,-0.0923759429748277,-0.0121287788073742,8.1211127557795e-05,0,0,0,0,0,0
X600688.SH,0.123675344060117,0.434332742958409,0,0.0535429910454301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0114127675656522,0,0,0,0,-0.0429600910014795,0,0,0.0800142853818916,0,0,0.186805176619596,0,0,0,0,0,0.141599566375877,0,0,0,0,0,0.0234201475656088,0,0,0,0.0204426861330842,0,-0.0755012472982962,0,-0.00273814849240476,0,0,0,0,0,0
