,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X601898.SH,X600019.SH,X600188.SH,X600660.SH,X600585.SH,X601600.SH,X600886.SH,X600011.SH,X600547.SH,X000792.SZ,X600010.SH,X600795.SH,X600111.SH,X002460.SZ,X600362.SH,X000301.SZ,X600489.SH,X600160.SH,X002466.SZ,X000708.SZ,X600803.SH,X600027.SH,X601991.SH,X000807.SZ,X600426.SH,X000786.SZ,X600176.SH,X000877.SZ,X600219.SH,X000983.SZ,X002128.SZ,X601699.SH,X000630.SZ,X600157.SH,X000408.SZ,X600985.SH,X601168.SH,X600096.SH,X000933.SZ,X002353.SZ,X600378.SH,X002271.SZ,X600352.SH,X600688.SH,X600995.SH,X000831.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.135746833074687,0.26270597527034,0,0.0298768195760295,0,0,0,0,6.93889390390723e-18,0,0,0,0,0.0684414893730302,0,0,0,0.218984230242867,0,0.105425949470405,0,0,0,0,0,0,0,0,0,0.028041262066665,0,0.0906450931422366,0,0,0,0.0733334405213163,0,0,0,0.0719056277731783,0,0,-1.73472347597681e-18,0,0,0,0,-0.162117307479861,-6.93889390390723e-18,0,0,0.0567186748073446,0,0,0,-0.0811943128895026,0,0
X601088.SH,0,0,0,0,0.441286612749943,0,0,0,0,0,0,0,0,0,0,0,-0.0906555731783162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120623672432187,0,0,0.0586265568542632,0,0,0,0,0.0227794216004829,0,0,0,0,0,0,-0.0144827582757509,0,0,0,0,0,0,-0.0224154313970739,0,0
X600028.SH,5.42101086242752e-20,0,0,0,0,0,0.00025515775097156,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075288881154504,0,0.391709252401795,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,-0.0495843080423417,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105002695813472,0,0.0985081222559288,0,0,0,0.0434538111548508,0.0933642746033391,0,0,0,0,0,0,0.119765435315016,0,0,0,0,0.226711871719658,0,0,0,0,0,0,0,0,0,0,0,0,0.103002464030069,0,-0.0194141671845342,0,0,0,0,0,0,0
X601898.SH,0,0.198228840615881,0,0,0,0.243187167484147,0,0,0.0439081780398381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.192664836190231,-1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0672839511342572,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0493968113136759,0,-0.0197018571942092,0,0
X600019.SH,0.184891707083561,0,0,0,0,0,0,0,0,0.220436043794681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17639595654347,0,0,0,0,0,0,0.116899233311602,0,0,0,0.00645461104635387,0,0.106842971341958,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00928229319623712,0,0,0,0,-0.0145322213758453,0,0
X600188.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.149340322901948,0,0,0,0,0,0,0,0,0,0,0,0,0.250490487948535,0,0,0,0,0,0,0,0,0,0.229454967945751,0,0,0,0,0,0,0,0,0.208746047318283,0,0,0,0,0,0,-1.73472347597681e-18,0,0.0893921116806146,0,0,-0.0860026320169475,0,0
X600660.SH,0.143754312184053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0187057348961064,0.0131099141425804,0,0,0,0.0529100964202459,0.328560632383133,0,0,0,0,0,0.144626218633453,-0.0381945323827709,0,0,0,0,0,-0.0794828214203039,0,0,0,0.0609413828202943,0,0,0,-0.44541385927976,0.076307943660508,0,0,0,0,0,0,0,-0.0876230193407398,0,0,0,0,-0.00506372438213012,0,0
X600585.SH,0,0,0,0,0.20644946769422,0,0.0261767750416447,0,0,0,0,0,0,0.0651346954517508,0,0,0,0,0,0,0,0,0.030270086452948,0.049525018466163,0,0,0,0,0,0.0659490657895311,0,0.28142561088956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0324332049117342,0,0,0,0,0,0,0,-0.0304884270240956,0,0
X601600.SH,0,0,0,0,0,0.360981702398648,0,0,0,0,0,0,0,0,-0.117205152970704,0,-0.118544617595501,0,1.31611783817422,0,0,0,0,0,0,0,0,0.186964623747235,0,0,0,-0.232447905070257,0,0,0,0,0,0,0,-0.0251984172481738,0,0,0,0,0,0,0,0,0,0,0,-0.0460019089504469,0,0,0,0,-0.042481832417963,0,0
