,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X601898.SH,X600660.SH,X600188.SH,X600019.SH,X600886.SH,X600547.SH,X601600.SH,X600585.SH,X600011.SH,X600795.SH,X000792.SZ,X600362.SH,X600010.SH,X600489.SH,X600111.SH,X600803.SH,X000708.SZ,X002460.SZ,X600027.SH,X000301.SZ,X601991.SH,X600160.SH,X600426.SH,X002466.SZ,X000983.SZ,X600219.SH,X000807.SZ,X000786.SZ,X601699.SH,X000408.SZ,X000630.SZ,X600985.SH,X600176.SH,X002128.SZ,X601168.SH,X600096.SH,X000933.SZ,X000877.SZ,X000883.SZ,X600352.SH,X600378.SH,X600995.SH,X002353.SZ,X600612.SH,X600299.SH,X600863.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.34589453372861,0,0,0.387366660765691,0,0,0,0,0,0,0,0,0,0,0,0,0.128494019544121,0,0,0,0,0.0960021358565882,0,0,0,0,-0.00848124963936916,0,0.145831845913381,0,0,0,0,0.379541368946709,0,0,0,-2.77555756156289e-17,0,0,0,0,0,-0.215995520298858,0,0.0162194493357491,0,0,0,0,-0.00856445574587916,-0.0125647054959293,0,0,0,0,0,0
X600028.SH,0.358693448462827,0,0.0215039690788577,0,0.257225444336012,0,0,0,0.135709580830736,0.00868052658611219,0,0,0,0,-0.131514127246687,0,0,0,0,0,0,0,0,0,0,0,0,-0.0998331377605214,0,0,0,0,0,0,0,0,0,0,-0.0389137173702107,0,0,0.0404834413570458,0,0,0,0,0,0,0,0,0,0.0588722174351875,0,0,0,0,0,0,0
X601088.SH,0.0684547098019574,0,0,0,0.0831655220058467,0,0,0,0,0,0,0,0,0.162438039066964,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0834889413649441,0,0,0,0,0,0,0,0.0918048381348459,0,0,0,0,0.137858911843102,-0.00824374452196854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0112165900304088,0,0
X600309.SH,0,0,0,0,0,0,-0.0604786834249745,0,0,-0.0391627689276522,0,0,0,0,0,0,0,0,0,0,0,0,-0.01254518636214,0,0,0,0.321342346763348,0,0,0,0,0.0969868272454012,0,0,0,0,0,0.160267799401161,0,0,0,-0.024158708880002,0,0,0,0,0,0.232615883690551,0,0,0,-0.06540777624207,-0.0529757495183116,0.0630034470355662,0,0,-0.0140000674903757,0,0
X601898.SH,0,0.316084832447737,0.130791418415445,0,0,0,0.126887018969107,0,0,0,0.107242950915456,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0188048658746284,0,0,-0.0307492514082139,0,0.0239340885917219,0,0,0.214870325179092,0,0,0,0,0,0,0.110908660455703,0,0,0.0546195084377299,0,0,0,-0.0914388717830794,0,0,0.0791911508365432,0,0,0,0,0,0,0,0,0
X600660.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0264065043232159,0.226178220039281,0.25546840727799,0,0,0,0,0,0,0,0,0,0,-0.293707640784088,0.0135073159203741,0,-0.143467196144524,0,0,0,-0.0695685579591378,0,0,0,0,0,-0.165343628997281,-0.00893205359245408,-0.134493218739642,0,0,-0.106366594748841,0,0
X600188.SH,0,0.194507434420442,0,0,0.092640349060299,0,0,0,0,0.0581453300871951,0,0,0,0,0,0,0,0,0,0,0,0,0.0617851310080541,0,0,0,0,0,0.0989054030960597,0,0,0,0.176821444510388,0,0,0.473959351535575,0,0,0,0,0,0,0,0,0.0216501354133725,0,0,0.117435208093622,0,0.196956917877705,0,0.0381422437416298,0,0,0,0,0,0,0
X600019.SH,0,0.172412749814284,0.043058527834589,0.00669391608419683,0,0,0,0,0,0,0,0,0.212049980393149,0,0,0,0,0.0505608957864918,0,0,0,-0.00774380359948913,0,0,0,0,0,0,0,0,0,0,0,0.162385715213725,0,0,0,0,0,0,0,-0.0958555727101316,0,0,0,-0.111389644918687,0,0,0.0727865390772864,0,-0.126034788097286,0,0,0,0,0,-0.052420411825486,0,0
X600886.SH,0.241457752642781,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,-0.15399506845648,0,0.0455235328208475,0,0.254561038058421,0,0,0,-0.0585199264538137,0,0,0,-0.0682576798401792,0,0,0,-0.0154491846778071,0,0,0,0,-0.29548229985751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0139766888413491,0,0,0,0,-0.0753649802668128,0,0
X600547.SH,0,0.0394449948104598,0,0,0,0,0.128367917659625,0,0,0,0,0,0,0,-0.0639865278942597,0.0123368697707659,0,0.695503229696636,0.205851828015247,0,0,0.000401977074813051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.336178417989237,0,0,3.46944695195361e-18,0.0264721553535325,0,0,0,0,0,0
