,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X601898.SH,X600188.SH,X600660.SH,X601600.SH,X600019.SH,X600585.SH,X600547.SH,X600886.SH,X600011.SH,X000792.SZ,X600795.SH,X600362.SH,X600489.SH,X600010.SH,X600111.SH,X002460.SZ,X000708.SZ,X600803.SH,X600027.SH,X002466.SZ,X600160.SH,X000786.SZ,X000301.SZ,X601991.SH,X000807.SZ,X600426.SH,X600219.SH,X000983.SZ,X601699.SH,X000630.SZ,X600985.SH,X000408.SZ,X601168.SH,X600096.SH,X002128.SZ,X000933.SZ,X600176.SH,X000877.SZ,X600378.SH,X002271.SZ,X600995.SH,X000883.SZ,X002353.SZ,X600352.SH,X000027.SZ,X002409.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0.150984340347047,0,0.0963541889853327,0,0,0.157537700238277,0,0,0,0,0,0,0,0,0.214401970916318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.344002572139096,0,0,0.0116310863630242,0,0,0,0,0,-0.195465684887117,-0.0240227116950651,0,0,0.171842785514681,0,0,0,0,0.0390516552961094,0,0,0,0,0,0,0
X601088.SH,0.0227237618452105,0,0,0,0.289329603548528,0,0,0,0.0226360720604814,0,0,0,0,0,0,0,0,0,0,-1.38777878078145e-17,0,0,0,-0.038918106758429,0,0,0,0,0,0.0124714321565435,0,0,0,0,0.140095552133053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,-0.0169553255749684,-0.0418124166106583,0,0,0,0,0
X600028.SH,0.428448009319783,0.0341953560204221,0,0,0.22547532270175,0.0724106729623374,0,0,0,0,0,0,0,0,0.0989970761442765,0,0,0,0,0,0,0.00123246051789873,0,-0.0507677544035337,0,0,0,0.0884393940381942,0,0,0,0,0,0,0,0,-0.127162199351872,0,0,0,0,0.0277494952604523,0,0,0,0,0,0,0,-0.0507036379798843,0,0,0.0141713260652051,0.0439237025132174,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0.0194496216990274,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0.0570537936355463,0,0.165004073862787,0,0.043698627992035,0,0.123592916581845,0,0,0,0.326901443488918,0,0,0,0,0,0,0,0,0.0555794459594958,0,0,0,0,0.00632393249607853,0,0,0.0684017692260518,0,0.0593685501717884,0,0,-0.109375255701476,-0.0303640796661076,0,0,0,0,0,0
X601898.SH,0.197077495982259,0.214451272859911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0815681008220542,0.120863615696699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0191038326314132,0,-0.0311830571980638,0,0,0,0
X600188.SH,0,0,0,0,0.0727902614104209,0,0,0,0.0579859772296751,0,0,0,0,-0.19198056893604,0,0,0,0,0,0,0,0,0.0866230757879544,0,0,0,0,0,0,0,0.0160344357533811,0.202742608265625,0.465588309958585,0,0,0,0,0,0,0,0,0,0.269078486544766,0,0,0,0,0,0.0471402404332047,0,0,0.0321764687102494,0,0.164855765416528,0,0,0,0,0
X600660.SH,0,0,0,0,0,0,0,0,-0.0644526578419066,0,0,0,0,0,0,0,0,0,0.358330699709596,0,-0.480375081597765,0,0,0,0.0487782357260576,0.337137696493385,0,0,0,0.139199709712408,0,0,0,0,0,0,-0.0772245439148448,0,0,0,0,-0.128056144325009,0,0.0710590640395283,0,0,-0.00576603636305078,0,0,0,0.0427197862847264,-0.0529762174171323,0,-0.186980562415013,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0605056825874388,0,0,0,0.404019819092204,0,0.365483643965771,0,0,0,0,0,0.294628482672686,0,0,0.039587591999279,0,0,0,-0.116972119874812,0,0.210822442637677,0,0,0,0,0,-0.0417877768023576,-0.0459864849181526,0,0,0,0,0,0
X600019.SH,0,0,0.35926510571295,0,0,0,0,0,0,0.162315396413791,0,0,0.136724943757634,0,0,0,0,0,0,0,0.157740157425588,0,0,0,0,0,0.0837190655299813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0361516794574642,0,0,0,0,0,0,0,0,0,-0.0605942759964341,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0.0798070420872855,0,0,0,0.110468350368321,0,0,0,0,0.201921645325154,0,0,0,0,0,0,0,0,0,0,0,0.156971165417375,-6.93889390390723e-18,0.12478705960113,0,0,0,0,0,0,0.0548164962410294,0,0,0,0,-0.0526330707944546,0,0.226943840818828,0,0,0,0,0,0,0,0,0,0.065296305557546,0,0,0,0,0,0,0
