,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600585.SH,X601600.SH,X600010.SH,X600309.SH,X600011.SH,X601898.SH,X600188.SH,X600688.SH,X600795.SH,X600660.SH,X601992.SH,X600362.SH,X300072.SZ,X002466.SZ,X600547.SH,X601991.SH,X600111.SH,X002460.SZ,X600886.SH,X000898.SZ,X600516.SH,X000709.SZ,X000786.SZ,X600176.SH,X600157.SH,X000553.SZ,X600027.SH,X000792.SZ,X000408.SZ,X600808.SH,X600352.SH,X600219.SH,X600489.SH,X000959.SZ,X002271.SZ,X600339.SH,X601158.SH,X601699.SH,X002092.SZ,X000723.SZ,X000983.SZ,X000883.SZ,X000825.SZ,X600299.SH,X000630.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.589871091646703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0340687214454706,0,0,0.0221616680521647,0,0,-0.0120338151740761,0,0,0,0,0,0,0.0309457384043631,0,-0.00628452108300184,0.0231999158360942,0,0,0,0.0759236854994169,0,0,0,0,0,0,0,0,0,0,0,-0.00857991098468545,0,0,0,0,0,0,0
X600028.SH,0.568048807975407,0,0,0,0.0339029539161382,0,0,0,0,0,0,0.0924865082601458,0.0374796463941362,0,0.0385531679955864,0,0,0,0,0,0,0,0,0.00700657129880062,0,0,0,-0.0531800874359513,0,0,0,0,-0.0241165395410671,0,0,0,-0.12846039413167,0,0,0,0,0,0,0,0,0,-0.01278867496592,0,0,-0.0308117925980672,0.0459477399371223,-0.0209814254591034,0,0,0,0,0,0
X601088.SH,0,0,0,0,0.0474450807156433,0,0,0,0,0,0.211047092721442,0,0.578425323902506,0,0,0,0,0,0,0,0,-0.0614530883016147,0,0,0,0,0.0691382638208034,0,0,0,0,-0.0713993859648229,0,0,0.13251234970925,0,0,0,0.059912607053888,0,0,0.0951796584697053,0,0,0,0,0.105197081520065,0,0,0,0.0255943056457111,-0.0131686360271507,0,0,0,0,0,0
X600019.SH,0,0,0.068012857427219,0,0,0,0,0,0,0,0,0,0,0.167870962094216,0,0,0,0,0,0,0.0325776296796949,-0.0157317293158961,0,0.176213693937373,0.0134105177984029,0,0,0,0,0,0,0,0,0.34392048069376,0,0,0,0,0,0,0,0.0557092154395687,0,0,0,0,0,0,0,-0.197000962529421,0.0150675793795918,-0.0277055666521977,0.161425535826353,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0138896179611177,0,0,0,0,0.0990918145646952,0,0,0,0,0,0,0.121424491480342,0,0.0145936875212518,0,0,0,0,-0.0780888376884326,0,0.162081906626293,0,0,0,0,0,0,0,-6.93889390390723e-18,0,-0.197486952356179,0,0,-0.172116342541448,0,0,0,0,0.0322423572911082,-0.0898975208953199,0,0,0,0,0
X601600.SH,0,0,0.0369778096413036,0,-0.0231088645977994,0,0,0,0,0,0,0,0,0,0,0,-0.0279061932545641,0,0,0,0,-0.0100864571799889,0,0,-0.0330484246986249,0,0.00522662533285896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00988460183294775,0,0,0,0.0827762914511457,0.0138725969496108,0,0,0,-0.0338777175809789,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0.0677363708855077,0,0,0.0269518914969077,0,0,0,0.0691481300129688,0,0,0,0,0,0,0.0166921937579503,0,0,0,0,0,0.0500378165304562,0,0.0356530267524041,0,0,0,0.212988435181309,0,0,0,0,0,0,0,0,0.039304230311002,0.0268134290898056,0.0794790051738128,0,0,0,0,0,0,0.00212549519880133,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.258306184875915,-0.0965555494195055,0,0.0102528902734633,0,0,-0.109070681960876,0,0,0,0,-0.0915186687985341,0.0579032595124717,0,-0.0363968028129759,0,0,0,0,0,0,0,0,-0.0256323944636364,0,0,-0.065987676541582,0.538634154127068,0,0,0,0,0,0,0,0.0294592448761332,0,0,0,0,0,0,0
X600011.SH,0,0,0.0299119850709947,0,0,0,0,-0.0311199868194037,0,0,0.0465407134013358,0,0,0,0.0952294086089326,0,0,0,0,0,-0.0337441261109937,-0.0102470630107405,0,0,0,0,0.015781447942169,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104491689276679,0.0374024154852113,0,0.00957252373529828,0.0817203185798142,0,0,0.0143773372818123,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0.0526773600856916,0,0,0,0.246542409604223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0379025911203102,0,0.0218112734631949,0,0.0574057473406244,0,0,0,0,0,0,0,0.0646803531495131,0.000737338319016278,0,0.140096208420604,0,0,0,0,0,-0.000839072898680624,-0.00295557232308626,0,0,0,0,0,0
