,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600188.SH,X601898.SH,X600011.SH,X600019.SH,X600585.SH,X600886.SH,X600660.SH,X601600.SH,X600547.SH,X600795.SH,X000792.SZ,X002466.SZ,X601699.SH,X000708.SZ,X002460.SZ,X000301.SZ,X600010.SH,X600362.SH,X600027.SH,X600111.SH,X000983.SZ,X000877.SZ,X600803.SH,X600426.SH,X600489.SH,X601991.SH,X000786.SZ,X600160.SH,X600985.SH,X002271.SZ,X000408.SZ,X000630.SZ,X000932.SZ,X000933.SZ,X000807.SZ,X600176.SH,X600348.SH,X601168.SH,X600219.SH,X002128.SZ,X600612.SH,X000027.SZ,X600157.SH,X600096.SH,X600688.SH,X000883.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.0299333247327842,0,0.0676529383380804,0,0,0,0,0,0,0,0,0,0,-0.492574031412756,-0.0687560690725144,0,0,0,0,0,0,0,0,0,0,0,0.292184364324948,0,0,0,0,0,0,0.244159967956279,0.189501326676687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00503082378858791,0.0152559995965269,0,0,0,0,0,0
X601088.SH,0.0344043706419157,0,0,0,0.155709027681716,0,0,0,0,0,0,0,0,0,-0.0209457068768762,0,0.134461885266035,0,0,0,0,0,0.0370663410113207,0,0,-0.109641705885607,0,0,-0.145822848680987,0,0,0,0.203982809725872,0,0,0,0,0.176204207224771,0,-0.0181532994299346,0,0,0,0,0,0,0,0,0,0,0,0.00718657496886388,0.00415701939545706,-0.0239881123747281,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0,0,0.0375316869170647,0,0,0.141805973423114,0,0,-0.0368298398623657,0,0,0,0,0,0,0,0,0,0,-0.131794959689079,0.00424749105584452,0,0,0,0,0,-0.0595072742561608,0,0,0.312243261518953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00160563670508961,0,0,0,0,0,0,0
X600309.SH,0.162505031140765,0,0,0,0.183246327671258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0138440441631509,0.287149419442438,0,0,0,0,0,0.294462022925225,0.0688679334297166,0,0,0,0.179024206290365,0,0,0,0,0,0,0,0,0,0,0,0,-0.0904849214076761,0,0,0,0,0,0,-0.0371076848493783,0.0203719775344427,-0.105452849206591,0,0,0.211641032710903,0,0
X600188.SH,0.122704288948409,0.0786011896277386,0,0,0,0.0719139982243805,0,0,0,0,0,0,0.0305347628572216,0,0,0,0.205111472481811,0,-0.0583613395514433,0,0,0,0,0,0.171180623847,0,0,0,0.0159184960533776,0,0,0,0,0,0,0,0,0,0,0,0.232596195810366,0,0,0,0,0,0,0,0,0,0,0.0223714439752143,-0.0244715986695222,0,0,0,0,0,0
X601898.SH,0,0,0,0,0.0337756392373308,0,0.0644537068289889,0,0,0,0,0,0,0,0,0,0.0856957004860428,0,0,0,0,0,0.0599355873553158,0,0,0,0,0,0,0,0,0,0.0262724016164674,0,0,0,0,0,0,0.0845330084209081,0.192144255779533,0,0,0,0.431890716827511,0,0,0,0,0,0.108924369212799,0.0426763783367829,-0.0171860351792817,0,0,0,0,0,0
X600011.SH,0.0181200714463362,0,0,0.0208056783216433,0,0,0,0,0,0.13712281816553,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0.289590053361936,0,0,0,0,0,0,0.190849202339937,0,-0.0275813351179625,0,-0.0326387629670144,0,0,0,-0.0399631702843023,-1.73472347597681e-18,0,0,0,0,0.0472863998241509,0,0,0,0,0,0,0.0642609331174698,0,-0.000843710178595634,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0.0658156408527702,0,0,0,0,0,0,0.0215410598914633,-0.0330027991051933,0,0,0,0,0,0,0,0,0.0122007448470514,0,-0.0118413976389121,0,0,-0.193799779162564,0,0,0.308879023229888,0,0,0,0,0.178642668811592,0,0,0,0,0,0,0,0,0,-0.0120390319203737,0.0154836300056377,0.0806222721588767,0,0,0,0,0
X600585.SH,0.169505054527447,0,0,0.149763819737187,0,0,-0.000721334536874996,0,0,0,0,0,0,0,0,0,0,0,0.152886779717032,0,0,0,0,0,0,0,0,0.00875856147113848,-0.0584592466114038,0,0,0,0,0.0286650730756952,0,0,0,-1.73472347597681e-18,0,0.117147201271753,0,0,0,0,0,0,0,0,0,0,0,0.0150419204122584,0,0,0,0,0,0,0
X600886.SH,0,0.116829158430424,0,0,0,0.0717685495848758,0,0,0,0,0.081324392628575,0,0.00848502692078313,0.362946781432705,0,0,0,0,0,0,-0.115900306107604,0,0,0,0,0,0,0,0,0,-0.124835505812981,0.0114745945473958,0.112061854891736,0.0640915584949079,0,0,0,0,0,0,0.000984253141583701,0,0,0,0.029855110816429,0,0,0,0,0,0.0498258025633975,-0.0208284345481577,0.0273013660348864,0,0,0,0,0,0
