,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600019.SH,X600585.SH,X601898.SH,X601600.SH,X600795.SH,X601991.SH,X600688.SH,X600027.SH,X600886.SH,X600362.SH,X600157.SH,X600111.SH,X601992.SH,X600188.SH,X000709.SZ,X000898.SZ,X601158.SH,X600299.SH,X600660.SH,X000539.SZ,X600309.SH,X000883.SZ,X000792.SZ,X600583.SH,X600352.SH,X000027.SZ,X600623.SH,X000630.SZ,X002466.SZ,X600160.SH,X000629.SZ,X600578.SH,X600489.SH,X600547.SH,X002470.SZ,X600098.SH,X600022.SH,X600021.SH,X600808.SH,X000060.SZ,X000959.SZ,X000825.SZ,X600176.SH,X600863.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.633490793110918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0722087865345298,0,0.00421587142731587,0.0370803070948108,0,0,0,0,0,0.0361545524249601,0,0,0,0,0,0,0,0,0.0650459845449381,0,0,0,0,0,0,0,0,0,0,0,-0.000863426187034943,0,0
X600028.SH,0.255788850417951,0,0,0,0,0,0.261828679485991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00134922778065976,0,0,0,0,0,0,0.0568867379582452,0,0,0,0,0,-2.71050543121376e-20,0,0,0,0,0,0,0,0.100209924411142,0,0.0235148281112624,0.0367191292817026,0,0.0162369345863679,0,0,-0.00913608344044499,0.00792821612768982,0.0590235963225145,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0.0884122141083976,0,0,0,0,0,0,0,0,0.135221374810449,0,0,0,0,0,0,0,0,0,0,0,0.0381450924425397,0,0,0,0,0.0746303161477066,0,0.00895871918261646,0.052156698016568,0,0,0,0,0,-1.38777878078145e-17,0,0,0,0,0.458834956075138,0,0,0,-0.00156461544375014,-0.0438039092389312,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0.0685401250963832,0,0.012543535862717,0,0,0.0650968346930172,0,0,0,0,0,0,0,0,0.0507143649439477,0.0474242831152115,0,0,0,0.12050719238113,0,0,-4.33680868994202e-19,0,0,0,0,0,0.0175162848756797,0.0142517383435544,0,0,0,0,0,0.0643217350251484,0,0.182311264341168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0.055272807289659,0,0,0,0,0,0,0.00405521394417408,0.102358409756645,0.302809409243808,0,0.0725636021361823,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0601684580529763,0,0,0.123162818295457,0,0,0,0,0,0,0,0,0.125525791412353,0.0196968275631534,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0689849539365861,0,0,0.352701096404243,0,0,0.0238210595408479,0,0,0,0,0,0,0,0,0,0,0,-0.00855490229330423,0,0,0.0378950538438858,0,0,0.142503851393307,0,0,0,0.0808950898609954,0.259972968584849,0,0,0,0,-0.00949423897081692,0,0,0,0,0,0
X600585.SH,0,0,0.0494456100502295,0,0,0,0,0.0282593844973183,0,0,0,0,0,0,0,0,0,0.0519172916920882,0,0.0910361425205602,0,0,0,0,0,0,0,0.0275050083445059,0,0,0,0,0.0378313753882771,0.025372974461352,0.00885816500784482,0.109794586441841,0,0,0,0,0,0,0,0.106829834414471,-2.16840434497101e-19,0,0,0,0,0,0,0,0,0,0,0,0,0
X601898.SH,0,0,0.0949752068826877,0,0,0,0,0,0,0,0,0,0,0,0.0402605259713453,0,0,0,0.183739927043946,0,0,0,0.00881309658409809,0,0,0,0,0.0646586654487862,0,0,0.0693504502409395,0,0,0,0,0.102246486999762,0,0,0,0,0.0573999713396418,0,0,0,0.00552966937235318,0,0.244306192300821,0,0,0,0,0,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0.0516756164446683,0,0,0,0,0,0,0,0,0.133737837166136,0,0,0,0.241222341983313,0.0391486257805801,0,0,0,0,0,0,0,0,0,0,0,0,0.0488861754487493,0,0,0.0330107478714105,0,0,0,0,0,0,0,0,0.0954313789292636,0,0.227373226036683,0,0,0,0,0,0,0,0,0,0,0
X600795.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0214223275448388,0,0.0977236633737364,0,0,0,0,0,0,0,0,0.000479813742154019,0,0.0605221720191007,0.0132218974786169,0,0.0161864453696761,1.35525271560688e-20,0.0503328278333288,0.0116031604271673,0,0,0,0.041844019633935,0.124962569081071,0,0.16857737348961,0,0,0.133827299506923,0,0,0,0,0,0,0,0,0,0,0,0
