,X601857.SH,X600028.SH,X600585.SH,X601088.SH,X600309.SH,X600547.SH,X600019.SH,X000708.SZ,X002271.SZ,X600660.SH,X600011.SH,X002460.SZ,X600886.SH,X600801.SH,X601600.SH,X601898.SH,X600489.SH,X600010.SH,X600362.SH,X000786.SZ,X600111.SH,X600352.SH,X600176.SH,X601991.SH,X600188.SH,X600426.SH,X600299.SH,X600795.SH,X600688.SH,X002466.SZ,X002080.SZ,X600027.SH,X600529.SH,X601992.SH,X002353.SZ,X600612.SH,X002409.SZ,X600219.SH,X600315.SH,X600486.SH,X000301.SZ,X600516.SH,X000932.SZ,X600126.SH,X000027.SZ,X000723.SZ,X002075.SZ,X601158.SH,X000898.SZ,X000401.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0,0,0.0573947408978124,0,0,0.116947921822778,0,0,0,0,0,-0.0273276108831857,0,0.0394092542420371,0,0,0,0,0,0.00296595807488533,0,0.0140397678062733,0,-0.0533064684747315,0,0.0955870608694448,0,0,0,0.0163352904121498,0,0,0,0,0,0,0.0636637535798586,0,0,0,0,0,-0.000877020533727276,0,0,0,0,0,0,0
X600028.SH,0,0,0,0,0.0233824277705726,0,0,0,0,0,0,0.0445315447366345,0,0.00727827648731881,0,0,0,0,0.050824027073693,0,0,0,0,0,0,0,0,0,0,0,0.00229196183118756,0,0,0,0.138292851997325,0,0,0,0,0,0,0.0514111728467872,0,0,2.16840434497101e-19,0,0,0,0,0,-0.00847831954743265,-0.0048570509232672,0.0032223395964126,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0.0791269188589916,0,0,0.125172246832409,0,0,0,0,0,0.0618463926652483,0,0,0.0770837973903489,0,0.171645546451369,0,0,0,0,0.032013329458043,0.0903358585574374,0,0,0,0,0,0,0.0405704412205068,0,0,0,0,0.0554435944026507,0,0,0,0,0,0,0,-0.00982946379270314,-0.0142515862645209,-1.0842021724855e-19,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0.00793425373832014,0,0,0,0.175975042716848,0,0.0383001311243645,0,0,0,0,2.16840434497101e-19,0,0,0,0,0,0.0285997765230462,0,0.265931731650593,0,0.00897300116175336,0,0,-0.0233955174626389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00140708746430473,0,0,0.00912665288929235,0.0128783485139567,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0.062843511656023,0,0,0.0692620244015657,0,0,0.0414916664704628,0,0,0,0,0.026212949008952,0,-6.93889390390723e-18,0,0,0,0.0103518192009543,0,0,0.239233151269818,0,0,0,0,0,0,0,0,0,0,0.0633179840808795,0,0,0,0,0,0,0,0,0,0,0,0.123504782839793,0,0,0,-0.0240512201337931,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0,0,0.0712230985136402,0,0,4.33680868994202e-19,0,0,0,0,0.689971153124688,0,0,0,0,0,0,0,0,0,0.121648707521036,0,0,0.00650456795649639,0,0.0113204347330418,0.0119946489038009,0,-0.122587837511855,0.0794091064049235,0,0,0,0,0,0,0,-0.0349683460585013,0,0,0,0,0,0,-0.0621076367231063,-0.0027158447152402,-0.0223151257201107,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.207181179386006,0,0,0,0,0,0,0,0.0739341003460233,0,0,0,0,0,0,0,0,0,0,0,0.0565750126952593,0,0.031418846107478,0,0,0,0,0,0,-0.0316595727861184,0,0.122796971324515,0,0,0,0,0,0.00214157231972997,-0.00694057297508293,0,0,0,0,0,0
X000708.SZ,0,0,0,0,-0.119235937359906,0,0,0,0,0,0,0,0,0,0.158793746294856,0,0.0677198093477422,0,0,0,0,0,-0.00980532991812409,0,0.230352157893127,-0.0863881033424354,0.141554720999359,0,0,0,0,0,0,0,0.0853048965663506,0,0,0,0,0,0,0.135930094842027,0,0.00406228844609975,0,0.069264038251284,0,0,0,0,0,-0.00755546334662172,-0.0079886298353794,0,0,0,0,0,0
X002271.SZ,0,0,0,0,0.0551470668009707,0,0,0,0,0,0,0.0645552241918347,0,0,0,0,0,0,0,0.279112290781143,0,0,0,0,0,0,0,0,0,0.110076687806666,0,0,0,0,0,-0.052720227950233,0.0612958394497182,0,0.0849009833059325,0,0,0.178678600594711,0,0.0126721168540657,0,0,0.0695033635517178,0,0,0,0,-0.0111372661029827,-0.0213412746724371,0,0,0,0,0,0
X600660.SH,0,0,0,0,0.185419040593474,0,0,0,0,0,0,0.104284677640044,0,0,0,0,0,0,0.202504144906952,0,0,0,0,0,0,0.0057492333405409,0,0,0,0.0442721130985714,0,0,-0.0851807931783839,0,0.0351541932477717,-0.0465274272248878,0,0,0.0268353131918227,0,0,0,0,0,0.0217021509154394,0,0,0,0.0910119086666049,0,0,0.00616169178885582,0.0129928488377766,0,0,0,0,0,0
