,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600019.SH,X600585.SH,X601898.SH,X600688.SH,X600795.SH,X601600.SH,X600027.SH,X600188.SH,X601991.SH,X600547.SH,X600157.SH,X600111.SH,X600362.SH,X600886.SH,X002466.SZ,X600623.SH,X601992.SH,X000792.SZ,X600309.SH,X600299.SH,X600489.SH,X600660.SH,X300072.SZ,X601158.SH,X600583.SH,X002075.SZ,X000883.SZ,X600549.SH,X000709.SZ,X000723.SZ,X600352.SH,X000539.SZ,X000898.SZ,X002407.SZ,X000027.SZ,X000983.SZ,X002470.SZ,X002460.SZ,X000630.SZ,X000012.SZ,X000761.SZ,X000060.SZ,X600176.SH,X600021.SH,X600219.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0.0407006880849844,0,0,0,0,0,0,0,0.0119434040409773,0,0,0,0,0,0,0.177833380028678,0.00180684575701587,0,0,0,0,0.0687340171289535,0,0,-0.00468168441375277,0,-0.0242654299975561,0,0,0,0,0,0,0,-0.0411575481509823,0,0,0,0,0,0,0,0,0,0.00604439888886189,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0,0.207163735407862,0,0,0,0,0,-0.00376956319413122,-0.0235453097133397,0,0,0,0,0,0,0,0,0,0,0,0,0,0.206208187224634,0,0,0,0,-0.0572405531340352,0,0,0,-0.0372399123194606,0,0,0.0224224890805271,0,0,0,0,0.0310136901982699,0,0,0.00356231097881854,0,0.0180026833968209,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0.00670737939222381,0.319872660685901,0,0,0,0,0,0,-0.0179732846884625,0.0381810264902169,0.00596386267168888,0,0,0,0,0,0,0.0748080276001619,0,0,0,0,0,0,0,0,0.0236643989087563,0,0.0572800865272125,0,0,0,-0.00368047020650185,0,0,0,0,0,0,0,0,0,0,0,0,0.0256391781552256,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0.000912095545528353,0,0.069385895109302,0,0,0,0.0351839154005061,0,-0.0204029449492548,0,0,0,0.141016981972192,0.0285108076140335,0.0526489648298365,0,0.0747819475511829,0,0,0,0,0,0.00233051298072891,0,-0.0591893142284886,0,0,0,0,0,0,0,0,0.148891029087869,0,0.0365816582183956,0,0,0,0,0,0,0,0,0,-0.0126412323176379,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,-1.73472347597681e-18,0,0.0112266634237316,0,0,0,0,0,0,0,0.400431501625003,0,0,0,0.0276609249643429,0,0,0,0.042849423171101,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0.171570479085966,0,0,0,0,0,0,0.04551414944177,0,0,0,0,0,0,0,-0.00375118987286339,0,-0.00144495987234329,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0369961500811558,0,0.0122886078157627,0,0,0,0,0,0.0625119895533969,0,0.0278275094664487,0,0.038291837848842,0.0430216342360234,0,-5.42101086242752e-20,0,0.341488869611378,-0.0271914972912498,0,0.033129885187972,0,0,-0.0667211621371702,0,0,0,0,0,0,0,0,0.0408736432367513,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0.197731720580892,0,0,0,0,0,0,0,0,0.114804155093181,0.0745921512088078,0.165051259876487,0,0,-0.0484057255127736,0.034412731335866,0,0,0,0.00586323011249637,0,0,0,0,0,0,0,0.0885295989764776,0,0,0,0,0,0,0,0,0,0.147121582076337,0,0,0,0,-0.127207203477353,0,0,0,0,0,0.127831318588308,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0.0659267516505112,0,0.0434581958816147,0,0,0,0,0,0,0,0,0.0124785529625969,0,0,0.150595816482151,0,0,0,0,0.11924702354318,0,0,0.013128289768489,0,0.0436856675974554,0,0.0857874639229057,0,0,0,0,0,0.161149568205376,0,0,0.00772058285603569,0,0.112266710148288,0,0,0,0,0,0,0,0,0,0,0,0,0
X600688.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028397921276837,0,0,0,0,0,0,0.106319644612054,0,0.14687746958139,0,0,0.201529868146258,0,0,0.0762199366591671,0.252462763016927,0.0909268529173442,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0381178325871657,0,0,0,0,-0.0296371264694362,0,0,0,0,0,0,0
X600795.SH,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0.0739670087709019,0,0,0.0249571599754485,0,0,0,0,0,0,0,0,0,0,0,0.018063892839376,0,0.0813643340575786,0,0,0,0,0,0,0,0,0,0,0.020699598623473,0,0,0,0.0291571835472907,0,0,0,0.0025158215226256,0,0,1.35525271560688e-20,0.0330244621149552,0,0,0,0,0,0
