,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600585.SH,X600188.SH,X002460.SZ,X000792.SZ,X600019.SH,X600111.SH,X002466.SZ,X000877.SZ,X002271.SZ,X600011.SH,X601898.SH,X600010.SH,X000708.SZ,X601600.SH,X600547.SH,X600660.SH,X000301.SZ,X600426.SH,X600886.SH,X600362.SH,X600176.SH,X000723.SZ,X000786.SZ,X600803.SH,X000983.SZ,X601699.SH,X000408.SZ,X600219.SH,X600096.SH,X000807.SZ,X600795.SH,X601991.SH,X600801.SH,X002080.SZ,X600985.SH,X002353.SZ,X000825.SZ,X000630.SZ,X600295.SH,X000932.SZ,X600489.SH,X600688.SH,X300073.SZ,X600486.SH,X601666.SH,X600141.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600795.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.293261803799337,0.0494388745988927,0,0,0,0,0,0.00468315623126402,0,0,0,0,0,0,0,0,0.0424621467597551,0,0,0.0505562896830754,0,0,0.351195897697982,0,0,0.0534201686462346,0,0,0.0778890947812409,-8.67361737988404e-19,0,-0.0608072179381009,0,0,0,0,0,0,0.0182328473522818,-0.0159085647431436,0,0,0,0,0,0
X601991.SH,0,0,0,0,0,0,0,0,0,0,-0.0147631590618744,0,-3.46944695195361e-18,0.0603294631838468,0,0,0,0,0,0,0,0,0.199262419434977,0,0,0,0.015123975175742,0,0,0.242300692303595,0,0.0282991869493679,0,0,0.24665795676647,0,0,0,0,0,0,0,8.67361737988404e-19,0.0846448849037976,0,0,0,0,8.67361737988404e-19,0.0998850217705034,0,-0.00154780354797975,0,0,0,0,-0.0272191904778373,0,0
X600801.SH,0,0,0,0,0.627961329632376,0,0,0,0,0,0,0.134426064410218,0,0,0,0,0.0949246550766994,0,0,0,0,0,0,0,0,0,0,0,0,0.106954692560162,0,0,0,0.0275769236635105,0,0,0,0,0,0.0520568921722911,0,0,0.0818166512477251,4.33680868994202e-19,0.00467172004589145,0,-0.159243779445589,0,-8.67361737988404e-19,0,0,0,0.00418334919228255,0,0,0,0,0,0
X002080.SZ,0,0,0,0,0,0,0,0,0,0.141365109496509,0.0396890401030906,0,0.0421824652274239,0.038195402061088,0,0,0,0,0,0.178833658019157,0.0319476924825087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0516946998103163,0.0668089691197519,0,0,0,0,0.0622245204596227,0,0,0,0,-0.0279548430885691,0,0,0,0,0,0
X600985.SH,0,0,0,0,0,0,0,0.0163174783457922,0.226845715732561,0,0,0,0,0,0.144810260799101,0,0,0,0,0,0,0,0,0,0,0,0,0.0393225346549087,0,0.14759179024036,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0.085781719038488,0,0.00925136960764412,0,0.195354832160587,0,0,-4.33680868994202e-19,0.0120768776789488,0,0,0,0,0,0
X002353.SZ,0,-0.00151896736762627,0,0,0,0,0,0,0,0,0,0,0,-0.0200551193191952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.071158752500467,0.130142426080826,0,0.0525394720968887,0,0,0.119085933334244,0,0,0,0,0.275464051384458,0,0,0.265314978358517,0,0,0,-0.0244603619932478,0,0,0,0.0148286078352219,0,0,0,0.10544982047139,0,0
X000825.SZ,0,0,0,0,0,0,0,0,0,0,-0.0149135404783354,0,0,0,0,0,0,0,-0.103471851034763,0,0,0,0,0.100471637921288,0,0,0.109343311883383,0,0,0,0,0,0,0.3269895410949,0,0,0.191435973340013,0,0,0,0,0,0.153114483880135,0,0,0,0,0.0978060282966133,-0.179513491059452,0.0203665133123121,0,-0.0460583457848293,0.0107719220435984,0,0,0,-0.0230987202915029,0,0
X000630.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0582221829236621,0,0,0,0,0,0.162276609524864,0,0,0.130444496546677,0.197015495702604,0.0983235124950302,0,0.248319178911447,0,0,0.0602740046576803,0,0,0,0,0,0,0,0,0,0,0,0.0239980645759348,-0.00947081481349043,0,0,0,0,0,0
X600295.SH,0,0,0,0,0,0,0,0,-1.38777878078145e-17,0,0,0,0,0,0,0,0,0.120918468449851,0,0,0,0.339896732197915,0,0,0,0,0,-4.33680868994202e-19,0,0.0928748014066661,0.0152173022329122,0,0,0,0,0,0.198499918458739,0,0,0,0.195456524617006,0,0,0,0,0,0,0,0,0,0,0.0165124052397553,0,0,0.124332026674588,0,0,0,0
X000932.SZ,0,0,0,0,0,0,0,0,0.372687875513104,0,0,0.0160575538069008,0.108658998763202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105754532974926,0,0.0456882281055206,0.0705827288034108,0.0313998490962936,0.0834124276807769,0.109453984138097,0,0,0,0,0.0436657723068879,0,0,0,-0.0196865244981836,0,0,0,0,0,0,0
