,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X002460.SZ,X002466.SZ,X600188.SH,X600585.SH,X000792.SZ,X600019.SH,X601898.SH,X600011.SH,X600111.SH,X002271.SZ,X600660.SH,X600010.SH,X000877.SZ,X000301.SZ,X000708.SZ,X600886.SH,X600547.SH,X601600.SH,X600795.SH,X600176.SH,X600362.SH,X000408.SZ,X600426.SH,X600096.SH,X000786.SZ,X000983.SZ,X300073.SZ,X600803.SH,X601991.SH,X000723.SZ,X000629.SZ,X600141.SH,X600027.SH,X002080.SZ,X002192.SZ,X600219.SH,X601699.SH,X600801.SH,X002407.SZ,X600486.SH,X002353.SZ,X002497.SZ,X600157.SH,X300037.SZ,X600378.SH,X000959.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.0905596481411665,0,0,0,0,0.0205028686109579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0838161049957639,0,0,0,0,0,0.105771527097464,-0.131482609259797,0.15578662285144,0,0.0949273019949576,0,0,0,0.100796885122444,0,0,0,0,0,0,0,0.0103896862436706,0.0224658940938532,0.00106977717589536,0,0,0,0,0,0,0,0,0,0,0,0,0
X601088.SH,0,0,0,0.0172392331066389,-0.103459911385185,0,0.235321640168564,0,0,0,0.147683467135145,0.0339089768238115,0,0,-0.125859639620292,0,0,0,0,0,0,0,0.0234344927738814,0,0,0,0.100074033516476,0,0,0,0,0,0,0,0,0,0,0,0,0,0.110094428050248,0,0,0.0427738705013503,0,0,0,0,0,0,0,-0.0108768197124482,0,0,0,0,-0.00879750965184052,0,0
X600028.SH,0,0.0547643387084575,0,0.0176213886147736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.140128069027618,0.0550781483734593,0,0,0,0.01376411336454,0,0,0,0,0,0,0,0.010478944273754,0,0,0,0,0.00374695658386531,0,0,0,0.00819260739104091,0.0426014355892404,0,0.0572703121781442,0,0,0,0,-0.0129287589813885,0,0,0,0,-0.0151083441110528,0,0
X600309.SH,0,0,0,0,0,6.93889390390723e-18,0.032246661322645,0,0,0,0.0907226477696767,0,0,0,0,0,0.183067056718769,-0.0185539767850845,0,0,0,0,0.142309546422357,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0.0382342584111761,0,0.0180402840721021,0,-0.0105425478695019,0,0.0367171261408301,0,0,0,0.0953557622286764,0,0,0,-0.0479779624412055,0,0,0,-0.0226407822289263,0,0
X002460.SZ,0,0,0,0,0,0.0716269253595083,0,0,0.100449302506902,0,0,0,0.0240826791919834,0,0,0.0942913556221034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0503277245327481,0,0,0,0,0,0,0.107999388172986,0,0,0.0261603277941294,0,0,0,-0.0588088316274323,0.442223853910206,0,0,0,0,0,0.0516325122221418,-0.0672746294423361,-0.124290453079946,0,0,0.0935982167424104,0,0
X002466.SZ,0,0,0,0,0.464961806150528,0,0,0,0,0,0,0,0.00996903802159474,0,0,0.0704802749439309,0,0,0,0,0,0,0,0,0,0,0,0.0579018011855739,0,0,0,0,0,0.036783864055857,0,0,0,0,0.0830906561582513,0.142414701699647,0.0103073903663348,0,0,0,0,0.243764399850847,0,0,0,0,0,0.00400159227506945,0,0,0,0,0.0301360905158732,0,0
X600188.SH,0,0.307798935806718,0,0,0,0,0,0,0,0,0.0607627005226186,-0.205605698744998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0741860422882939,0.000165761539017702,0,0,0,0,0,0,0,0,0,0,0,0.399982919948858,0.111403187696401,0,0,6.93889390390723e-18,0,0,0,0,0,0,0.0682010035121384,-0.11241863850996,0,0,0,0,0,0
X600585.SH,0,0,0,0.0353029165326671,0,0,0,0,-0.0460370579788464,0,0,0,0,0.151223822504904,0,0,0,0,0,0,0.079974753024047,0,0,0,0,0,0,0,0,-0.00156253858080366,0,0,0,0.0450413282134334,0,0,0,0,-0.0210056605015066,0,0,0.42046554836397,0,0,0,0,0,0,0,0,0,-0.00164065087518853,-0.00878500659679664,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0.128949567653135,0,0.154253771630608,0,0,0,0,0,0,0,-0.0159376641463822,0,0,0,0,0,0,0,0,0,0,0.427217887627442,0,0,0.0406455008167512,-0.0231836613279822,0,0,0,0,0,0.056522285125989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0201783484149701,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00759906392430188,0,0,0,0,0,0,0,0.115867762390852,0,0,0,0,0,0,0.0445358288452061,0,0,0,0,0,0,0,0,0,0,0,0.0604869280610339,0,0,0,0.0373463439501915,-2.16840434497101e-19,0.0640016703931256,0,0,0.147037495975718,0,0.0148322855222566,0,0,0,0,8.67361737988404e-19,0,0
