,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600585.SH,X600011.SH,X600010.SH,X601600.SH,X601898.SH,X600188.SH,X600688.SH,X601991.SH,X002466.SZ,X600660.SH,X600362.SH,X600795.SH,X600516.SH,X600547.SH,X300072.SZ,X600886.SH,X002460.SZ,X000898.SZ,X600111.SH,X601992.SH,X600176.SH,X000786.SZ,X000553.SZ,X600352.SH,X600299.SH,X600027.SH,X000709.SZ,X000792.SZ,X000825.SZ,X002271.SZ,X000408.SZ,X601158.SH,X600489.SH,X601699.SH,X600808.SH,X600219.SH,X600426.SH,X002470.SZ,X000883.SZ,X000630.SZ,X600315.SH,X600157.SH,X000830.SZ,X000932.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.295260245924434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.149326265422809,0,0,0,0.00231124024809716,0,0.0328998540792806,0.0434299978781269,0.0746812796980932,0,0,0,0,0.0206872374771879,0.0510955154883498,0,0,0,0,0,0.0969966795516913,0,0.0101397293378532,0,0,0,0,0,0,0,0,0.00223903184450606,0.00653002395387265,0,0,0,0,0,0
X600028.SH,0.0101574350609278,0,0.469150318844981,0,0.0206221701504003,0,0,-0.0745197098492492,0,0,0.462244285273289,0,0,0,0,0,0,0.0962603972282654,-0.0500862405956819,0,3.46944695195361e-18,0,0,-0.050769166325077,0.0816173006367436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0133379123887385,0.0138838972351219,0,0,0,0,0,0
X601088.SH,0,0.118359830842139,0,0.224111543938239,0,0,0,0.0263984276230503,0,0,0,0,-0.00375670228054146,0,0,0,0,0,0,0,0,0,0,0,0,0.0205669076100917,0,0,-0.165973614813822,0,0,-0.011953676287406,0,0,0,0,0,0.383660641919632,0,0,0,0,0,0,0,0,0,0,0,0.00120666618861128,-0.0112538694579942,0,0,0,0,0,0
X600019.SH,0,0,0.598560235105443,0,0,-0.0796638167787141,0,0,0,0.228726224179242,0,0,0,0,0,0,-0.0440652917095153,0,0,0,0,0,-0.0552306995029088,0,0,0,0,0,0,0,0,0,0.0302284066253078,-0.0902026479012476,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0986047459501246,0,0.00790022069153156,-0.00992669729670376,0,0,0,0,0,0
X600585.SH,0,0,0.32826529414593,0.115802543200044,0,-0.0315414870537617,0,0.023981826551745,0,0.0434142636722725,0,0,0.0966410642349194,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0.167556843774324,0,0,0,-0.0444339044173159,0,0,0,0,0,0,0,0.113710796429221,0,0,0,0,0,0,0,0,0,0.0914112730296603,0,0,0.0294177258789866,0,0,0,0,0,0
X600011.SH,0,0,0,0,-0.186616145764509,0,0,0,0,0,0,0,0,0,0,0,0.0910552522754394,0.0329122692945416,0.0226815673294424,0,0,-0.0784202901546699,0.119251563126274,0,0,0,0.122653199303447,0,0,0.487505208056003,0,-0.0553164781169227,0,0.0248515873014988,0,0,0,0.164605117150196,0,0,0,0,0,0,0,0,0,0,0,-0.0149957637633619,-0.0342155440513514,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0.116400533427715,0,0,0,0,0.00964011818161355,0,0,0,0,0,0,0,0.132829077779744,0.0764862148286205,0,0,0,0.0630533842716851,0,0,0,0,0,0,0,0,0,0,0.110561290382493,0,0,0.123084118725473,0,0,0,0,0,0,0,-0.0271335512158279,0.011401961191239,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0.933274958212673,0,0,-0.0264030654207282,0,0,0,0,0.0789335781949436,-0.162612826355159,0,0,0,0,0,-0.325903756872309,0.393025951505452,0,0,0.322313119338939,0,0,0,0,0.219639507861356,0,0,0,0,0,0,-0.118563174206283,-0.452224541819813,0,0,0,0,-0.276453973746028,-0.59876443259403,0,0.0456257938536874,-0.0478053430172958,0,0,0,0,0,0
X601898.SH,0,0.0230679172576754,0,0,0,0.0300043415714064,0,-0.0484452994955007,0,0,0,0,0,0,0.400593765679987,0,0,0,0,0,0,0,0,0,0,0,0.023799749296851,0.0659516858156492,0,0,0,0.0746499150577393,0,0,0,0,0,0,0.175546171537606,0,0,0.0431501387733111,0,0,0,0,0.0629762694851636,0,0,0.0141777679009601,0,0,0,0,0,0,0
X600188.SH,0,0,0,0.579819127849339,0,0,0,0.000721248653288849,0,0,0,0,0,0,0.0184599226657407,0,0,0,0,0,0.0948242948791247,0.0956533277109533,0,0,0,0,0,0,0,0,0,0,0,-0.125053391089261,0.0894434575673983,0,0,0.215805541669772,0,0,0,0,0,0,0,0,0.227252589288694,0,0,-0.0500961289704433,0.00846558703312305,0,0,0,0,0,0
