,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600188.SH,X601898.SH,X600019.SH,X600011.SH,X600585.SH,X600547.SH,X600886.SH,X600660.SH,X601600.SH,X002466.SZ,X000792.SZ,X002460.SZ,X600795.SH,X000708.SZ,X600111.SH,X601699.SH,X600010.SH,X000301.SZ,X600362.SH,X000983.SZ,X600426.SH,X000877.SZ,X600027.SH,X600803.SH,X600489.SH,X601991.SH,X002271.SZ,X600160.SH,X600985.SH,X000786.SZ,X000807.SZ,X000408.SZ,X000630.SZ,X600176.SH,X000933.SZ,X000932.SZ,X600348.SH,X600612.SH,X600219.SH,X601168.SH,X300037.SZ,X002128.SZ,X600995.SH,X600688.SH,X600157.SH,X000629.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.684626933971559,0.30020883427408,0,0,0,-0.029579142154202,0.154299379527178,0,0,0,0,0,-0.22736988353314,0,0,0,0.0502389412507071,0,0,0,0,0,0,0,0,0,0,0,0,-0.217494221988607,0,-0.0981158630958154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00224384398153002,1.35525271560688e-20,-0.101308602783161,0,0,0.05668995850482,0,0
X600028.SH,0.638296505429954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0465401844400112,0,-0.0803837534183035,0,0,0,0,0,0,0.159272260517032,-0.0892579798407428,0.0575305546447789,0,0,0,0,0,0,0,0,0,0,0,-0.0256173314162808,0,0,0,0,0,0.134090735873381,0,0,0,0,-0.0109472402241603,0.0123107306253037,0,0,0,-1.38777878078145e-17,0,0
X601088.SH,0.118507987415545,0.195481386230201,0,0,0.0599249526596999,0.0759080925972374,0,0,0,0,0.0088017179366295,0,0,0,0,-1.73472347597681e-18,0,0,-0.105198108841651,0.144551335728261,0,0,0,0,0,0,0,-0.150721033673839,0,0,0,0,0.0429313748331623,0,0,0,0,0.0733143399738786,0.0683400384001117,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0134967861592227,0,0,0,0.010884134803331,0,0
X600309.SH,0,0,0,0,0.254571269441917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.078741938775114,0,0,0.27780610196963,0,0,0,0.173769579589371,0.162163105847593,0,0,0,0,0,0,0.0897102714597036,0,-0.0382316729508931,0,0,0.516600140346896,4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,-0.0208982714450369,0,0
X600188.SH,0,0,0.092254938232064,0,0,0,0.109486793310513,0,0,0.149386116981685,0,0,0,0,0,0,0,0,0,0.227131136186438,0,0,0,0.145479578910079,0,0,0,0,0,0,0.014430350977526,0,0.193844414064367,0,0,0.0337177218404683,0,0,0.0173000004949191,0,0,0,0,0,-0.0258526526168312,0,0,0,0,0,0,0.00349827389181584,-0.0137134721477807,0,0,0,0,0,0
X601898.SH,0.113014904901605,0,0.0673224251112526,0,0.360260667149027,0,0,0,0,0,0.129516414001514,0,0,0,0,0,0,0,0,0.0255200122229899,0,0,0,0.0875210903842264,0,0,0,0,0,0,0,0,0,0.00621924293947236,-0.010320624128503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0106526851877459,-0.0242804559428972,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0.25656905955089,0,0,0,0,0,0.12849267257111,0.0771497022624963,0,0,0,0,0.10429150305845,0,0,0,0,0,0,0,0,0,0,0,0,-0.0866283805831655,0,0,0,0,0.420942359357878,0,0,0,0.170148553461731,0,3.46944695195361e-18,0,0.076591877756276,0.0205298713954529,0,0,0.297775634209662,0,0,0,-0.00780341182730101,-0.000947427374841701,0.121744260291239,0,0,2.16840434497101e-19,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0.0956390334957112,0,0,0,0,0,0.0487920949589507,0,0,0,0,0,0,0,0,0,0.446828826990086,0,0,-2.71050543121376e-20,3.46944695195361e-18,0,0,0,0,0,0,0.0482490366026312,0,-0.0494663105929705,0,0,0,0,0,0,0.0405893764692958,0,0,-0.0218096816345302,0,-0.00277728429099896,0.00408896604194818,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0609656704983882,0,0,0,0,0,0,0,0.0800109001255157,0.0336756122901991,0.133405978731827,0,0,-0.0444306783535503,0,0.155596999406035,0,0,0.119882241150993,0,0,0,0.011383631450307,0.0277717646756814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600547.SH,0.0141550417182062,0,0,0,0.102814121183618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.072313486439417,0,0,-0.0267205392564569,0.545756021439952,0,0.0440311185210355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0219860744581629,0,0.0013207537392893,0.00602572773437076,0,0,0,0,0,0
