,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600309.SH,X600011.SH,X600010.SH,X601898.SH,X600660.SH,X601600.SH,X600688.SH,X600188.SH,X601991.SH,X600362.SH,X600886.SH,X600795.SH,X000898.SZ,X002466.SZ,X600516.SH,X600547.SH,X601992.SH,X600027.SH,X600111.SH,X600176.SH,X600352.SH,X002460.SZ,X000553.SZ,X002110.SZ,X600299.SH,X300072.SZ,X000786.SZ,X600801.SH,X000932.SZ,X000709.SZ,X600808.SH,X000629.SZ,X600426.SH,X600339.SH,X600583.SH,X000883.SZ,X601158.SH,X600219.SH,X601699.SH,X000830.SZ,X002271.SZ,X600985.SH,X600489.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.129764490910873,0,0,0,-0.0822970388000543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039857016487263,0,-6.93889390390723e-18,0,0.142392030746224,0.147368622276897,0,0,0,0,0,0,0.143304048605496,0.0290902651130486,0,-0.0435928694585005,0,0.00254657466218284,0,0,0,0,0,0
X600028.SH,0.0329829338960564,0,0.201070501986708,0,0,0,0,0,0,0.0626898810478548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0448218674651461,-0.0502801298779555,-0.143886338530661,0,0.0661430134854592,0,0,0,0,0,0,0,0,0.0334636061556428,0,0,0,0,0,0,0.173541441566978,0,0,0,0.00521746557280409,0.00230231470270993,0,0.0146907226999407,0,0,0,0
X601088.SH,0,0,0,0.0695000116111595,0,0.0201563839309681,0,0.0249596542131536,0,0,0,0,0.138157293943965,0,0.315003779317895,0,0,0,0.0463224634169612,0,0,0,0,0,0,0,-0.069623665848912,0,0,0,0,-0.104790146956807,0,0,0,0,0,0,0,0,0,0,0,0.23156133519516,0,0,0,0,0,-0.00426862745488688,-0.0174715749354081,0,0,0,0,0,0
X600585.SH,0,0,0.134645721160764,0,0.190375057351922,0.0088325541678939,0,0.0494035970690311,0,0,0,0,0,0,0,0,0,0,0.0773031899954122,0,0,0,0,0,0,0,0,0.0889002175986607,0,0,0,0.203074866230144,0.200654833819779,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00886038979717732,0,0,0,0.0203218613268712,0,0,0,0,0,0
X600019.SH,0,0,0,0.0835825146319264,0,0.122353375223422,0,0,0,0,0,0,0,0,0,0,0,0.187374971566836,0.010569941611825,0,0,0,0,0,0,0,0,0,0.110109450896051,0,0,0,0,0.312120493977545,0,0,0,0,0,0,0,0,0,0,0,0.0328648277249818,0,0,0,0.0052599815427704,-0.000705482572104489,0,0,0,0,0,0
X600309.SH,0,0,0,0,-0.106143019425207,0,0,0,0,0.205944606655038,0,0,0,0,0,0,0,0,-0.0984019952153315,0.49295457427381,0,0,0,0,0,0,0,0,0,0.0198165743972739,0,0.209273322565767,0,0,0,-0.0540825733710915,0,0,0,0,0,0,0,0,0.279229158470311,0,0,0,0,0.0230814240930512,0.0126195148986308,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0.0349144573123581,0,-1.73472347597681e-18,0,-0.0178084865513176,0,0,0,0,0,0.0423125739362774,0,0,0,0.0190717983165428,0,0,0.702936978907704,0,0,0,0,0,0,0,0,0,0,-0.0876633426329161,0,0,0,0,0,0,0,0,0,0,0.265280424727603,0,0,0,0,1.0842021724855e-19,0.00560144508678262,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.159006432496009,0,0.26278275583223,0,0,0,0,0,0,8.67361737988404e-19,0,0,0.0380627336714688,0,0,0,0,0.14941251159782,0,0,0,0,0,0,0,0.0461071676220376,0,0.193325229132779,0.107500475128335,0,0.0417678382818289,0,-0.00278900327527354,-0.0273601182049686,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0.253764375069857,0,0.0789293946539581,0,0,0,0,0,0,0.0438143741007388,0,0.028501786219376,0,0,0.135159162333233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0477039149311527,0.00930866274585765,0.057202603140163,0,0,-0.0104888366705991,-0.0103058433403903,0,0,0,0,0,0
X600660.SH,0,0.242736739249646,0,0,0,0.0424378030687009,0,0,0,0,0,0,0,0,0,0,0,0,0.315758120505106,0,0,0,0,0,0,0,0,0,0,0.071713811458713,0,0.031662216362515,0,0,0,0,0,0.0804922323988615,0,0,0,0,0,-0.0423184088600664,0,0.0114271380147319,0,0,0.0277648263666258,-0.00837234083779805,0,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,-1.38777878078145e-17,0.237050149977993,0,0,0,0.0297380236219429,0.148652676571171,0,0,0,0,0,0,0,0.0716087263567679,0,0,0.0340592368555389,0,0,0.0429898320531354,0.0296845834184799,0,0,0,0,0,0,0,0,0,0,0.257578881751932,0,0,0,0.103158218484555,0,0.0357018095190128,0,0,0,-0.00437619729942363,0,0,0,0,0,0,0
X600688.SH,0,0.337824099474133,0.0151966803400839,0,0,0,0,0,0,0,0,0,0,0,0.0787828362449319,0,0,0,0.0429849805117799,0,0,0,0,0,0,0,-0.000610184436192651,0,0,0,0,0,0,0,0,0,0,0.0171115377026576,0.0278359715546213,0,0,0,0,0,0,0,0.0620461509321412,0,-0.0488516524026943,0.0064267046890123,0,0,0.0671991388184506,0,0,0,0
X600188.SH,0,0,0,0,0,0,0,0,0,0,0.313882262552706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00718434244385815,0,0.0973158542590983,0.0666779190261567,0,0.091581056793135,0.0308248303653571,0.157432906064282,0,0,0,0,0.0140539344900506,0,0,0,0,0.233764823646503,0,0,0,0,0,0,0,0,0,0,0,0,0
X601991.SH,0,0,0,0,0,0,0.0583664182367172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0632013147898198,0.0273997914319475,0,0,0,0.0997866281132183,0,-2.16840434497101e-19,0,0,0,0,0,0,0,0,0,0.013418424072059,0.22977951426462,0,0,0,0,0,0,0.150137913271073,0,0,-0.0061340676164434,0,0,0,0,0,0,0
