,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600585.SH,X600010.SH,X600011.SH,X601600.SH,X600188.SH,X601898.SH,X600688.SH,X601991.SH,X002466.SZ,X600660.SH,X600362.SH,X600795.SH,X600547.SH,X300072.SZ,X601992.SH,X002460.SZ,X600516.SH,X600111.SH,X000898.SZ,X600886.SH,X000786.SZ,X600176.SH,X000553.SZ,X600352.SH,X000709.SZ,X000792.SZ,X600299.SH,X600027.SH,X000825.SZ,X002271.SZ,X000408.SZ,X601158.SH,X600489.SH,X601699.SH,X600219.SH,X600808.SH,X600426.SH,X000883.SZ,X002470.SZ,X600583.SH,X000630.SZ,X600315.SH,X600157.SH,X000830.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.28095531271185,0,0,0,0,0,0,0,0,0,0,0,0.0256637097871999,0,0,0,0.16319606782141,0.0138058242630473,0,0,0,0,0,0,0,0,0,0,0,0,0,0.042941263200675,0.046720396756968,0,0,0,-8.67361737988404e-19,0,0.0227312520956439,0.0490307843580994,0,0,0.0903359593665089,0,0,0,0,0,0.0109120640446935,0.0184175545756683,0,0,0,0,0,0
X600028.SH,0.329430204090818,0,0.453548704583843,0,0,0,0,-0.0667377897542344,0,0,0.304618679624797,0,0,0,0,0,0.0830071966978654,-0.0618365951375537,0,0.0164863045926103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0186267764285838,0,0,0,0,0,0,0,0,0.0675382443927809,0,0,0,2.16840434497101e-19,0,0.00438177799276711,0.0102181717365905,0,0,0,0,0,0
X601088.SH,0,0.11311542610193,0,0.227566888485719,0,0,0,0.0303292553074976,0,0,0.0121557760838119,0,-0.00292122420429233,0,0,0,0,0,0,0,0,0,0,0,0.0365019329290187,0,0,0,0,-0.02018473434456,-0.167411183190279,0,0,0,0,0,0,0.37609991880039,0,0,0,0,0,0,0,0,0,0,0,0.00322255466913702,-0.0129856748803531,0,0,0,0,0,0
X600019.SH,0,0,0.232895952037697,0,0.206165672814883,0,0,0,0,0,0,0,-0.00880401473750709,0,0,0,0,0,0,0,0,0,0.0397120087508208,0,0,0,0,0,0,-0.0418666551026939,-0.0708201619992671,0,0.0673958083977213,0,0,0,0,0.188175584158461,0,0.192751458311078,0,0,0,0,0,0,0,4.33680868994202e-19,0,0.02266692280297,-0.00590725447267184,0,0,0,0,0,0
X600585.SH,0,0,0.311103465291714,0.376015608891943,0,0,0,0,0.0339813626779948,0,0,0,0,0,0.098763797761808,0,0,0,0,0.107354889202448,0,0,0,0,0.0657927812335978,0,0,0,0,0,0,0,0,0.124108960764818,0,0,0,8.67361737988404e-19,0,0,0,0,0.0383758518891553,0,0,0,0.00682958215682171,0,0,-1.0842021724855e-19,0.0117210431549747,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0381396786848028,0,0,0.17259260179092,0.0155189820422872,0,0,0,0,0.0706547286581,0,0.0151097550053163,0.012235121296885,0,0.0350272993102113,0,0,0,0,0,0,0.0985984913371476,0,0,0.120251601543923,0.0929549104112039,0,0.0115905771427712,0,0,0,-0.0159395888455487,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,-0.161398293884655,0,0,0,0,0,0,0,0,0,0,0,0,0.0386063637698326,0,0.00568945524986106,0.123414252454745,0.108169361728481,0,0,0,0,0.124980632648478,0,0,-0.0503147199364169,0,0.120526637470371,0,0.0464631316063231,0,0,0,0.153700060230633,0,0,0,0,0,0,0,0,0,0,0,-0.0084505911346919,-0.0249808319020288,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0.828572617500529,0,0,0,0,0,-0.0653978929739061,0,0.377119558146139,-0.0156080171634763,0,0,-0.0909257087212456,0,0,0,0.283197915605162,0,-0.143576914189291,-0.19254791154185,0,0,0.245200407008288,0,0,0,0,0,0,0,0,0,0,0,-0.769483879689767,0,0,0.0106717578702723,0,-0.556054672758151,0,0.0483222812314514,-0.0964727286925517,-0.397722269269421,0,0,0,0,0
X600188.SH,0,0.0772984541245926,0,0.249159344250354,0,0,0,0.0359936425373889,0,0,0,0,0.0484130655551875,0,0,0,0.190647595686361,0,0,0.101350016882084,0,0,0.156739703793064,0,0,0.145033384392863,0,0.0176530975742843,0,0,0,0,0,0,0,0,0,0.142705825723664,0,0.230027334003896,0,0,0,0,0,0,0,0.147246960267016,0,-0.0339886875050767,0,0,0,0,0,0,0
X601898.SH,0,0.0429080795168161,0,0,0,0,0.0595666894573004,-0.00871114061131708,0,0,0,0,0,0,0.396705203503897,0,0.0028827591415016,0,0,0,0,0,0,0,0,0,0,0.00840053670398005,0,0.0856692262320713,0,0,0,0,0,0,0,0,0,0.162788245979309,0,0,0.0876117209933867,0,0,0,0,0.0785678388159833,0,0,0.00996268105633541,0,0,0,0,0,0
