,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600309.SH,X600019.SH,X600547.SH,X600011.SH,X600010.SH,X601600.SH,X600886.SH,X601898.SH,X601991.SH,X600660.SH,X600362.SH,X600795.SH,X600688.SH,X600188.SH,X600111.SH,X600352.SH,X600027.SH,X600801.SH,X000723.SZ,X600489.SH,X601992.SH,X002271.SZ,X000898.SZ,X600176.SH,X600516.SH,X000786.SZ,X002460.SZ,X002466.SZ,X000629.SZ,X000709.SZ,X600299.SH,X000883.SZ,X601158.SH,X002353.SZ,X600612.SH,X600426.SH,X600219.SH,X601699.SH,X000630.SZ,X600583.SH,X000553.SZ,X600021.SH,X600578.SH,X000027.SZ,X600985.SH,X000401.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0405019102838832,0,-0.0142158765738071,0.0513167137613841,0,0,0.00795370939654195,0,0,0,0,0,0,0,-4.33680868994202e-19,0.0639919049776334,0.0772369529849335,0,0.0330976422782095,0,0,0.0347868132707384,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00995962610729848,0.0310793527747034,0,0,0,0,0,0
X600028.SH,0,0,0.114366585258613,0,0,0,0,-0.00929102310636231,0,0,0,0,0,0,0,0,0,0.22200852293517,0,0,0,0,0,0.000962182343428401,0,0,0,0,0,0,0,-0.0221113316330569,0,0,0.0939088877833421,0,0,0.116165909588281,0,0.0276996026210692,0,0,0,0,0,0,0,0,0,0,0,-0.0167884004808817,0.00130972732755431,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.150966467668398,0,0.0281802125536704,0,0.034752449245464,0.0244265708400175,0,0.00399537195664601,0,0,0,0,0,0,0,0.109922948483251,0,0.0871415609072033,0,0,-0.102471533069171,0,0,0,0,0,0,0.0927675888568398,0,0,0,0,0,0,-0.00637648645249954,0.0426827698612446,0,0,0,-0.00148251573064942,0,0
X600585.SH,0,0,0,0,0.0276483828006245,0,0.0175184184656405,0,0.0381121186186264,0,0,0,0,0,0,0,0,0,-0.0249324660463416,0,0,0.395592885191108,0.0320377665207329,0,0,0.344865670734439,0,0,0,0,0,0,0,0,-0.00464726422716164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00201923807392805,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0.3182015079783,0,0,0,0,0,0,0,0,0,0,0,0,0,0.145360883923158,0,0,0,0.0225968258994956,0,0,0,0.327215495222894,0,0,0,0,-0.072409264694846,0,0,0.044357840275447,0,0,0,0.0732859435314566,0,0,-1.73472347597681e-18,-0.0755829530408471,0.193970946385921,0,0,0,-4.33680868994202e-19,0,0,-0.0148926103177003,0.0520246045677992,0,-0.116319042993596,0,0.114427635841504,0,0
X600019.SH,0,0,0,0,0,0,0,0,0.0309363417925333,0.0528450356217678,0,0,0,0,0,0,0,0,0,0.11845623282314,0,0,0,0.0109506928634729,0,0.132211890334962,0,0,0,0,0.0507024019009768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00856866820274656,0.0269410295103222,0,0,0,0.00999052522190812,0,0
X600547.SH,0,0,0,0,0,0,0,0.225141749861693,0,0,0.0968638152017129,0,0,0,0,0,0,0,0,0,0,-0.229899485920079,0,0.771144277600988,0,0,0,0.0752424694685207,0,0,0,-0.127032633541205,0,0,0,0.191056907022924,0,0,0.0887594615409779,0,0,0,0,0,0.0288430144619068,-0.282283057771344,0,0,0,0,0.138670629864728,-0.0263469797576188,0.020724633949993,0,0,0,-0.0728008357234026,0,0
X600011.SH,0,0,0,0,0,0,0,0,0.131166580681772,0,0.0865247393663141,0,0,0,0,0,0,0,0,-0.0435771843651543,0.399675325856506,0,0,0,0,-0.131886242329897,0,0,0,0,0,0,0,0,0.02214841736562,0,0,0,0,0,0.0299057097496377,0,0,0,-0.136305335175125,0,0,0,0,0.158994198695856,0,-0.0161136572039874,-0.0286955438250023,0,0,0,0.120657129791986,0,0
X600010.SH,0,0,0,0,0,0,0,0.0231770858211563,0,0.101910099028593,0,0,0,0,0.304879495570363,0,0,0,0.0606478208805039,0,0,0,0.0829309858776913,0,0,0,0,0,0,0,0.0632481921147896,0,0,0,0.160477914637965,0,0,0,0,0,0,0,0,0,0,0,0,0,0.256228955616592,0,0,0.00795390609173554,-0.0589305882440392,0,0,0,0.0172782435913442,0,0
X601600.SH,0,0,0,0,0,0.0307454880624672,0,0,0.364440525877371,0,0,0,0,0,0.172721830314421,0,0,0,0,0.0588276258953106,0,0.0998460507795975,0.0286391606120858,-0.0411778472574831,0,0,0,0,0,0,0.0346779291803954,0,0,0,0.128725819324282,0,0,0,0,0.175115593928813,0.075919273200692,0,0,0,0,0,0,0,0,0,0,0.0115173644129373,-0.0213382083057844,0,0,0,0,0,0
