,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X002460.SZ,X600585.SH,X600019.SH,X000792.SZ,X600111.SH,X600188.SH,X002466.SZ,X000301.SZ,X600010.SH,X600660.SH,X601600.SH,X601898.SH,X002271.SZ,X600011.SH,X000708.SZ,X600362.SH,X600547.SH,X600886.SH,X600176.SH,X600426.SH,X300037.SZ,X000408.SZ,X600219.SH,X002080.SZ,X000786.SZ,X002326.SZ,X601991.SH,X600795.SH,X600803.SH,X000723.SZ,X000630.SZ,X600096.SH,X600141.SH,X000983.SZ,X002353.SZ,X000825.SZ,X600688.SH,X601699.SH,X600399.SH,X000807.SZ,X000959.SZ,X000898.SZ,X600157.SH,X600295.SH,X002407.SZ,X600489.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0.00413255929165923,0,0,0.0832741933011602,0,0.0213545350260621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0948260475725998,0,0.0201136758261687,0,0,0,0,0,0.0275430874088366,0,0,0.149913027142727,0,0,0,0,0,0,0,0.0287680870121347,0.0946025335687107,0.0329305781618942,0,0,0,-0.0112129354661741,0,0,0,-0.0361955232893361,0,0
X600028.SH,0,0,0,0,0,0,0,0,0,0.0844586169498067,0,0.0145139634460213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0429631942894704,0.0331123450604003,0.111753355882406,0,0.000417627260096962,0,0,0,0,0.0841335482450663,0,0.122539237426786,0,0,0,0,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,0.0322174093812745,0,0,0,0,0,0.189313923911514,0,0,0,0,0,0,0,0,0,-0.00388822287993205,0,0,0,0,0,0,0.00906833127025952,0.0395928336674384,0,0,0,0.273188061092178,0,0,0.064020187667037,0,0,0,0.0174826350470132,0,0,0.0539897900425928,-0.118163870459789,0,0,0,0.0222706234194284,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,-0.0664292215392216,0,0,0,0,0,0,0,0,-0.0196253682889326,0,0,0,0,0.316797740112382,0.0448161632268736,0,0,0,0.0159419798018908,-0.025423142291854,0,0,0,0,-0.0434999910923434,0,0,-0.00940944650206292,0,0,0,0,0,0,0,0,0,-0.0141023375485821,0,0,0,-0.0236188045641554,0,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0.0624986163374329,0,0.107204971691328,0,0.493994071834461,0,0,0,0,0,0.0828922603263575,0,-0.18700864964431,0,0,0,0,0,0,0,0,0,0,0.0156909813915431,0,0,0,0.0659649184346256,0,-0.101365397851752,0,-0.0188696142424673,0,0,0,0,0.0820402592110395,0,0,0,0,0,0.324217006741684,0,0,0,-0.0568238639062564,0,0,0,0.0489859211807915,0,0
X600585.SH,0,0,0,0,-0.072954449844972,0,0,0.0988709215626523,0,0.0785121549624908,0,0,0,0,0,0,0,0,0,0,0,0.140771246494129,0,0,0,0,0,0,0.0661213021325683,0.089521863554705,0,0,0,0,0,0,0,0.124241627305572,0,0,0,0,0,0,0.0696028579407766,0.0427360713599047,0.0366048088335023,0.0095142254061502,0,0,0,0.0707933699707181,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0.0327819117307815,0,0,0,0,0,0,0,0,0,0.00264973529971581,0,0,0,0,0,0,0,0,0,0,0.0549810622959068,0,0,0,0,0,0,0,0,0,0,0.0528455881729508,0,0,0,0.00256443503941977,0,0,0,0.585446595670928,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0.0930053028557024,0,0,0,0,-0.0207320398669805,0,0.0385586240203946,0,0,0,-0.0624658965717459,0,0.0512860942359133,0,0,0,0,0,0,0,0.23472633940228,0,0,0,0,-0.125266235472908,0,0,-0.276441212853483,0,0,0,0.252336738006685,0,-0.111495898726239,0,0,0,0,-0.0276494224144819,0,-0.0823426061537583,0.070306443665893,0,0,0,0,0.0933770564924262,0,0,0,-0.0563487455026628,0,0
X600111.SH,0,0,0,0,0,0,0,0,0,0.0900088768542869,0,0,0.344269958534565,0,0,0,0,0,0,0,0,0,0,0,0.291275722941004,0.248623998204431,0,0,0,0.0328824438504239,0,0,0,0,0,0,-0.0498938763667966,0,0,0,0,0,0.33170193381296,0,0,0,0,-0.0180820516932037,0.0649863978766121,0,0,1.0842021724855e-19,0.00175007680879147,0,0,0,0,0,0
X600188.SH,0,0,0,0,0,-0.0102032322456066,0,0,0,0,0,0,0.060960082117963,0,0,0,0,0,0,0,0,0,0,0,0,0.0222160518564146,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0.0256722399400107,-0.0188686797544137,0.391420165845828,0,0.354051413594482,0,0,0.215641188923546,0,0,0,0,0,0,0,-0.0304202775704109,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0.389804317865652,0,0,0,0.174146030009866,0,0,0,0.103262505053924,0,0,0,0.0957907698416103,0,-0.0339917645885994,0,0,0,0,0,0.0306523692096964,0.214216031053563,0.00708103500305142,0,0,0.112011759189938,0,0,0,0,0,0,0,0,0,0,0,0,0.1700138744256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000301.SZ,0,0,0,0,0,-0.0512633905565288,0,0,-0.114966389402694,0,0.0368206094045668,0,-0.130845196736153,0,0,0,0,0,0,0,0,0,0,0.0140299984525063,0.121805823319779,0,0,0,0,0.0767371007911399,0,0,0,-0.0361704233519642,0.186609539011205,0.333960558075769,0.0723938068143664,0,0,0,0.0956119716922343,0,0,0.0597891326891906,0,0,0,0,0,0,0,0,-0.0563964153503889,0,0,0,0,0,0
