,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600019.SH,X600585.SH,X601898.SH,X600795.SH,X600688.SH,X601600.SH,X601991.SH,X600886.SH,X600027.SH,X002075.SZ,X600157.SH,X600362.SH,X600111.SH,X600188.SH,X600583.SH,X601158.SH,X601992.SH,X000539.SZ,X000027.SZ,X600309.SH,X000898.SZ,X000709.SZ,X000883.SZ,X600352.SH,X600021.SH,X600660.SH,X000792.SZ,X600022.SH,X002470.SZ,X600098.SH,X000629.SZ,X600307.SH,X600808.SH,X600160.SH,X600863.SH,X600489.SH,X600623.SH,X600578.SH,X601918.SH,X600612.SH,X600547.SH,X000825.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.757089533952917,0.097301801921942,0,0,0,0,0,0,0,-0.0117379091244849,0,0,0,0,0,0,0,0,0,0,-0.136251763377992,-0.00463355906384874,0,0,0,0,0,0,0,0,0,-0.0314983699243393,0.0725711568751485,0,0,0,0,0,0,0,0,0,0.0418270718226334,0,0,0,0,0.00826956930684363,-0.0256933053067645,0.0297251519168273,0.0704134294105525,0,0,0,0
X600028.SH,0.453730905208458,0,0.210284082164022,0,0.00556241057047079,0,0.069530587999358,0,0,0.0369291683850719,0,0,0,0,0,0,0,0,0,0,0.0457789350595292,0,0,0,0,0,0,0,0,0.080579533617985,0,0.0145229612175092,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0.00857694086568603,0.122271041368455,0,0,0,0,0
X601088.SH,0,0,0,0.094156413440614,0.315637325154666,0,0,0,0,0,0,0.00132676945123838,0,0,0,0,0,0,0,0.094551223291065,0,6.93889390390723e-18,0,0,0.0699296348198916,0,0,0,0,0,0,0,0,0.137076085876181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000313290157523007,0,0,0,0,0,0
X600011.SH,0,0,0.125848763830692,0,0,0,0,0,0,0,0,0.322142630299579,0,0.351264051711125,0,0,0,0,0.0896535258435654,0,0,0.0727058815098153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0
X600010.SH,0,0,0.0261413184314291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.340349808267433,0,0,0,0,0,0,0,0,0,0,0.0894633492348661,0,0,0,0.100483929797673,0,0,0,0,0,0,-1.73472347597681e-18,0.027702533216146,0,0,0,0.123743434270763,0,0,0,0,0,0,0,0,0,0
X600019.SH,0,0,0.172252710439177,0.0890835501364801,0,0,0,0.0208443664498286,0,0.0600683476486748,0,0.00705799134416213,0,0,0,0,0,0,0,0.159869498600613,0,0,0,0,0.0652155998690815,0,0,0,0,0.143993762054703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0249629189840187,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0.0499901767214677,0.100846077752841,0,0,0,0,0,0,0.0678841146484294,0,0,0,0,0,0,0,0.012885094824415,0,0,0,0.34115333283877,0,0,0,0,0,0.265659273792572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00186865100793975,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0.377795190666638,0,0,0,0,0,0,0,0.10260221685682,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0.0707308449697483,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0.124933123523724,0,0.23294101160697,0,0,0,0,0,0.00723639132831071,0,0,0,0,0,0
X600795.SH,0,0,0,0,0,0,0,0,0,0.00862385328883147,0.146912597718301,0.0953023420937618,0,6.93889390390723e-18,0,0,0,0,0,0,0,0.0551781378336342,0,0.0228040662335165,0,0,0,0,0,0,0,0,0.00398064381145094,0,0,0,0,0.0179241704256319,0.00266118266670868,0.19886865735271,0.0511523210603925,0,0.140902131720024,0,0,0,0.136239472025905,0,-0.00128936668632752,0,0,0,0,0,0,0
X600688.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.248608934061339,0,-0.182641657973229,0,0,0,0.22651047063204,0,0,0,0.2823371693815,0,0,0,0.0286476648836074,-0.15641968599392,0,0,0,0,0,0,4.33680868994202e-19,0,0,-0.0576905687137293,0,0,0.0260211176336989,0,0.318103960128699,0,0,0,0,0,0,0,0,0,0,0,0
