,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600019.SH,X600585.SH,X601898.SH,X600795.SH,X601600.SH,X600688.SH,X601991.SH,X600027.SH,X600886.SH,X600157.SH,X600111.SH,X600362.SH,X600188.SH,X601158.SH,X600583.SH,X601992.SH,X000027.SZ,X000539.SZ,X600309.SH,X000709.SZ,X000898.SZ,X000883.SZ,X600352.SH,X600021.SH,X002470.SZ,X600660.SH,X601918.SH,X000792.SZ,X600489.SH,X600098.SH,X600623.SH,X600863.SH,X600022.SH,X600808.SH,X000629.SZ,X600547.SH,X300072.SZ,X600307.SH,X600578.SH,X600008.SH,X002353.SZ,X000060.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.711652053491294,0.0450200060468293,0,0,0,0,0,0,0,0.0524375338902398,0,0,0,0,0,0,0,0,0,-0.0704338344180992,0.0275990063958401,-0.0104576529762336,0,0,0,0,0,0,-6.93889390390723e-18,0,0.0241877710813178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0388534752973415,-0.00154638070742378,0.0518508737146816,0,0,0,0,0
X600028.SH,0.246761173637179,0,0.199976654300549,0,0,0,0.00496383207677711,0,0,0,0,0,0,0,0,0,0,0,0.00520360395524839,0,0,0.144340257622705,0.0187201476316855,0,0,0,0,0,0,0.0947941009503841,0,0,0,-3.46944695195361e-18,0,0,0,0.110646112309957,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,-0.00120681069108653,0,0,0,0,0,0,0
X601088.SH,0,0,0,0.206711232130094,0,0,0,0,0,0,0,0.191374447876607,0,0,0,0,0,0,0,0.273206804357746,0,0,0,0,0,0,0.0628715453922829,0,0,0,0,-0.021523156909474,0,0,0,0,0,0,0,0,0,0.0605033932517041,0,0,0,0,0,0,-0.0230605201222321,0.00477776352891225,0,0,0,0,0,0
X600011.SH,0,0,0.18514716937159,0,0,0,0,0,0,0,0,0.386377468605403,0.0983960401184177,0,0,0,0,0.0171508797209471,0,0,0.0635004921799672,0,0,0,0,0,0.0186402833637794,0,0,0.195875104259682,0,-0.0825433730851334,0,0,0,0,0,0,0,0,0,0.0171476128604836,-0.0199009641778895,0,0,0,0,0,-0.00625662879991268,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0.018620137129313,0,0,0,0,0,0,0.150393801496536,0,0.0369395549166965,0.0410099936093912,0.166175837884018,0,0,0,0,0.14510664457788,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0512584199555561,0,0,0,0,0,0.145637182673138,0,-0.00861099741587019,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0344447136380475,0,0.0330387462095059,0,0.0907288932859942,0,0.150865743200305,0.242755169795389,0,0.0865210545567569,0,0,0,0,0,0,0,0.0924741965049477,0,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0.0138725531773689,0,0,0,0,-0.0312111529498581,0,0,0,0,0,0,0
X600585.SH,0,0,0.14430944015237,0,0.0688990846128139,0,0,0,0,0,0,0,0,0.0542985351487535,0,0,0,0,0,0,0,0,0,0.415422879385205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111239705739517,0,0,0,0,0,0,0,0,0,-0.00960675750689022,-0.006337598288783,0,0,0,0,0,0
X601898.SH,0.00315123478344358,0,0,-0.0657315412085523,0,0,0,0,0,0.13953769679252,0,0,0,0,0.108593642059933,0,0,0,0.147352600487053,0.168442583509246,0,0.20948126642734,0,0,0,0,0,0,0.0600879757830184,0,0,0.135743032519124,0,0,0,0.0759839847699038,0,-0.0952768310585849,0,0,0,0,0,0,0,0,0,0,-0.0365316181877551,0,0,0,0,0,0,0
X600795.SH,0,0,0,0,0,0,0,0,0,0,0,0.262171118587664,0.19817229457927,0,0,0,0,0,0,0.0765360785465571,0.0881868159635037,0.0905764486018825,0,0,0,0,0.0655398280369922,0,0,0,0,0,0.0187250310498011,0,0,0.0204151059823119,0,0,0,0,0,0,0,0,0.0328922891248187,0,0.0132527216818326,0,-0.0133422258834489,0,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0.186028931582917,0,0,0,0,0,0,0.0741384307909658,0,0,0,0.159333836208425,0,0,0.122538956614145,0,0,0,0,0,0,0.0235651513235894,0,0,0,0,0,0,0.112614638390553,0,0.0111751081798921,0,0.124501202501902,0.0214380485982807,0,0.0270873630230863,0,0,0,0,0,0,0,0,0,0,0,0,0
