,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600585.SH,X002460.SZ,X600019.SH,X000708.SZ,X600660.SH,X002271.SZ,X600547.SH,X600362.SH,X002466.SZ,X600176.SH,X000786.SZ,X600011.SH,X600426.SH,X601600.SH,X601898.SH,X600886.SH,X000301.SZ,X600010.SH,X600111.SH,X600188.SH,X002080.SZ,X600219.SH,X600352.SH,X601991.SH,X600801.SH,X600486.SH,X600489.SH,X600795.SH,X300037.SZ,X600688.SH,X600803.SH,X601168.SH,X002353.SZ,X600027.SH,X601992.SH,X600399.SH,X600299.SH,X600157.SH,X000898.SZ,X000932.SZ,X000630.SZ,X002409.SZ,X002497.SZ,X000027.SZ,X300073.SZ,X600516.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0.0595110455323078,-0.00921678263266494,0,0.007465763680135,0,0,-0.0391156190689949,0,0,0.0429159407373364,0,0,0,0,0,0,0,0,0.0233965438642315,0,0,0.0500535011629179,0.00829750155782982,0,0,0,0,0,0,0,0,0,0,0.0572944550316524,0,0,0,0,0,0,0,0,0.0239869387725479,0,0,0,0,0,0,0.00109839436712635,-0.00370158360387758,0,0,0,-0.000852419799352105,0,0
X600028.SH,0,0,0,0,0,0,0,0,0,0,0,0,-0.0122568446782441,0,0,0.0798835950611575,0.0867345710989238,0,0,0.0462595301911169,0.00127048602262967,0,0,0,0.0690913411166638,0,0,0,0,0,0,0,0,0,0,0.0033562769256943,0,0,0,0,0,0,0.08063448130434,0,0,0,-0.0924028785393688,0,-0.0190352806987666,0,0,0,-0.00375075439207104,0,0,0,-0.00389600937173422,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,0.0303043322887126,0,0,1.73472347597681e-18,0,0,0,0,0,0.341426999222775,0,0,0,0,0.346399219976209,0,0,0,0,0,0,0,0,-0.0478829170893638,0,0,0.074629892649266,0,0,0,0,0,0,0,0,0,-0.0831391432924762,0,0,-0.00955954200220753,0,0,0,-0.00683113204010036,0,0,0,-0.0110343961215431,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,-0.0481018914538475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0569194170838559,0,0,0,0.0391497241609346,0,0,0,0,0,0,0.0377671032169361,0,0,0,0,0,0.172523320834995,0.198652047913408,0,0.0239304933063946,0.0571307601015938,0,0,0,0,0,0.0359547782835006,0,0,0,0.0207269231720515,0,0
X600585.SH,0,0,0,0,0,0.00120652169578315,0,0,0,-0.181348893213611,0,0,-0.0240771245478747,-0.0561180130248629,0,0,0,0,0,0,0.0114277072158903,0,0,0,0,0,0,0,0.0613698274370512,0,0,0,-0.00795722296408423,0.0341334742071478,0,0.0842590949833823,0,0,0,0,0,0,3.46944695195361e-18,0,0.214954969702271,-1.73472347597681e-18,0,0,0,0,0,0.0124889734679828,-0.00755555254442202,0,0,0,0.0118683150131499,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0.0704347501581113,0.0686153225021559,0,0,0.395167339723896,0,-0.0291023045043079,0,0,-0.164991352763563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34559060758998,0,0,0,0,0,0,0,0,-0.0729167586382013,0,0,0,-0.0312700637343295,0.38997684160268,0.0549704780472567,0,0,0,0,-0.00613370992883957,0,0,0,-0.00583833680215974,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0.291784230803572,-0.00217870278052893,0,0.0377311615892324,0,-0.0983612035555605,0,0,0,0,0,0,0,0.0731824513471595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00928753014673404,0,0,0.0623914117190548,0,0,0,-0.0785607312906134,0,0,0,0,0.0360648400494705,0.00059206608661133,0,0,0,0,0,0
X000708.SZ,0,0,0.0144602022933162,0,0,0,0,0,0,0,0,0.0650550360827334,0,0,0,0,0,0,0,0,0,0,0.148429929995282,0,0,0.0184257156603997,0,0,0,0,0,0,-0.039217275569855,0,0.0605944290131389,0,0,0,0,0,0,0.0643657875034475,0,0,0.306205367615411,0,-0.0572681791576233,0,0,0,0,-0.0343001872900014,0.0633091212464416,0,0,0,-0.00398730943358635,0,0
X600660.SH,0,0,0,0,0,0.131858562873545,-0.189999967328379,0,0,0,0,0.0388200338897551,0,0,0,0,-0.145649259202604,0,0,0.00841413037012504,0.00686001267687504,0,0,0,0,0,0,0,0.109078889407314,0,0,0,0.164768195305417,0,0,0,0.0466077372442637,0,0,0,0,0,0,0,0,-0.0589255047971157,0,0,0,0,0,0,0.0382127601417241,0,0,0,0.0137669642754384,0,0
X002271.SZ,0,0,0.218852208318241,0.0850797302965459,0,0,0,0,0,0,0,-0.131740818361471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.191906090614756,0,0,0.0326483363528969,0,0,0,0,0,0,0,0,0,0,0,0,0.168398202047896,0,0,0.0185110711822138,0,0,-0.0173494503977184,0,0,0,0,0.0424982887472912,0,0
