,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600188.SH,X002460.SZ,X600585.SH,X002466.SZ,X000792.SZ,X600019.SH,X601898.SH,X600011.SH,X600111.SH,X600660.SH,X600010.SH,X000708.SZ,X600547.SH,X000301.SZ,X002271.SZ,X601600.SH,X600886.SH,X000877.SZ,X600795.SH,X600426.SH,X600362.SH,X600176.SH,X600027.SH,X601991.SH,X601699.SH,X600803.SH,X000983.SZ,X000629.SZ,X000408.SZ,X000786.SZ,X600160.SH,X000723.SZ,X600219.SH,X002080.SZ,X000807.SZ,X600348.SH,X600096.SH,X000933.SZ,X600489.SH,X600995.SH,X600378.SH,X600688.SH,X600157.SH,X600985.SH,X000831.SZ,X600141.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0.563895291023209,0,0,0,0,0,0,0.0894835809252911,0.188142401694921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000252129551430824,3.46944695195361e-18,0,0,0.118763946007486,0,0,0,0,0,0.104499484841059,0,0,0,0,0,0.0521817380315788,-0.0379827884681537,0,0,0,0,0,0.0179063545130745,0,-0.00214630174806944,-0.0177105612014817,0,0,0,0,0,0
X601088.SH,0,0,0,0,0.373818597711302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0761147128064769,0,0.0305113483943895,0.0529458006974739,0.134675080954845,0,0,0,0,0.0489946854305151,0,0,0,0,0,0,0,0,0,0,0,0,0.0645824116834931,-0.043045850748247,0,0,0.00185902639970351,0,0,0,0,0,0,0
X600028.SH,0.561516025012154,0,0,0,0,0,0,0,0.0406873316758539,0,0,0,0,0,0,0,0,0.00640627432890358,0,0,0,0,0,0,0,0,0,0.057858960356323,-0.00690835133901696,0.0857738712146875,0.0022688555241469,0,0,0,0,0,0,0,0,0,0,0,0,-0.0191531667457143,0,-0.0161131995532691,0,0,0.000512731530346674,0,0.0137325221593051,0,0.00223459345760344,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0993975967581261,0,0,0,0,0,0.210868316269748,0,0,0.136264545844543,0,0,0.189437904024298,0,-0.0669297877476395,0,0.3084184202,0,0,0,0,0,-0.256252324331803,0,0,0,0,0,0,0,0,0,0,0,-0.00601918762079842,0,0,0,0,0,0,0
X600188.SH,0,0.681126933708604,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0496185956722469,-0.0786449037158525,0,0,0,0,-0.0143839413864942,0,0,0,8.67361737988404e-19,0,0.0369105829310668,0.160638277846203,0,-0.0995308349043567,0,0,0,0,0,0,0.0828184313596199,0,0.207579643358202,0,0,0.0845471987153991,0,0,-0.0669025797301299,0,0,0,-0.000550154649597906,0.045868991856079,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0.208367644849322,0,0,0,0,0,0,0,0,0,0.0335606755904973,0,0,0,0,0,0,0,0,0,-0.0823478226056345,0,-0.0638500071160027,0,0.0907752922513122,0,0,0,0.0787518849538886,0,0.148429862150631,0.068119321398148,0,0,0.0834681862527799,0,0,0.105233273707088,0,0,0,0,0,0,0.00772535573188227,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0.0115159505141045,0,0,0.033612693808427,0,0,0,0.181679256837135,0,0,0.0402747079638331,0,0,0,0,0,0,0,0.0172229433638217,0.0407451897623664,-0.105492067768612,0,0,0,0.0656015358278112,0.431614405990966,0,0,0,0,0,0.0297337587584765,0,0,0,0,0,0,0,0.0575318838504311,0,0,0,-0.002425646673492,0,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,0.327240966210818,0,0,0,0,0,0.0487483089697863,0,0,-0.0792667332626763,0.0385994956892732,0,0,0.0785790887411397,0,0,0,0,0,0,0,0,0,0,0.0999848135851916,0,0.0451620661572302,0.392263158806865,0,-0.0929823994583354,0,0,0,0.0762749646209225,0,0,0,0,0,0,-0.0178531550356647,0,0,0.041425167913459,0.207070443665576,0,0,-0.00173543713380947,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0.245045121151609,0,0.0137514502043549,0,0,0,0,0.24419942919004,0,0,0,0,0,0,0,0,0,0,0,0,0.0109619775803837,0,0,0,0,0,0,0.20545514602983,0.0509115180117409,0,0,0,0,0.0589595515403882,0,0,0,0,0,0,0,0,0,0,0.106505996631811,0.0844752029484449,-0.00814174673339514,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.290346061853105,0,0.0197949715708817,0,0.109531350387914,0,0,0,0,0,0.0847741100162289,0,0,0,0.112675627906213,0,0,0,0,0,-0.0789112672165551,0,0,0,-0.0934682275570373,0,0,0.0677322508841767,0.0178205049799204,-0.0353908864569149,0,0,-0.00846023093461981,0.0290521307335632,0,0,0,0,0,0
