,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600188.SH,X601898.SH,X600019.SH,X600011.SH,X600585.SH,X600547.SH,X600886.SH,X600660.SH,X601600.SH,X002466.SZ,X000792.SZ,X002460.SZ,X600795.SH,X000708.SZ,X601699.SH,X600111.SH,X600010.SH,X000301.SZ,X600362.SH,X000983.SZ,X600426.SH,X000877.SZ,X600027.SH,X600803.SH,X600489.SH,X601991.SH,X002271.SZ,X600985.SH,X600160.SH,X000408.SZ,X000786.SZ,X000630.SZ,X000807.SZ,X000932.SZ,X000933.SZ,X600176.SH,X600348.SH,X600612.SH,X300037.SZ,X601168.SH,X600219.SH,X002128.SZ,X600688.SH,X600995.SH,X600157.SH,X000629.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.68721691379488,0.256271053685245,0,0,0,-0.0179174482020159,0.156817432180376,0,0,0.0636310498924244,0,0,-0.231435807456718,0,0,0,0.0351567318551108,0,0,0,0,0,0,0,0,0,0,0,0,-0.194082967271538,-0.115333860153007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.129527995714379,0,0,0.0598757035344235,0,0
X600028.SH,0.633661548276236,0,0,0,0,0,0,0,0,0,0,0,0,0.0158034855183272,0,0,0,0,-0.0659121405323383,0,0.00306530144815414,0,0,0,0,0,0.0347003539547145,-0.0487932593702914,0.0806769537331481,0.113799177115103,0.0378006718760878,0,-0.102178938478909,0,0,0,0,0,0,0,-0.065754072182167,0,0,0,0,0,0,0.0660343567504106,0,0,0,-0.0122100351622304,0.00324761250431105,0,0,0,1.38777878078145e-17,0,0
X601088.SH,0.0433687090892833,0.235840671579909,0,0,0.118370093411201,0,0,0,0,0,0,0,0,0,0,-0.0392042254158783,0,0,0.0866324731324631,-0.0448371887996583,0,0,0,0,0,0,0,-0.096907619172275,0,0,-1.73472347597681e-18,0.0587126389567894,0,0,0,0,0,0,0.0825563774325303,0.0397307891051248,0,0,0,0,0,0,0,0,0,0,0,0,0.0143882209425622,0,0,0,0.0308708205445803,0,0
X600309.SH,0,0,0,0,0.272823800652145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0908042696595575,0,0.2416739468459,0,0,0.110104079442374,0,0,0,0,0.209783520715498,0,0,0,0,0.0266678490182116,0,0,0,-0.0914990390875751,0.368650128935954,0.0091341764059384,0.116266191794685,0,0,0,0.36207665256913,0,0,-0.00628853584564946,0,0,0,0,-0.0410889355829822,0,0
X600188.SH,-8.67361737988404e-19,0,0.0969756416100771,0,0,0,0.0851394636477168,0,0,0.135607114837633,0,0,0,0,0,0,0,0,0.253869810116455,0,0,0,0,0.0856867020591227,0,0,0,0,0,0,0.0380780607149807,0.175203622285243,0,0.0569160872794932,0,0,0,0,0.0382190218065942,0,0.00477857813745649,0,-0.0295520532886936,0,0,0,0,0,0,0,0,0,-0.0106252838916302,0,0,0,0,0,0
X601898.SH,0.124550617130846,0,0.0616839336349405,0,0.37194446779237,0,0,0,0,0,0.131155091524769,0,0,0,0,0,0,0,0.0391887232001238,0,0,0,0,0.0650151489017198,0,0,0,0,0,0,0,0,0,0,0,0,-0.00404324998315668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0112997344887287,-0.0240046840598686,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0.257094247321585,0,0,0,0,0,0.0731662274750518,0.117206724824139,0,0,0,0,0.220576603622625,0,-0.0190763176237655,0,0,0,0,0,0,0,0,0,0,-0.0919169367499886,0,0,0.381626840155583,0,0,0,0.122050384895169,0,0,0,-1.73472347597681e-18,0,0.0711526178769891,0,0,0.28072054203408,0,0,0,0,-0.014155094307886,-0.00404898544252304,0.0737684738598462,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0.132396484275658,0,0,0,0,0,0.0135944780339761,0,0,0,0,0,0,0,0,0,0.447655979896167,0,0,0,0,-0.0231095632701849,0,0,0,0,0,0,0,0.0355426825299069,0,0,0,0,0,0,0,0.0802810644435195,0,-0.0515730525029427,0,-0.0051560392445445,0.00564458477320628,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0.0622315792344603,0,0,0,0,0,0,0,0.079189868227163,0.0186806901628677,0.177868729699749,0,0,-0.0258844020948026,0,0.241203272111288,0,0,0,0.0838826394304684,0,0,0,0.0225338961528671,0.0608054169654558,0,0,0,0,0,0,0,0,0,0,0,0,0.00663429536266967,0,0,0,0,0,0
X600547.SH,0.0123326882281727,0,0,0,0.113334682264299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0803758207867684,0,0,-0.0389835051209882,0.551087033319413,0,0.0388436475621882,0,0,0,0.00301732524995323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0304703920001974,0,0.00151770030575747,0.00612135824541756,0,0,0,0,0,0
