,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600585.SH,X601600.SH,X600010.SH,X600011.SH,X600309.SH,X601898.SH,X002466.SZ,X600688.SH,X600660.SH,X600795.SH,X002460.SZ,X601992.SH,X300072.SZ,X601991.SH,X600362.SH,X600188.SH,X600547.SH,X600886.SH,X600111.SH,X600516.SH,X000898.SZ,X000709.SZ,X600157.SH,X600027.SH,X000792.SZ,X000408.SZ,X000786.SZ,X000723.SZ,X000553.SZ,X600176.SH,X600219.SH,X600339.SH,X002271.SZ,X600489.SH,X000959.SZ,X600352.SH,X601158.SH,X000883.SZ,X600808.SH,X600299.SH,X000630.SZ,X000983.SZ,X000807.SZ,X000825.SZ,X002470.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,-0.0072068287792706,0,0,0.190657952575734,0,0,0.00489228645611989,-0.0672155031741455,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0472003564410382,0,0,0.0433993849990911,0,0,0,0.038255296163509,0,0,0,0,0,-0.02571399881379,0,0.0395198969214435,0,0,0,0.0584399388708169,0,0,0.00608383585313184,0,0,0,0,0,0
X600028.SH,0,0,0,0,0.0462965611053249,0.00372185148535611,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,-0.0312985541731933,0,0,0.026176823860142,0,0.0161796296411421,0.0064456916872991,-0.00926329161724834,0,0,0,0,0,0,0,0,0.0304771790218655,0,0,0,0.0543302193290491,0,0,0,0,0,-0.0204848193487763,0,0,0,0,0,0,0,0,-0.000924201753242912,0,0,0,0,0,0
X601088.SH,0,0,0,0.000584578163744621,0,0,0,0,-0.0832201780013558,0,0,0,0,1.011906901327,-0.00597924264131587,0,-0.0979085464540723,0,0,0.0434897205418579,0,0,0,0,0,0,0,0,-0.104740595827083,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038150695618028,0,0,0.0831347883567414,0,0.0758531610349222,0,0,0.0214855740741672,-0.0103968249309848,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0.113241253745538,0,0,0,0,0,2.16840434497101e-19,0,0,0,0,0,0,0,0.0289220725036323,0,0.0948290732061437,0,0,0,0,-0.0930961430645657,0,0,0,0,0,0,0,0,0,0,0,0,0.252926150215727,-0.0190825298968243,0,0.0143544644905138,-0.0142283130460089,0.203984245723636,0,-0.140076695931843,-0.0222883054220882,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0.0580351412318273,0,0,0,0,0,0,0,0,0.0426073333535469,0.0900190228745856,0,0,0,0,0,0,0.069684754063687,-0.0699336346140006,0,0,0,0,-0.133554338648886,0.108348456422406,0.0812941753927438,-0.150860051535329,0,0,0,-0.0654252360271402,0,0,0,0,0,0,0,0,0,0.126598711432037,0.155556682309884,-0.20519921584443,0,0,-0.04716021428598,0.0557659000242037,-0.0934354767576134,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0.383152046616555,0,0,0.236931183444675,0,0,0,0,0.0232582764999568,-0.130706779833046,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0533631728996247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0990550900484905,0.175140637544359,0,0,-0.0357061995390487,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0.0479898531019155,0,0,0.0744675754806114,0,0,0,0,0,-2.16840434497101e-19,0,0,0,0.254045749475565,0.00099568800359038,0,0,0,0,0,0.32545438169289,0,0,0,0.00898369429131501,0,0,0,0,0,0,0,0,0,0,0,0,0.0890213581205427,0,0,0.107436974152377,0,2.16840434497101e-19,0,0,-0.00728427613257762,0.00110438365231271,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0177339592896751,0,0,0.0450337563747274,0,0.167293514154458,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0.117112039206234,0,-0.0410554048955196,0,0,0.019739599576149,0,0.0167473198400028,0,0,0,0.0831274764236897,0,0,-0.0223244177263288,0,-0.0183237653233688,0,-0.0228602882356919,0.0132346657010712,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0.521156414990818,0,0,0,-0.00909026740369033,0,0.134068079646122,0,-0.107979945608287,0,0,0,0,0,0,0,0,0.0906408007718464,0,0.108875462425557,0,0,0,0,-0.175862645167727,0,0,0,0,0,-0.355062428315854,0.0619357105468336,0,0.109153808942364,0,0,-0.108332225541569,0,0,0,-0.0400289563524577,0,0,0,0,0.0384401865801932,0,0,0,0,0,0
X601898.SH,0,0,0,0,0.0204866754786187,0.00145227809827328,0.1047712344638,0,0,0,0.0176252893950231,0,0,0,0,0,0,0,0.066097845052464,0.387664595080672,0,0,0,0,0.125142273020443,0,0,0,0.00680200652220702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0401758605908974,0,0,0,0,-0.00484703215748556,0,0,0,0,0,0,0
X002466.SZ,0,0,-0.0544336922351274,0,0,0,0,0,0,0,0,0.0497961588580634,0,-0.0439330788608348,0.602601675409337,0,0,0,0,0.143517222912093,0,0,0.031223515844019,0.062681489749662,0,0,0,0,0,0.0611124931192578,0.063288431912522,0,0,0,0,0,0.00370395840537377,0,0,0,0,0,0,0,0,0,0,0.00327622876035419,0,0,0,-0.000956983950360519,0,0,0,0,0,0
