,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600309.SH,X600011.SH,X600010.SH,X600547.SH,X601600.SH,X601898.SH,X601991.SH,X600688.SH,X600660.SH,X600886.SH,X600352.SH,X600362.SH,X600188.SH,X600795.SH,X600111.SH,X000723.SZ,X600801.SH,X601992.SH,X000898.SZ,X600027.SH,X600176.SH,X000786.SZ,X000709.SZ,X002460.SZ,X600516.SH,X002271.SZ,X002466.SZ,X600489.SH,X000629.SZ,X600299.SH,X000883.SZ,X000553.SZ,X600219.SH,X601158.SH,X600808.SH,X000630.SZ,X600985.SH,X600583.SH,X601699.SH,X000027.SZ,X000401.SZ,X600339.SH,X000301.SZ,X000825.SZ,X600426.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0.105133820701303,0,0.0550927743047816,0,0,0,0,0,0,0,0.00228697565248067,0,0,-0.0152535950658058,0,0,0,0,-0.00301943199247594,0.0316587176699409,0,0,0,0,0,0,0,0,0,0.0635666502077833,0,0,0,0,0,0,0,0,0,0.0704472319850772,0.129935916786508,0,0,0,0,0,0,0,0,-4.33680868994202e-19,-0.0101777741982852,0,0,0,-1.0842021724855e-19,0,0
X600028.SH,0,0,0.120645526799916,0,0,0,0,0.0234245980428477,0,0,0,0,0.134623873747163,0,0,0,0,0,0,0.0294377480562776,-0.00867626355247165,0.00892055850536161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0527751497840643,0,0,0,0,0,0.0400644241900841,0,0,0,0.0328553684905084,0,0,0.0811399896889051,0,0,-0.0221436368993587,0,0,0,-0.00680429257540359,0,0
X601088.SH,0,0,0,0.0199956627107746,0,0,0,0,0,0,0,0,0,0,0,-0.162933027347286,0,0.240872980994973,0,0,0,0.159889673960975,0,0,0,0,0.0210720167635731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.161662465772552,0,0,0,0,0,0.0238118127618071,-0.0277962912734547,0,0,0,0.00140046546972649,0,0
X600585.SH,0,0,0,0,0,0.100281852632207,0,0,0,0,0,0,0,0,0.116145518000236,0,0,0,0,0,0.0174954888771654,0.44356989186948,0,0,0,0,0,0,0,0.0211324913234146,0,0,0,0,-0.0676362276615876,0,0,0,0,0,0,0,0,0,0,0.0103544016320803,0,0,0,0,0,-0.00949459998667493,0,0,0,0,0.010400480716252,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0687929901867458,0,0,0.0517140989726745,0.251577529413307,0,0,0,0,0,0,0.00363508273171515,0.00833612237051212,0,0,0,0,0.0651300956566799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0499706615401448,0,0,0,0.00985380450988887,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.171276869200089,0,0.184710282220286,0,0,0,0,0.0512159894121589,0,0,0,0,0,0,0,0,0.296223452392466,0.154113046627536,0,0,0,0,0,0,0,0,0,0,0.00620207844267308,0,0,0.404852456235402,-0.021596707516062,0,0,0,0,0,-0.00442858903481482,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0.0973951616011963,0,0,0,0,0,0,0,0.225799255431666,0,0,0,0,0,-0.0189653205162422,0,0,0.289764700116714,0,0,0,-0.0328277296833136,0,0,0,0,0,0,0,-0.11366938649691,0,0,0,0.21398637806649,0,0,0,0,0,0,0,0,0,0,0.0408440858615969,-0.0152364474220286,0,0,0,0.0336164821736135,0,0
X600010.SH,0,0,0,0,0,0,0.299690489624433,0,0,0,0,0,0,0,0,0.0147415183721448,0.123774553854985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.326632992643432,0,0,0,0.200779101412398,0,0,0.0289065555849076,0,0,0,0.0604546183579985,0.0824532422977433,0,0,0,0,0,0,-0.0423434509074018,0,0,0,-0.0429903219729709,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.058325865318741,0,0,0,0,0,0,0,0,0,0,0,0,0.932223606443068,0,0,0,0.0676301957079972,0,0,0,0,0,0,0,0,0,-0.00935466261188234,0,0,-0.00924702937375056,-0.0797237649931376,0.00389234454592795,0,0,0,0,0.0119236647778378,0,0
X601600.SH,0,0,0,0,0,0,0,0.255919251379599,0,0,0,0,0,0,0,0.0295993847937206,0.251555960457243,0,0,0.0406547858742679,0.0304535893615607,0,0,0,0,0,0,0,0.0448739414196928,0,0,0,0,0,0,0,0,0.0329748457045696,0,0,0,0.0457851257411181,0,0,0,0,0,0,0,0.155696999797946,0,0,-0.0400676022847847,0,0,0,-0.0212413030695003,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0.295035339727328,0,0,0,0,0,0,0,0,0,0,0.0187257620235207,0,0,0,0,0.101002998760046,0.0173408184101161,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0.0296627608670271,0,0,0.0389497129419946,0.0607503528022714,0,0,0,0,0,-0.00361694110306038,0,0,0,0,0,0,0
X601991.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0.0147536578706306,0,0.182899386057739,0,0.0676506294849147,0,0,0,0,0,0,0,0,0.185327715441007,0,0,0,0.0308351646683117,0,0,0,0.0176900824032183,0.00883345603236963,0,0,0,0,0,0,0.0540321744341716,0,0,-0.0524228304053121,0,0,0,0,0,0
