,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600585.SH,X600019.SH,X601898.SH,X600688.SH,X600547.SH,X600188.SH,X600795.SH,X601600.SH,X601991.SH,X600027.SH,X600157.SH,X600362.SH,X600886.SH,X600111.SH,X300072.SZ,X600489.SH,X601992.SH,X600309.SH,X600660.SH,X600623.SH,X600299.SH,X000792.SZ,X002466.SZ,X002075.SZ,X601158.SH,X000709.SZ,X000898.SZ,X000408.SZ,X600352.SH,X600583.SH,X000723.SZ,X000883.SZ,X000983.SZ,X600549.SH,X000539.SZ,X000027.SZ,X600176.SH,X002470.SZ,X000959.SZ,X000630.SZ,X000012.SZ,X600021.SH,X002460.SZ,X601699.SH,X000060.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0.0507831807740847,0.0246916094115302,0,0,0,0,0.0104118739801288,0,0,0,0,0,0.0361328372400021,0,4.33680868994202e-19,0.0243460826351069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00127135066688411,0,0,0,0,0,0,0.0811072100247592,0.0137597650982393,0,0,0,0,0.00164070338661804,0,0,-0.00507696058361454,0,0,-0.0223806470300611,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0,0.072326917027469,-0.0124252176907245,0.0384305627680189,0,0,0,0,0,0,0,0,0.0155908462726506,-0.019211102843649,0,0,0,0,0,0,0,0.0309705572106569,0,0,0,0.0592995262878281,0,0,0,0,0.0365775844484796,0.0255882334743536,0,0,0,0,0,0,0,0,0,0.01942576490179,0,0,-0.00425514965960844,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0.0292807071718564,0,0,0,0.122579382065829,4.33680868994202e-19,0.102557071637906,0,0,0,0,0,0,0,0,0.0190459421977204,0,0.032805994448926,0.031328190039645,0,0.0292427044794728,0,0,0,0,0,0,0,0,0.0618366554691426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0630362519513411,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0.118234264764708,0,0,0,0,0,0,0,0,0,0,0,0.0616281506835332,0,-0.0180124554897446,0,0.021001077752932,0,0,0,0,0,0.136448553036018,0.14976151602603,0,0,0,0.0237264319047318,0,0,0,-0.0998094670889282,0.0699171163522813,0,0,0,0,0,0,0,0,-0.0132836040160637,0,0,0,0,0,0,0
X600010.SH,0,0,0,0.00842749022018259,0,0.2662563584299,0,0.0143013717548164,0,0,0,0,0.161736259813981,0,0,0,0,0,0.196917806574617,0,0.00686731036572135,0,0,0,0,0,0,0,-0.0320886825918664,0,0,0,0,0,0,0,0,0,0,0,0,-0.0051445748626023,0.0199537786143291,0,0,0.0312744283033055,0,0,0.0234021474917949,0,0,0,-0.000982963234321301,0,-0.130591645916651,0,0,0,0
X600585.SH,0,0,0,0,0.278650361569969,0,0,0,0,-1.38777878078145e-17,0.0259493710827921,0,0,0,0,0,0,0,0,0,0,0.0834270248369798,0,0.22489278851154,0.210175336627997,0,0,0,-0.109192439378566,0,0,0,0,0.0136326932806198,0,0,0,0,0.0460254656621128,0,0,0,0,0,0,-0.155263291600666,0,0,0,0,0,0.0102291937493835,0.110142687641038,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,-0.0729472276445992,0,0,0,0,0,0,0,0,0,0.0146362477382922,0,0,0.0267547208922115,0,0,0,0,0,0.0123513107761181,0,0,0,0,0,0,0,0,-0.00418098739604911,0.039831651802502,0,0,-0.013794170437244,0.0399918917318213,0,0,0,0,0,-0.0251580129934128,0,0,-0.0634248606203189,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0.106240914194101,0,0,0,0,0,0,0,0,0.0373227099562442,0.0369856674103933,0.0420503048819411,0.0704021979287289,0,0.11245901252054,0,-4.33680868994202e-19,0,0.0463502843840674,0,0.0669874692150841,0,0.0601171003217308,0,0,0,0,0.0270729476408475,-0.0835795961436283,0,0,0,0,0,0,0,0,0,0.358377938547481,0,0,0.0177598320993137,0,0,0,0,0,0,0
X600688.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0503142335840597,0,0,0,0.0855309280263242,0,0,0,0.0528991660044289,0,0,0,0,0.1248868891444,0,0,0,0.196817448048002,0.0232077914885195,0,0,0.00781769098980916,0.146650305037336,0,0,0.00716140586097946,0.0614667071718203,0.0373087262320005,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0114497217693958,-0.0229390269964407,0.767049736307912,0,0,0,0.254147170177297,0,0,0,0,0,0,0,0,0,0,-0.412417536987508,0,0,0,0,0,-0.0532160272906908,0,0,0,0.173771087174993,0,-0.141058853393539,-0.0426343635109193,0,0,0.0784837399718734,0.00970314996825109,0,0,0,0,0,0
