,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600886.SH,X600585.SH,X600019.SH,X601898.SH,X600795.SH,X601991.SH,X601600.SH,X600027.SH,X600688.SH,X600157.SH,X002075.SZ,X600362.SH,X600111.SH,X600188.SH,X600583.SH,X000709.SZ,X000539.SZ,X601158.SH,X600309.SH,X601992.SH,X000027.SZ,X000898.SZ,X000883.SZ,X600021.SH,X600352.SH,X600660.SH,X600022.SH,X000792.SZ,X601918.SH,X600307.SH,X000629.SZ,X600863.SH,X002470.SZ,X600098.SH,X600808.SH,X600578.SH,X600489.SH,X600623.SH,X000825.SZ,X000060.SZ,X000878.SZ,X600547.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.722152535129438,0.110219025297492,-1.0842021724855e-19,0,0,0,-1.38777878078145e-17,0,0,0,-0.0258881976878534,0,0,0,0,0,0,0,0,0,0,0,0,-0.076816673829765,0,0,0,0,0,0,0,0,0.0491845348207967,0,0,0,0,0,0,-0.00734305316158877,0,0,0,0,0,0,0,0,-0.0110262123456611,0,0.0228191597268282,0,0,0,0
X600028.SH,0.428244959960821,0,0.163957463543517,0,0,0,0.0223213811045393,0.118132011636247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0283778486035781,0,0,0,0,0,0.1099554503405,0,1.73472347597681e-18,0,0,0.00837820676471012,0.00706773303508543,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0236189579145456,0,0.117357768758626,0,0,0,0,0
X601088.SH,0,0,0,0,0.280728483308514,0,0,0.0620977118932034,0,0,0.143814366883705,0,0,0,0,0,0,0,0,0.00719614222176133,0,0,0,0.103812112829319,0,0,0,0,0,0,0,-0.0548441256022758,0.0531093256040274,0,0,0,0,0.115535065493426,0,0,0,0,0,0,0,0,0,0,-0.00714830252478144,0.000354684719896531,0,0,0,0,0,0
X600011.SH,0,0,0.0509229572829459,0,0.0484891331291852,0,0,0,0,0,0.336360400552422,0,0.361453184729993,0,0,0,0,0,0.105501518797259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0337393058393327,0.0663563495951047,-0.0496981740844184,0,0,0,0,0,0,0,0,0,0.00397217374957384,-0.000288069541439232,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121132315711797,0,0.193425884312142,0,0,0,0.0827003233995189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143275037119844,0,0,0,0,0.0742404862078571,0,0,0,-0.00298382184285358,0,0,0,0,0,0,0
X600886.SH,0,0,0,0,0.0121357334158775,0,0.0181531022616766,0,-0.0174559104905377,0,0,0,-1.0842021724855e-19,0,0,-0.602887674967316,0,0,-0.0145825775159088,0,0.00370569907702732,-0.0129886024294899,0,0,2.71050543121376e-20,0.0119309668440566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0230390205436298,0,0,0,0,0,0,0
X600585.SH,0,0.0103370181183155,0.0116452836513938,0.0602372594037846,0.0261999035894107,0,0,0.0796760284871649,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0.00103511561725189,0,0,0,0,0.131014377596527,0,0,0,0,0.0485853838508567,0,0.307043911165652,0,0,0,0,0,0.048153670336285,0.0420620693681207,0,0,0,0,0,0,0,0,0,0,-0.0144378944692104,0,0,0,0,0,0,0
X600019.SH,0,0,0.223444794145616,0.050683969369809,-4.33680868994202e-19,0,0,0,0,0,0,0,0.0284401173774372,0.0780906226180845,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0.0435380178173593,0,0,0.119519401644408,0,0,0,0,0,0,0.058302208476359,0,0,0.169811959824658,0,0,0,0,0,0,0,0,0,0,0,0,-0.00522639475323647,0,0,0,0,0,0
X601898.SH,0,0,0,2.71050543121376e-20,0.036965814571511,0,0,0,0,0,0,0.0854374742461823,0,0,0,0,0,0,0,0.130839556676917,0,0,0.0365954781676393,0.00443371161964523,0,0,0,0,0,0,0,0,0,0.233965829517803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0067688455191837,0,0,0,0,0,0,0
X600795.SH,0,0,0,0.0269006550358422,0,0,0,0,0.14704489475564,0,0,0,0,0.0305520141191747,0,0,0,0,0.00311480051669645,0,0,0,0,0,0.044452159008856,0,0,0.0825313054410537,0,0.0204767008605739,0,0,0,0,0,0,0.22078374610705,0,0,0.0310813892917704,0.140578762400144,0,0,0.101995157660317,0,0,0,0,-0.00441127750004873,0,0,0,0,0,0,0
X601991.SH,0,0,0.0708151038188293,0.152072420338621,0,0,0,0,0.0850922408847698,0,0,0,0.110248754830481,0,0,0,0,0,0.10974190057987,0.000184448731567029,0,0,0,0,0.144570407747233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.160112863182446,0,0,0,0,0,0,0,-0.00730110342510196,0,0,0,0,0,0,0
