,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600585.SH,X600019.SH,X601898.SH,X600547.SH,X600688.SH,X600795.SH,X601600.SH,X600188.SH,X601991.SH,X600027.SH,X600362.SH,X600489.SH,X600111.SH,X600157.SH,X600886.SH,X601992.SH,X600309.SH,X600660.SH,X600623.SH,X300072.SZ,X002466.SZ,X600299.SH,X000792.SZ,X601158.SH,X002075.SZ,X600352.SH,X600583.SH,X000723.SZ,X000883.SZ,X000709.SZ,X600549.SH,X000898.SZ,X000408.SZ,X000983.SZ,X600176.SH,X000539.SZ,X002470.SZ,X000027.SZ,X002460.SZ,X000630.SZ,X002407.SZ,X600021.SH,X000060.SZ,X600612.SH,X601699.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.149347145801228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0561278356292048,0,0,0,0.0387837360997046,0,0,0.0633127838460601,0.0295273274643727,1.0842021724855e-19,0,0,0,0,0,0,0,0,-0.034636345973207,0,-0.0180489554668826,0,0,0,0.104145251460612,0,0,0,0,0,0,0,0,0,0,0.0415571981514243,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0,-0.0573426962822073,0.19473619661332,0,0,0,0,0,0,-0.00984479366924406,0,0,0,0,0,0,0,0.0431588893219064,0.00427633807147202,0,0.0215137566790609,0,0.0221514672605299,0,0,0,0,0,0,0.010994283999585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0251728884653262,0.0342615153781469,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0.0771961188657698,-0.00301667055469767,0,0,0,0.0082658874737454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0146430680414647,0.0818433692146092,0,0,0,0,0,0,0,0.0812153315537942,0,0,0,0,0.0539533133013445,0,0,0,0,0,0.0482608491273763,0,0,0.0268412032216538,0,0,0,0,0,0
X600011.SH,0,0,0,0,0.121159481133024,0.0767304649043209,0,0.20436514005657,0,0.0797391220047134,0,0.0124553675437631,0,0,0,0,-0.0925705103135198,0,0,0,0,0,0,0,0,0,0,0.0257904646758364,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0.0203756893962605,1.73472347597681e-18,-0.0544576930733429,0,0,0,0,0,0,0,0,0.123208899142309,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0.126484053031025,0,0.063209911175313,0.0241358599518412,0,0,0,0,0,0,0,0,0.4482321262404,0,0,-0.00547958887218219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0445576133901754,0,0.0101628719479276,0,-0.0137569211655532,0,0.0686024018376162,0,0,0,0.0376879672166069,0,0,0.0696444251001863,0,0,-0.00508453589303617,-0.0205726963666771,0,0,0,0,0,0
X600585.SH,0,0,0,0,0.0582107581877893,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15322563548402,0,0,0,0,0,0.00564845465796725,-0.169577769404897,0,0,0,0,0.0949007160625008,0,0,0,0,0.0505724489737839,0,0,1.73472347597681e-18,0,0,0.134712831170734,0,0.106162057451358,0,0,0,0,0,0.054443233478919,0,-0.0259751643239515,0.0806517184651817,0,0,0,0,0,0
X600019.SH,0,0,0,0,0.00502995816552963,0,0,0,0,0,0,0,0,0,0,0,0,0.00176652516466163,0,0,0,0,0,0.0459248496610969,0.0871615477966441,-0.00634122280983634,0,0,0.147769717038462,0.0165699777071027,0.0651535543575458,0,0,0,0,0.0480069069862303,0,0.0936400863845042,2.16840434497101e-19,0,0,0.0731648770874089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0.0714462137102983,0,0,0,0.0578909469872115,0,0,0,0,0.0591961372969712,0,0,0.0773541294644681,0,0,0,0.0901114057505872,0,0.0872068613476086,0,0,0,0,0,0.00102978881527228,0,0.0161992736101815,0,0.0097723939750679,0,0,0,0,0,0,0.0329069472959801,0.00457884576661739,0,0.245914046593598,0,-0.0136341340407286,0,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0.408070459164319,-0.0717854183847355,0,0,0,0,0,0.302808279767368,0,0.0378848622427348,0,0,0,-0.0572199481261442,0,0,0,0,0,0.111955648461223,0,0,0,0,0,0,0,0,0,0.13622219573615,0.0399047421142268,0,0.0993572480440804,0,0,0.0218771475372836,0,0,0,0,0,0,0
X600688.SH,0,0,0,0,0,0.0692834771892232,0,0,-0.0105505035919375,0,0,0,0,0,0,0,-0.0672224105642311,0,0,0,0,0,0,0.0883632162285092,0.0476565680759665,0.0737804037534823,0,0,0,0.00792797124613458,0.224811911187803,0,0,0,0,0,0.0860446491354439,0,0,0,0,0,0,0,0,0,0.106105659755409,0,0,0.201362660930812,0,0,0.0754194415528616,0,0,0,0,0,0
