,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600585.SH,X600011.SH,X600010.SH,X601898.SH,X300072.SZ,X600688.SH,X601600.SH,X600547.SH,X600795.SH,X601991.SH,X600309.SH,X600362.SH,X600660.SH,X600188.SH,X601992.SH,X600886.SH,X600027.SH,X600157.SH,X600111.SH,X600489.SH,X600339.SH,X002466.SZ,X000898.SZ,X000709.SZ,X600299.SH,X000959.SZ,X601158.SH,X000792.SZ,X600583.SH,X000408.SZ,X000630.SZ,X000883.SZ,X600352.SH,X600219.SH,X002460.SZ,X000983.SZ,X000539.SZ,X002092.SZ,X000723.SZ,X000825.SZ,X000027.SZ,X600578.SH,X600021.SH,X601699.SH,X600098.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.241293085133586,0,0.0416770266152218,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00886198521895707,0,0,0,0.0369274957616973,0,0,0,0,0,0.0599707568510447,0,0,0,0,0,-0.0688437832022606,0,0,-0.035152283900856,0,0.0353149284149265,0,0,0.0739115833014956,0,0.0404782858076233,0,-0.00941617128316069,0.00147610557638948,0,0,0,0,0,0
X600028.SH,0,0,0,0,0.0419436530424911,0,0,0,0.0729585744726493,0.222348937764453,0,0,0,0,0,0.106822606389218,0,0,0.0435036213553266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0358376149443324,0,0,0,0.0456572210518981,-0.0383352191380426,0,0,0.0217171837337105,0,0.000752514321316497,0,-0.00238620574082387,0.010238905130186,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0.146711175783164,0,0.0828746692894762,0,0,0,0,0,0,0,1.0842021724855e-19,0,0,0,0,0,0,0,0,0.0147168747014699,0,0.116120857136291,0.0745950323015921,0,0,0,0,0,0,0,0,0,0,0,0.0594714184349387,0,0,0,0,0,0,0.0264349305438038,0.0806097330489722,0,0.0105625148745827,-0.00726755208340587,0.000350104332202361,0,0,0,0,0,0
X600019.SH,0,0,0.0460810167281388,0,0,0,0.109946219845694,0,0,-0.108405705877585,0,0,0,0,0,0,0,-0.151282740998112,-0.0233873530410161,0,0,0,0,0,8.67361737988404e-19,0,0.365480941224196,0,0,0,-0.0334594538862312,0,0,0,-0.0700766635177804,0,0,0,-0.0662297008262963,0,0,0,0,0,0,0,0,0,0,0.245110092207188,0.00757669487881454,-0.0178625409549045,0.310800054927052,0,0,0,0,0
X600585.SH,0,0,0.00525313741174983,0,0,0,0,0,0,0,0.371671936003314,0,0,-0.0430421797247508,0.0451043819307805,0,0,0.120306336238999,0.206613378320821,0,0,0,0,0,0,0,0,0,0,-0.0836770222489246,0,0,0,-0.080539980961397,0,0,0,0,0.0575917632378664,0,0,0,-0.128618467067672,0,0,0,0,0,-0.105556418722057,0,-1.0842021724855e-19,-0.00306635164399981,0,0,0,0,0,0
X600011.SH,0,0,0.108330745941377,0,0,0,0,0,0,0,0,-0.258733461491325,0,0,0.0790745879895648,0.0268226052701724,0,0,0,0,0.194945848960563,0,0,-0.0061124251210892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0404032426617751,0,0,0,0,0,0,0,0.0518324959664167,-0.0217181287503966,0,0,0,0,0,0
X600010.SH,0,0,0,0.0675437012358502,0,0,0,0,-0.0482935267302973,0,0.122387840395426,0,0,0,0,0.0251906687174363,0.139744048258771,0,0,0,0,0,0,0,0.0247581820389352,0,0.197866493913834,0,0.066593352071525,0,0,0,0,0,0,0,0,0,0,0,0,0.111959913484596,0.0419335812910066,-1.73472347597681e-18,0,0,0,0,0,0,0,-0.00430081835497198,0,0,0,0,0,0
X601898.SH,0,0,0.0263435812301069,0,0,0,0,0,0,0,0,0,0,0,0,0.0441019984360415,0.0261681557519658,0,0,0,0,0,0,0,0.0457244181068632,0,0,0,0,0,0,0,0.310538507680807,0,0.0413863869231069,0,0,0,0,0.236761275436344,0,0,0,-0.00642498068138602,0,0,0,0,0.0335755889352791,0,-0.00225390697655455,-0.000966302212594325,0,0,0,0,0,0
X300072.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0149939351373956,0,-0.0291759049966457,0.0609456984189176,0,0,0.0183807452800966,0,0,0,0,0,0,0,0,0,0.145299302008312,0,0,0,0.476080130253382,0,0,-0.0788046406841953,0,0,0,0,0,0,0,0,0,0,0,0,0.0117724784213166,0.0860386846936783,-0.00677030897800706,0,0,0,0,0,0
X600688.SH,0,0.455303028834827,0,0,0,0,0,0,0.0338737188360721,0,0.0194354330936334,0,0,0,0.114636806633332,0,0,0,0,0.0521238654939934,0,0,0,0,0,0,-0.0802030302744585,0,0,0,0,0,0,0,0,0.127058771265026,0,0,-0.0945754595399364,0,0,0,0,0,0,0,0,0.0608813487277665,0,-0.0657528820596328,0.000412151633004648,0,0,0,0,0,0,0
