,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600019.SH,X600886.SH,X600585.SH,X601898.SH,X600795.SH,X601600.SH,X601991.SH,X600027.SH,X600688.SH,X600157.SH,X002075.SZ,X600362.SH,X600111.SH,X600188.SH,X000709.SZ,X000539.SZ,X600583.SH,X601158.SH,X600309.SH,X601992.SH,X000027.SZ,X000898.SZ,X000883.SZ,X600021.SH,X600352.SH,X600022.SH,X600660.SH,X000792.SZ,X000629.SZ,X600307.SH,X600863.SH,X601918.SH,X600098.SH,X002470.SZ,X000878.SZ,X600578.SH,X600808.SH,X600623.SH,X600489.SH,X000060.SZ,X000959.SZ,X000825.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.769775441759653,0.0645929230922329,0,0,0,0,0,0,0,-0.0476514700014904,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0665117860473445,0,0,0,0,0,0,0,0,0,0,0,0.0388914490981231,0,0,0,0,0,0,0,0,0,0,0,0,-0.013019065789041,0,0.0449460901411988,0,0,0,0
X600028.SH,0.420225544377673,0,0.0864517602982737,0,0,0.116046402592438,0,0.0462009504632826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0436210891976747,0,0,0,0,0,0,0,0,0,0,0,0,0.0965501616362697,0.0641132229952037,0,0,0,0,0,0,0,0,0,0,0,0.0160712507466146,0,0.0392202069089439,0,0,0,0,0
X601088.SH,0,0,0,0,0.276727294557623,0.0514060315718732,0,0,0,0,0,0.14911714556712,0,0,0,0,0,0,0,0,0,0,0,0.0986330316899626,0,0,0,0,0,0,-0.0441382848030354,0,0.0526610426390045,0,0,0,0,0,0.120893285753719,0,0,0,0,0,0,0,0,0,-0.00678323797868994,0,0,0,0,0,0,0
X600011.SH,0,0,0.0763086880007613,0,0.0338636402505346,0,0,0,0,0,0,0.315088165760942,0.370605736630456,0,0,0,0,0,0.0356520214504122,0,0,0,0,0,0.0921890496366346,0,0,0.0172892447059414,0,0,0,0,0,0,0,0,0,-0.101255294603792,0.00158677484615027,0,0.0666461340671347,0,0,0,0,0,0,-0.0522399723553447,0.0170628205079531,-0.0289519051013827,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.150484364055612,0,0.202088928946288,0,0,0,0.0928751389372425,0,0,0,0.0337120797159866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118999549544498,0,0,0.0742046908503372,0,0,0,-0.00448141291237275,0,0,0,0,0,0,0
X600019.SH,0,0,0.247526150637039,0.0443026126742071,4.33680868994202e-19,0,0,0,-1.38777878078145e-17,0,0,0,0,0.0841501259686575,0,0,0,0,0,0,0,0,0,0.0486623627113029,0,0,0.135597469788728,0,0,0,-3.46944695195361e-18,0,0,0,0,0.186252773619312,0.047780129861986,0,0,0,0,0,0,0,0,0,0,0,0,-0.00546617604850641,0,0,0,0,0,0
X600886.SH,0,0,0,0,0.0219478264003079,0,0,0.0110888786981132,-0.0233651228386951,0,0,0,0,0,0,-0.536741815013516,0,0,-0.0483113124659962,0.00822655498210438,-0.0239477522915582,0,0.00943543476574773,0,0,0.00840306535554814,0.0359911371936707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0270193671191297,0.00686880923495626,0,0,0,0,0,0
X600585.SH,0,0.052987996487454,0,0.00331971824327975,0.0320326138049572,0.0904115577010226,0,0,0,0,0,0,0,0,0,0,0,0,0.0271977073096079,0,0,0,0,0.111523819577617,-2.16840434497101e-19,0.0247314113360369,0.0200567122968155,0,0.000641690428129494,0,0,0.277358898026739,0,0,-4.33680868994202e-19,0,0,0,0.0382048296238856,0,0.088321222126335,0,0,0,0,0,0,0,-0.0119420645373959,0,0,0,0,0,0,0
X601898.SH,0,0,0,2.71050543121376e-20,0,0,0,0,0,0,0.194295055274836,0,1.0842021724855e-19,0,0,0,0,0,0,0,0,0.0111923180890657,0,0.133204051284925,0,0,0,0,0,0,0,0,0,0,0,0,0.201837499702895,0,0,0,-6.93889390390723e-18,0,0.209274383328023,0,0,0,0,0,0.0212742527580961,0,0,0,0,0,0,0
X600795.SH,0,0,0,0,0,0,0,0,0.145943075484602,0,0.0141343481185687,0,0.0172878282270453,0.0151644875146915,0,0,0,0,0,0,0,0,0,0,0.0560315217189807,0.0510341825455745,0,0.041731936165454,0,0,0,0,0,0,0,0.238408516715477,0,0,0,0,0.199546529984658,0.0195774224557402,0,0,0,0,0,0,-0.00118622924437714,0,0,0,0,0,0,0
