,X601857.SH,X600028.SH,X601088.SH,X600010.SH,X600011.SH,X600019.SH,X600585.SH,X600886.SH,X600795.SH,X601898.SH,X601600.SH,X601991.SH,X000709.SZ,X600688.SH,X600027.SH,X000539.SZ,X600157.SH,X600111.SH,X600362.SH,X600188.SH,X002075.SZ,X600583.SH,X601158.SH,X600352.SH,X000898.SZ,X600309.SH,X002353.SZ,X601992.SH,X600021.SH,X000883.SZ,X000027.SZ,X600660.SH,X000878.SZ,X000629.SZ,X600808.SH,X000959.SZ,X002470.SZ,X600863.SH,X000792.SZ,X000825.SZ,X600578.SH,X000060.SZ,X600489.SH,X600307.SH,X300072.SZ,X600098.SH,X600315.SH,X000012.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.754866982988715,0.13324132839268,0,0,0,0.0445322902672499,0,0,0,-0.092772782735173,0,0.0149792933858941,-0.0161056404554295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0106023297836361,0,0,0,0,0,0,0,0.051307038305503,0,0,0,0,0.0621507830774678,0,0,-0.0449037032184306,0,0,0,-0.0163033844696667,0.00361182519822788,-0.00760330798809162,0,0,0,0,0,0
X600028.SH,0.494465382743717,0,0.111738474499847,0,-8.67361737988404e-19,0.105973877391145,0,0,0,0,0.0274031512759472,0,0,0.0504448728742134,0,0,0.0404853791878519,0,0,0,0,0.0500998568502801,0.0450689377085939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0114007856478396,0,0,0,0,0,0,0,0,0,0,0.00580047673704667,0.0208526270462726,0.116847141621898,0,0,0,0,0
X601088.SH,0.081741699052611,0,0,0.179466817252218,0.00545161615492549,0.109563600328393,0,0,0,0.165364693560167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0194946327938622,-0.00634469469532682,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.131915506143519,0,0,0,0,0,0,0,0,0.0577040326478375,0,0,0,0,0.102197624815995,0.268124768432175,0,0,0,0,0,0,0.193781710620682,0,0,0,0,0,0.0921309696020253,0,0,0.0260114026016871,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0.0204101073569715,0,0,0,0.182378276418207,0,0.128636483677015,0,0,0.158730821457023,0,0,0,0,0,0,0,0,0,0.00943889228697311,0.00448107613430586,0,0,0,0,0,0,0,0,0.0420837634681975,0,0,0,0,0,0.342498327501468,0,0,0,0,0,0,0,0,0,0.0219142012296598,0,0,0,0,0,0
X600019.SH,0,0.0378155110173347,0.167315758070373,0.01215574277108,0.270051795871857,0,0,0,0,0,0,0,0.0765182193305635,0,0,0,0,0,0,0,0,0,0,0,0.325698400986549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0256883115171075,0,0,0,0,0.0037791677387449,0,0,0,0,0,0,0
X600585.SH,0.0421762607037433,0,0.0976194088611624,0,0.0723869541003951,0.113523898845024,0,0,0,0,0.0923736554956116,0,0,0,0,0,0,0,0,0,0,0.0322721675276367,0,0,0.037748392472002,0.0131490143762172,0,0,0,0,0,0.219787970633145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.013193412614423,-0.0183112210920835,0,0,0,0,0,0
X600886.SH,0,0,0,0,3.46944695195361e-18,0.137798852305689,0,0,0,0,0,0,0.0962137827460849,0,0,0.131586242482682,0,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,-0.0889364605625948,0,0,0,0,0,0,0,0,0,0,0.218996004898841,0.109817233178021,0,0,0.000685975688021403,0,0,0,0,0.00315375819598702,-0.00326417662002477,0,0,0,0,0,0
X600795.SH,0,0,0,0,0,0,0,0.0416206581592279,0,0,0.0776718237057186,0,0,0,0.0806192641017154,0,0,0,0,0,0,0.033069556929764,0,0,0,0,0,0,0.177428318064193,0,0,0,0,0.04689300096406,0,0,0,0.242414696935531,0,0,0.104444301817666,0,0,0,0,0,0,0.0201199981463289,0,0.00202059897866131,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0.266327655919925,0,0,0.0352776544537286,0.113198377138185,0,0,0,0,0.254148928569415,0,0.130815866801555,0,0,0,0,0,0.0216579019854309,0,0,0,0,0,0,0,0,0,-1.0842021724855e-19,0,0,3.46944695195361e-18,0.0849893978360463,0,0,0.199317020922619,0,0,0,0,0.00784763975842619,8.67361737988404e-19,0,0,0,0,0,0
