,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600585.SH,X600019.SH,X002271.SZ,X002460.SZ,X000708.SZ,X600660.SH,X600362.SH,X601898.SH,X600547.SH,X000786.SZ,X601600.SH,X600111.SH,X000301.SZ,X600886.SH,X600010.SH,X600188.SH,X600176.SH,X600426.SH,X600011.SH,X002466.SZ,X000932.SZ,X600803.SH,X600801.SH,X000898.SZ,X601991.SH,X600352.SH,X600219.SH,X600795.SH,X600489.SH,X000027.SZ,X600157.SH,X600315.SH,X600688.SH,X000807.SZ,X002080.SZ,X000825.SZ,X601168.SH,X600486.SH,X000723.SZ,X600027.SH,X600516.SH,X600299.SH,X300037.SZ,X002353.SZ,X000630.SZ,X000883.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.367222838564533,0,0,0,0,-0.0268807821638859,0,0,0,0.0538893327408695,0.0191461581704564,0,0.00220236800619474,0,0,0,0,-3.46944695195361e-18,0.0142820534465663,0,0.0320599783766626,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0388738678570784,0,0,0,0,0,0,0,0,0,0,0,0.0431409182117001,0,0,0,-0.00292907580678289,0,0,0,0,0.0015931352609314,0,0
X600028.SH,0,0,0,0,0,0,0,0,0.0716135332169652,0,0,0,0,0,0.0347768983071281,0.0043354430776041,0,0,0,0,0,0.120713066069885,0,0.0174017946727432,0,0,0,0.124540064512509,-0.0998073035540756,0,0,0,0,0,0,0,0,0.127586817979719,0,0,0,0,0.0130126201879394,0,0,0,-0.0179622406023964,0,0,0.0281592651222625,0,0,-0.0158765641314338,0,0,0,0.00597703494011786,0,0
X601088.SH,0,0,0,0,0,0,0,0.100316942218719,0.0266232748363921,0,0,0,0,0,0,0,0,0,-0.00826192883468175,0.0967253658224772,0,0,0,0.0165166565857114,8.67361737988404e-19,0,0.0529754251910101,0,0,0,0,0,0,0.0187686409425517,0,0,0,0.168710459647318,0,0,0,-0.0400564018272593,0,0,0,0,0,0,0,0.0255831653267148,0,0.0201944249624809,0,0,0,0,0.0155324518478713,0,0
X600309.SH,0,0,0,0,0,0,0,0.223454294711283,0,0,0,0,0,0.0926222237796256,0,0,0,0,-1.38777878078145e-17,0,0,0,0,-4.33680868994202e-19,0,0,0,-0.0525730972605663,0,0,0,0,0,0,0,0.0525800887006157,0,0,0,0,0.18747449165276,0.132564800384983,0,0,0,0,0.00932956587885635,0,0,0,0,0,-0.0708995245130383,0,0,0,-0.0198188719137197,0,0
X600585.SH,0,0,0,0,0,0,0.0557779484749122,0,0.013950325568398,0,0,0,0,0,0,0,0,0,0,0.0791490037979545,0,0.0196705684730964,0,0,0.066579610265347,0,0.116203287127551,0,0,0,0,0,0,0,0,0.0030008108028424,0,0.00766010788749859,0,0,0.0352731963933104,0,0,0,0.0382015570988772,0,0,0,0,0,0,0,-0.0261927258588506,0,0,0,-0.0148698696994067,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0.0369010448158864,0.0437680112934434,0,0,0,0.120147970627694,0,0,0,0.104266032782258,0.348020822384595,0.0625638651677782,0,0,0,0,0,0,0,-0.0161112395421052,0,0,0,0.044022868853667,0,0.285773403755799,0.0160412882368231,0,0,0,0.00125036479421128,0,0,0,0,0,0,0,-0.00553877713400972,0,0,0,0,0,0
X002271.SZ,0,0,0,0,0,-0.141531212297714,0,0,0,0.0330059253901452,0,-0.00554441989722074,0,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,-0.102426281897003,0,0,0,0,0,0,0,0,0.176202258682159,0,0,0,0,0.0832625876123897,0,-0.0132523295331853,0,0,0,-0.044621887779454,0,0,0,-0.0577676874452792,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0,0.087111879811412,0.0473049699558241,0,0,0.183996362232378,0,0.109704576520044,0.271399144908124,0,0,0,0,0,0,0.39356714068419,0,0.00771151464742693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0858170368026151,0,0,0,0,0,0,0,0,0,0,-0.00253622524352036,0,0,0,-0.00566938114521069,0,0
X000708.SZ,0,0,0,0,0,0,0,0,0,0,0,-0.0218941125100347,0,-0.270925919673717,-0.00294110154188761,0.280807350492637,0,0,0,0,0,0,0,0,0,0,-0.17345185173564,0.379696662753283,0,-0.0291785875774237,-0.393122397972256,0,0,0,0,0.120186839093992,0,0,0,0,0,0,0,0,0,0.420465803712013,0,0,0,-0.0518526589314835,0,0.157656772334906,-0.165880636571767,0,0,0,-0.0510415237737199,0,0
X600660.SH,0,0,0,0,0,0,0.144384151101952,0.0158580484384759,0,0,0.107960358868091,0,0,0,0,-0.0374229362592097,0,0,0,0,0.0546096750678585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.215621321688936,0,0,0,0,0.0539231368836913,0,0,0,0,0,-0.0294280493595134,0,0,0,-0.0388258994908046,0,0
X600362.SH,0,0,0,0,0,0,0.123348070173717,0.0745770939159798,0,0,0,0,0,0,0,0,0.051753490915464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0240476349058554,0,0,0,0,0,0,0.438610517702173,0,-0.0257698177276838,0,0,0,0,0,0.679701436739043,0,0,-0.0437080211995522,0,0,0,0,-0.0416332222374775,0,0
