,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600011.SH,X600309.SH,X600010.SH,X601898.SH,X600660.SH,X600688.SH,X601991.SH,X600547.SH,X601600.SH,X600188.SH,X600886.SH,X600795.SH,X600362.SH,X000898.SZ,X600027.SH,X601992.SH,X002466.SZ,X600111.SH,X000629.SZ,X600176.SH,X600516.SH,X000709.SZ,X600808.SH,X600299.SH,X002460.SZ,X600352.SH,X600801.SH,X000825.SZ,X002110.SZ,X300072.SZ,X600426.SH,X600339.SH,X600583.SH,X600489.SH,X000786.SZ,X601158.SH,X000553.SZ,X600219.SH,X601699.SH,X000883.SZ,X000932.SZ,X000408.SZ,X000301.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600688.SH,0.140718646433223,0.0897479555101664,0,0,0,0,0,0,0.0853682246387938,0,0,0,0.042116444157847,0,0,0,0,0,0,0,0,0,0,0,0.0354089403156639,0,0,0.0974641441010263,0,0.050089705543945,0,0,0,0,0.00732041340545644,0,0.0129346030236081,0.0135449737869451,0,0,0,0.0743237987554337,0,0,0,0,0,0,0,-0.00507363192839663,-0.000253201220867851,0,0,0,0,0,0
X601991.SH,0,0.0162881512542083,0,0,0,0,0.0590890331786664,0.0396143456159697,0.137753833761848,0,0,0,0,0.132503697867531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0722913101891425,0,0.114711858506985,0,0,0,0.00784049929180698,0,0,0.013420849614617,-0.0144861968131556,0,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0.0604462185686646,0,0,0,0,0,0,0,0,0.026475593987659,0,0,0,0.0384226937617833,0,0.112720258589714,0,0,0,0,0,0,0,0,0,0,0.163684963950108,0,0,0,0,0,0.655589371774321,0.0305760728520135,0,0,0,0,0,0,0,-0.0776025020630799,0,0.0246829503251071,-1.38777878078145e-17,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0.149051116265029,0,0,0,0,0,0.0627413436387782,0,0,0,0,0,0,0,0,0.00702941291616357,0.0764031554575927,0,0,0,0,0,0,0,0,0.0545366861941115,0.0023825666515648,0,0,0.390593696713127,0,0,0,0,0.0738774866490133,0,0,0,0,0,0,-0.00349944727323487,-0.0186472968795233,0,0,0,0,0,0
X600188.SH,0,0,0,0,0,0,0,0,0.075728875085301,0,0,0,0,0.0865445176379254,0,0,0,0,0,0.0566409745571858,0,0,0,0,0,0.028880587145329,0,0,0,0,0,1.73472347597681e-18,0,0.0966660015273694,0,0,0,0,0,0,0,0,0,0.563318507745592,0,0.159795543231378,0,0,-0.0532702945766173,0.00203636410747167,-0.0238695652356367,0,0,0,0,0,0
X600886.SH,0,0.182818938536766,0,0,0,0.20145978737114,0,0,0,0.0511184811029628,0,0,0.0214210751291223,0,0,0,0.167035577687223,0,3.46944695195361e-18,0,0,0,0,0,0.014703257234583,0,0,0,0,0,0,0,0.0642085805394003,0,0,0,0,0,0,0,0,0,0.0824466549170559,0,0,-0.0254923726330006,0,0,0,0.00315751400189082,0.0153656468999345,0,0,0,0,0,0
X600795.SH,0,0,0,0,0,0,0,0,0,0,0,0.0743571674801075,0,0.0506780524219033,0,0,0,0.144290448350912,0,0.172064804919396,0,0.00300302947799022,0,0,0,0.0112262153569203,0,0,0.0809482270743043,0.0737735998824303,0,0,0,0,0,0,0.0454466252758004,0,0,0,0,0,0,0,0,0,0,0,0,-0.00319146564790688,-0.0113622301323681,0,0,0,0,0,0
X600362.SH,0,0,0.171494593019783,0,0.0579508367886882,-0.0131008347907075,0,0,0,0,0,0,0,0.130946631353652,0,0,0,0,0,0,0,0,0.22275495179023,0.0299874560241492,0.0654424862593569,0,0,0,0,0,0.164617450827957,0,0,0,0,0,0,0,0,0,0,0,0.0164123501787516,0.0642036574539316,0,0,0,0,0,-0.0102322855502425,-0.00499449486007299,0,0,0,0,0,0
X000898.SZ,0,0,0,0,0.362523697513802,0.0106134227664932,0,0,0,0,0,0,0,0,0.148186259704258,0,0,0,0,0.130840404127948,0,0,0,-0.0691935662430033,0,0.155138872068289,0,0.260526131633656,0,-0.083371999822056,0,0,0,0,0,0.124205529047934,-0.121694670031051,0,0,0,0,0,0,0,0,0.0550530722966337,0,0.00202114274135322,0,0.010282913994721,0,0,0,0,0,0,0
X600027.SH,0,0,0.249772983140065,0,0.0603089637865309,0.388226211047687,0,0,-0.0490077552314428,0,0,0,0.117361593470308,0,0,0.0933760317334217,0.0196666517034433,0,0.260074605118437,0,-0.0765367202511387,-0.136575425881911,0,0.0443709758671994,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.236288514054873,0,0,0,0,0,0,0,0,0,0,0,-0.015148939943109,-0.0382756892836588,-0.159091700343908,0,0,0,0,0
X601992.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111051228385506,0.0313063192209719,0,0.0648514164605513,0,0,0,0.0891734477320006,0.108314938888618,0,0.0507073945585466,0.0528886703510389,0,0,0,0.00882273595422939,0,0,0,0,0,0,0,0.155311790907263,0,0,0,-0.0358230413292805,-0.0348572580646663,0,0,0,0,0,0
