,X601857.SH,X600028.SH,X601088.SH,X600010.SH,X600011.SH,X600019.SH,X600795.SH,X600585.SH,X601600.SH,X601898.SH,X601991.SH,X600688.SH,X600157.SH,X600362.SH,X600111.SH,X600027.SH,X600886.SH,X600188.SH,X000883.SZ,X600021.SH,X600352.SH,X600583.SH,X600309.SH,X000027.SZ,X601158.SH,X601992.SH,X000709.SZ,X000539.SZ,X000898.SZ,X000060.SZ,X000792.SZ,X600808.SH,X000825.SZ,X002470.SZ,X600489.SH,X600660.SH,X002353.SZ,X000629.SZ,X600547.SH,X600307.SH,X002075.SZ,X600863.SH,X600578.SH,X600008.SH,X600098.SH,X000831.SZ,X002004.SZ,X600549.SH,X600219.SH,X000012.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.681385882206531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0789767273134536,0.14247486708315,0,0.0354861818187698,0,0,0,0,0,0,0.0147078533464712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0239334097160049,0,0,0,0,0.00357679513380971,0,0,0,0,0,0,0
X600028.SH,0.594045188766305,0,0,0,0,0,0,0,0,0.233491388241704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00719249604782911,0.00898682552531293,0,0,0,0,0,0,0.00322468112092577,0.0396425005381484,0,0,0,-0.00530901676509987,0,0,0,0,0,0,0,0,0,0,0,0.0439616899949873,0,-0.000346220993959485,0.00322536282693585,0,0,0,0,0,0
X601088.SH,0.0302229390600074,0,0,0,0,0,0,0.116714960123122,0.00191496962854455,0.250573413302442,0,0,0,0,0,0,0,0.0135128568140852,0,0,0.0165933045203366,0.059017874803741,0,0,0,0,0,0,0.058482516229514,0.0975774873790285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0744094012161756,0,0.0497288178184431,0.0415647184774451,0,0,-0.00351772936915001,-0.00137128300812307,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.00361010527442446,0,0,0,0,0,0,0,0,0,0,0.247202247114764,0,0,0.0240081930651344,0,0,0,0,0.00972534800778278,0,0,0,0,0,0.076578412911726,0,0,-0.0860664548612211,0,0.175600526814879,0,0,0.306426090840491,0,0,0,0.0416408845943945,0,0.021501346955607,0.0327762527009448,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0.121948928983394,0.00331232259773034,0,0,0,0.0172967151804792,0.0448064829960414,0,0,0.0986185232350438,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0.224742608926737,0,0,0,0,0,0,0,0,0,0.196363073035713,0,0,0,0,0,0,0,0,-0.00982290005122844,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0.364755542879121,0,0,0.057961856507725,0,0,0,0,0,0,0.00397682988709715,0,0,0,0,0,0,0.174100390474485,0,0.194176165966378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00132197896184835,0,0,0,0,0,0,0
X600795.SH,0,0,0,0.0584991940951542,0.150662873513937,0,0,0,0.0479491994938904,0,0.047193290442244,0,0.0701565229968418,0,0,0,0.0456918759241173,0,0,0.159056589043629,0,0.0188933766013766,0,0,0,0,0,0,0,0,0,0.0484675837988051,0,0,0,0,0,0,0,0,0,0.270834143675094,0,0,0,0,0,0,0,0,0,-0.000285466644107168,0.0184985652546976,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0.0164662019457083,0,0,0,0,0,0,0.246437427008496,0,0,0,0,0,0.0689454011844201,0,0,0.00417090611840678,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0.0901757983124517,0,0,0,0.136158589350062,0,0,0,0,0,0,0,0.00329147357784598,0,0,0,0,0,0
X601600.SH,0,0,0.243504455902268,0,0,0,0.0378412368173608,0,0,0.131055397676636,0.0842292921404618,0,0,0,0,0,0,0,0,0.0119726512427239,0,0,0,0,0,0,0,0,0,0.0714373746760393,0,0.138669315732577,0,0,0,0,0,0,0,0,0,0,0,0,0,0.172263127474396,-0.188251021693007,0,0,0,0,-0.0230461431983249,0,0,0,0,0,0,0
X601898.SH,0,0,0.0774281320308795,0,0,0.338530917912015,0,0,0.0058900553660305,0,0.0913903993959352,0.041179302151839,0,0,0,0,0,0,0,0,0,0,0,0,0.051786501875279,0.0222035933228654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0300762224987488,0,0,0.00100716460005264,0,0,0,0,0.331456276931519,0,0,0.0256573918688355,0.0409636637832148,0,0,0,0,0,0
