,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600188.SH,X600019.SH,X601898.SH,X600011.SH,X600585.SH,X600547.SH,X600660.SH,X600886.SH,X601600.SH,X002466.SZ,X000792.SZ,X002460.SZ,X600795.SH,X601699.SH,X000708.SZ,X600111.SH,X600010.SH,X600362.SH,X600426.SH,X000301.SZ,X000877.SZ,X000983.SZ,X600027.SH,X600803.SH,X002271.SZ,X600489.SH,X601991.SH,X600160.SH,X600985.SH,X600176.SH,X000807.SZ,X000408.SZ,X000786.SZ,X000630.SZ,X600612.SH,X000932.SZ,X000933.SZ,X300037.SZ,X600219.SH,X002128.SZ,X600995.SH,X600348.SH,X600688.SH,X600157.SH,X000723.SZ,X601168.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.732860128424467,0.162335136965347,0,0,0,0,0,0,0,0,-1.38777878078145e-17,0,-0.214008180873847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.238307353400096,0,0,0,-0.0598494721827983,0,0,0.105321288590189,0,0,0.220393376478665,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0440291006208437,0,0,0,0.0384621993729659,0,0
X600028.SH,0.702394135936265,0,0,0,0,0,0,0,0.0468695557869415,0,0,0.0142675317078573,-0.0396340787117908,0,0,0,0,-0.0784943544931287,0,0,0,0,0,0,0,0,0.11565623038339,0,0.0684258543417618,0.122346778575177,0,0,0,0,0,-0.0225599881783612,0,0,0,0,0,0,0,0,0,-0.0665160581263232,0,0,0,0,0,0,-0.0037451380363985,0.0885488455022126,0,0,0.00885104437256149,0,0
X601088.SH,0.151057322821412,0.00716740569722341,0,0,0.108664920885515,0,0.223476123244938,0,0,0,0,0,0,-0.0122694921803107,0,0,0,0,0,-0.0912759805463703,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0945504217179859,0,0,0,0,0,0,0,-0.178150670713855,0,0,0,0,0,0,0,0,0,0.00488065205371102,0,0,0,0,0,0,0
X600309.SH,0,0.0498423636911486,0,0,0.190093793936755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102639616784263,0,0,0.115383252209284,0,0,0,0.0345077244051729,0.202476361318852,0.0940232322137187,0,0,0,0.119580802559376,0,0,0,0,0,0,0.375545519707914,0,0.286821945675919,0,0,0,0,0,0.405647658312686,0,0,0,-0.0314791896711695,0.0693956327508567,0,-0.0436279724048559,0,0,0,0
X600188.SH,0,0,0,0,0,0,0.206692081208249,0,0,0.112391928325955,0,0,0,0,0,0,0,0.215098327396009,0,0,0,0,0,0,0,0.190914254248841,0,0,0,0,-0.0156054060668175,0,0.113592954197363,0,0,0,0,0,0,0,0.209586755616595,0,0,0,-0.00921947240740457,0.0511727426928355,0,0,0,0,0,-0.0063185223440902,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0.179607956841419,0,0,0,0,0,0,0,0,0,0,0,0.0626694442123612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.624946129659358,0.149898903184366,0,0,0.303911425287542,0.100951022991538,0,0,0,0,0,0,0,0,0.148961486088826,0,0.0123530452434648,0.0039668769263489,0,0,0,0,0,0
X601898.SH,0.0220495507214898,0,0.262152700707585,0,0.144512181543174,0.0764735269776386,0,0,0,0,0,0.018381900764419,0,0,0,0.00409226294660481,0,0.00649570056780177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0862653803609877,0,0,0,0.0262694050567782,0,0,0.216631996825096,0,0,0,0,0,0,0,0,-0.00911036182007419,0,0,0,0.00163241940639431,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0.00064798324396341,0,0.212319435178668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29506981625448,0.0936385248706365,0,0,0,0,-0.0224399548207666,0.0759036742165892,0,0,0,0,-0.0402421572275207,0,-0.130596683022975,0,0,0,0.064626518967326,0,0,0,0,0,0,-0.00479819124388677,-0.00711152471322869,0,0,0,0,0,0
X600585.SH,0,0,0,0.0356189390193907,0,0.0241318791688775,0,0,0,0,-0.120512502642427,0,0,0,0,0,0,0,0,0,0,0,0.0231777730697219,0,0.332968457684073,0.0244205492325964,0,0,0.268627512530283,0,0,0,0,0.0345987947733817,0,0,0.0348157437902067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00424165993305758,0,-0.00951692084663589,0,0,0,0,0
X600547.SH,0,0.117465102330268,0,0,0.0295684201626057,0,0,0,0,0,0,0,0,0,0,-0.0724563157206756,0,0,0,0,0,0,0,0,0,0.0117057728588239,0,0,0.055706300561811,0.47649131680345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0018947609513489,0.000529347162582302,0,0,0,0,0,0
X600660.SH,0,6.93889390390723e-18,0,0,-1.38777878078145e-17,0.157373356470266,0,0,0,0,0,0.0220329731548807,0,0,0,-0.036849553002485,0,0,0,0,0,0,0,0,0,0.156408583624027,0.00653215803545334,0,-0.202744129627475,0,0,0,0,0,-0.0869034338852335,0,0.0723531193776781,0,0,0,0,0.230045759912529,0,0,0,0,0,0,0,0,0,0.00850800540810807,-0.0100687439137454,0,0,0,0,0,0
X600886.SH,6.93889390390723e-18,0.20900242123995,-1.0842021724855e-19,0,0,0,0.0674567633709436,0,-0.156006170083116,0,0.035566854496012,0,0,0,0,0,0.154360447059411,0,0,0,-0.0929688355862107,0,0,0,0,0,0,0.208268197168165,0,0,0.357774395580849,0.0711659540610855,0,0,0,-0.014792884648046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00628209777563923,0.0171553784398101,0.0174150126950096,0,0,0,0,0
X601600.SH,0,0,0,0,0,0.186320654909545,0,0,0,0,0,0,0,0.00443514281653309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0192460117758891,0,0.173465016671067,0,0,0,0.336817497946904,0,0,0.0604096986175746,0,0,0.0670451011993063,0,0.215525619945597,0,0,0,0,0,0,0.213251244082778,0,0,0.00886407682263732,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,0,0,0,0,0.329589453118279,0,0,0,0,0.268886105424448,0.683163986575321,0,0,-0.0218411364810239,0,0,0,0,0.0183043105879352,0,0,0,-0.173805637609993,0.0256324143938877,0.0332251555836668,0,-0.0399149867917116,0,0,0.0564785392297758,0,0,0,0,0,0,0.0738595705665597,0,0,0,0,0,0,0,0,0,0,-0.00421792324672449,0,0,0,-0.00319378868403579,0,0
X000792.SZ,0,0,0,0,0,0.0557675194523816,0,0.136773571304954,0,0,0.114766196969873,0,0,0.307750657283889,0,0,0,0.0122553920640943,0,0.223338219140558,0,0,0,0,0,0.0419472640284792,0,0,0.10433499490809,0,0,0.0332939133233112,0,0,0,0.0511164039903009,0,0,-0.0391863787360424,0,0,0,0,0,0,0,0,0,0,0,-0.0892771370316565,0.02978642777155,-0.0466494471536631,0,0,0,0,0,0
