,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600011.SH,X600309.SH,X600010.SH,X601898.SH,X601991.SH,X600547.SH,X601600.SH,X600660.SH,X600688.SH,X600886.SH,X600795.SH,X600188.SH,X600362.SH,X600027.SH,X000898.SZ,X601992.SH,X600176.SH,X600111.SH,X002466.SZ,X600516.SH,X002460.SZ,X000709.SZ,X600299.SH,X000629.SZ,X600808.SH,X600352.SH,X600219.SH,X600801.SH,X300072.SZ,X000825.SZ,X601158.SH,X600489.SH,X000786.SZ,X000553.SZ,X000883.SZ,X000792.SZ,X600583.SH,X000408.SZ,X601699.SH,X000301.SZ,X600339.SH,X002110.SZ,X000630.SZ,X000027.SZ,X000539.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.199135904484887,0,0,0,0.00431691454940389,-0.0888798118088424,0,0.173876429465907,0,0,0,0,0.0855315862812625,0,0,0,0,0.0714698964767217,0,0,-0.0676445054852768,0.0479076633244677,0,0,-0.0097087567670211,0,0,-0.0477248568633797,0,0,0,0,-0.0420035390448412,0,0,0,0,0,0,0.00651845804859046,0.0237420419020061,0,0,0.294214057542432,0.249533347231745,0,0,0,0,0,-0.00291154704719364,0.0582248199693015,0,0,0,0,0,0
X600028.SH,0.280211819408206,0,0,0.00854663017131085,0.462725306849256,0.0183696113161334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.167950427226482,0.0444679180774656,0,0,0,-0.139842719390694,0,0,0,0.0950530872725883,-0.0896620118324528,0,0,0,0,0,0,0.00373746631588248,0,0,0,0.173451684173806,0,0,0,0,3.46944695195361e-18,0,0.0601647305122369,0,0,0,0,0,0
X601088.SH,0.334546196496999,0,0,0,0,-0.128149427044266,0,0,0,0,0.0258559239292667,0,0,0,0,0,0.0948746394646482,0,0,0,0,0,0,0,0,0,0,-0.0725274590721461,0.0786169447517787,0,0,0,0,0,0,0,0,0,0,0,0,0,0.131759264149854,0,0,0,0.142625263186082,0,0,0,0,0.0117067490319912,-0.0379614100138937,-0.0641203602749126,0,0,0,0,0
X600585.SH,0,0,0,0,1.73472347597681e-18,0,0.146447109995796,0,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0.0227719483445833,0.0534044111726032,0,0,0.496661842256149,0.00331863775355443,0,0,0,0,0,0,0.222332519157369,0,0,0,0,0,0,0,0,0,0,0.0176316746194318,2.16840434497101e-19,0,0,0,0,0,0
X600019.SH,0,0.189084736017808,0.0348099918985249,0.020997448438965,0,0,0.0187274237976243,0,0,0,0,0,0,0,0,0,0.165489192176338,0,0.0420335851202262,0.445564577345879,0,0,0,0,0.0100609244293715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00782330852867873,0,0,0,0,0,0,0,0,0,0.065689907893144,0.0547146467798419,0
X600011.SH,0,0.0340253524377954,0,0.0852094800846265,0,0,0,0,0,0,0,0.0602529186429313,0.0238069810082345,0,0.0765125216475608,0,0,0,0.686804597229265,0,0,0,0,0.0255425215033663,0,0,0,0,-0.0274441862875149,0,0,0,0,0,0,0,-0.248605307176461,0,0,0,0.00454321442598949,0,0,0,0,0,0,0,0,0,0,-0.00665554822891614,0.0505017480173978,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0935431007070682,0,0,0,0,0,0,0,0,0,0,0,0,-0.0792429423374199,0,0,0,0.00534591480811567,0.0778329955389125,0,-0.344300888010963,0.194944138071452,0,0,0,0,0.275500697521278,0,0,0,0,0,0,0,-0.493218686352589,-0.0600535278057641,0.142071742332202,0,0.320702870132651,0,-0.0424999825497141,-0.305555898722092,0
X600010.SH,0.143350770813484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0484612139542629,0,0.0611037640037728,0,0.278727740765817,0.00678483869205149,0,0,0,0,0.0417834969567311,0,0,0,0,0,0.041631878125613,0,0,0,0,0,0.0425551752840437,0,0,0,-1.0842021724855e-19,0,0,0,0,0,0,-0.00511851850743704,-0.0233357049256626,0,0,0,0,0,0
X601898.SH,0.0857954832366442,0,0,0,0,0,0,0,0,0.191997447174558,0.0367752972202543,0,0,0,0,0,0,0,0,0,0,0,-0.0603036534060995,0.0761303573014412,0,0,0,-0.00726197679967546,0,0,0,0,0,0,0,0,0.233205730161465,0,0,0,0,0,0,0.177147700695388,0.0925359780595793,0.079294225049954,0.108729078745978,0,0.106302748338389,0,0,-0.0176473939847694,0,0,0,0,0,0,0
X601991.SH,0,0,0,0,0,0,0,0,0.0426761656928579,0,0,0,0.090908781228062,0,0,0,0,0,0,0,0,0,0,0,0,0,0.099874417628404,0.0848144110047921,0,0,0,0,0,0,0,0,0,0,0,0,0.0944756588096852,0,0,0,0.104745379006382,0,0,0,0.122387724964264,0,0,-0.0296575193845592,0,0,0,0,0,0,0
