,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X601898.SH,X600660.SH,X600019.SH,X600188.SH,X600585.SH,X601600.SH,X600886.SH,X600547.SH,X600011.SH,X000792.SZ,X600010.SH,X600795.SH,X600111.SH,X600362.SH,X002460.SZ,X600160.SH,X600803.SH,X600489.SH,X000708.SZ,X000301.SZ,X600027.SH,X000786.SZ,X002466.SZ,X000807.SZ,X601991.SH,X600219.SH,X000983.SZ,X600426.SH,X002128.SZ,X600176.SH,X000408.SZ,X601699.SH,X000630.SZ,X600096.SH,X000933.SZ,X601168.SH,X000877.SZ,X002353.SZ,X600985.SH,X600157.SH,X600378.SH,X600352.SH,X600995.SH,X000883.SZ,X600688.SH,X600299.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0.103354005285125,0,0,0,0,0,0,0,0.0764834172632864,0,0,0,0,0,0.191104888195864,0.166673289808814,0,0,0,0,0,0,0,0,0.0916086624033248,0,0,0,0.091701128167424,0.0673891435894236,0,0,0,0,0.0352885963573987,0,0,0,0,0,0,0,0,0,0,-0.0247329304126006,0.0247535478015903,0,0,0,-0.0150766710997493,0,0
X601088.SH,0,0,0,0,0.334745331150388,0,0,0,0,0,0.0465145375232473,0,0,0,0,0,0,0,0,0.0490349063935416,0,0,0,0,0,0,0,0,0.0661598309917404,0,0,0,0,0,0,0,0,0,0.0605832123859373,0,0,0.0174954062848781,0,0,0,0,0,0,0,0.0331159944017918,0,0.00531850447797603,-0.000951272740976864,0,0,0,0.00521220561187165,0,0
X600028.SH,0,0,0,0,0.140929774447142,0,0,0,0,0.028131396817953,0,0,0,0,0,0,0,0,0,0,0,0,0.126409567043535,0,0.0529533379607943,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0842021724855e-19,0,0,0,0.225875705224569,0,0,0,0,0,0,0,0,-0.0247853812562749,0.0286044622020822,0,0,0,-0.0100477658142277,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0488469659307351,0,0.0882498786923667,0.017798382382359,0,0.112014528010859,0,0.0841730872068217,0,0,0.0107554286085145,0,0,0,0,0,0,0,0,0,0.182216547353602,0,0,0,0.119545403426005,0,0,0.0321299559042204,0,0,0.119281673462365,0,0,0,0,-0.0449119172192698,0.0315217676760478,0,0,0,0,0,0
X601898.SH,0,0.626980916996335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.046660858577564,0,-0.0221324794036601,0.220637225066059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143281185689461,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0.0493948006347677,-0.0193312954812177,-0.0268297101850853,0,0,-0.0224755427065375,0,0
X600660.SH,0,0,0,0,0,0,0,0.0103185098559037,0,0,0,0,0,0,-0.00257293163435321,0.279294358384264,0,0,0,0.200563006741815,0,0,0,0.0337704859521776,0,-0.0919930342630413,0,0,0,0,0,0,0,0,0,0.0751004057018262,0,0,0,0,0,0.0108666961994977,0,-0.164050461960239,0,0,0,0,0,0,0,0,0,0,0.105896767781049,0,-0.0331603928310611,0,0
X600019.SH,0.17078519766132,0,0,0,0,0,0,0,0,0.202898806580546,0,0,0,0,0,0,0,0,0,0,0.00421781734484563,0,0.0851612447199483,0,0,0,0,0,0,0,0.0578576514878497,0,0,0,0,0.165351224092624,0,0,4.33680868994202e-19,0,0.098983503456355,0,0,0.0523484771995123,0,0,0,0,0,0,0,0.00623373809685454,0,0,0,0,-0.017817056991841,0,0
X600188.SH,0,0,0,0.0974680694007801,0.234646646484814,0.0288528834113016,0,0,0,0,0,0,0,0,0,0,0.090237275236855,0,0,0,0,0,0,0,0.127853512594687,0,0,0,0,0,0,0.11133502473736,0,0,0,0,0,0,0,0,-2.16840434497101e-19,0,0,0.0459834834093189,0,0,0,0,0,0,0,0,0.000158427494301943,0,0,0,-0.108640848343317,0,0
X600585.SH,0,0,0,0,0.108384590431106,0,0,0,0,0,0,0.114065191364984,0,0,0.00530373541436459,0,0,0,0,0.0802370707105836,0,0,0,0,0,0.122305791615953,0,0,0,0,0,0,0,0,0.0848089307788666,0,0,0,-0.0984706586467737,0,0.429166241370435,0,0.0625990426200533,0,0,0,0,0,0,0,0.0151984912874601,0.0660366430699992,0,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0.17950553852874,0,0,0,0,0,0,0,0,0,0,0.943565245064525,0,-0.159608858513661,0,0,0,0,0,0.0682580996085852,0,0.105679175704971,0,0.0995422261524347,0,0,0,-0.0486335195844372,0,0,0,0,0,0,-0.291918751001194,0.214585482288994,0,0,0,0,0,0,0,0,0,-0.0106862286331534,0,0,0,0,-0.0780994141463684,0,0
