,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600188.SH,X600011.SH,X601898.SH,X600019.SH,X600547.SH,X601600.SH,X600585.SH,X600660.SH,X600886.SH,X600795.SH,X600362.SH,X000792.SZ,X002466.SZ,X002460.SZ,X600027.SH,X000708.SZ,X600010.SH,X600111.SH,X000301.SZ,X600489.SH,X601699.SH,X000983.SZ,X600160.SH,X600803.SH,X601991.SH,X000877.SZ,X600426.SH,X000933.SZ,X000630.SZ,X000807.SZ,X000408.SZ,X600985.SH,X000786.SZ,X601168.SH,X600612.SH,X600219.SH,X600176.SH,X002128.SZ,X000932.SZ,X000883.SZ,X002271.SZ,X600096.SH,X600348.SH,X000027.SZ,X601666.SH,X002353.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.126640903607791,0,0,0,0.0040553895842596,0,0,0.027588402718591,0.155654542389558,0,0,0,0,0,0,-0.0002956626521425,0,0,0,0,0,0,0,0.112294829985478,0,0,0,0,0,0,0,0,0,0,0.0125354539433243,0,0,0,0,0,0,0,0,-0.0606366746313181,0,0,0,0,0,0,0.0498783307384235,-0.0831796196749519,0,0,0,0,0,0
X601088.SH,0.0253331486723553,0,0,0,0.215340922346705,0.183023422299918,0,0,0,0,0,0,0,0,0,0,0,-0.011485128161529,0,0,0,0,0,0,0,0.0737589399383963,0,0,0,0,-0.0410769021336083,0,0,0,0,0.0975383329968023,0,0,0,0,0,0,0,0,0,0,0,0,0.080206033180436,0,0,0.0031799724024776,-0.0342767893869045,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0.0624534041685032,0,0.0390058136400484,0,0,0,0,0.00143545917486534,0,0,-0.0611816266882207,-0.0940929635966057,0,0,0,0,0,0.0787680445702167,0,0,0.0385596125416413,0.0494046216208106,0.0483042805793151,0,0,0,0,0,0,0,0,0.123291918270707,0,0,0,0,0,0,-0.105801541597905,0,0,0,0.076338059318176,0.0292024399056068,0,0.017309690143305,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.107912945561807,0,-0.0492564503123006,0,0,0,0.0766089560720149,0,0.132804165037319,0,-0.0552623516196996,0,0.136958272401481,0,0,0,0.330505950809541,0,0,0.043275019709105,0,0,0,0,-0.166038508517135,0,0.0998469929850289,0,0,0,0.0402227094062092,0,0,0,0,0.0719278899968058,0,0,-0.0552033629080033,0,0,0,0,0,0
X600188.SH,0,0,0,0,0,0,0.125735100537435,0,0,0,0,0,0,0.0326032372863966,0,0,0,0,0,0,0,0,0,0.123389073994819,0.392245022948939,0.113508737742562,0,0,0,0,0,0,0.00810600184400868,0,0,0,-2.77555756156289e-17,0,0,0,0,0.113349756960525,0,0,0,0,0.0296414355095569,0,0,0.016994892510071,0,0,0,0,0,0,0,0,0
X600011.SH,0.0114589990040187,0,0,0,0,0,0.161687016199263,0,0,0,0,0,0,0.142255822801292,0,0,0,0,0.287592307630925,0,0,0,0,0,6.93889390390723e-18,0,0.00785210873225286,0,0.10323235422493,-0.0607407262461629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0631137981669384,-0.0903903944592584,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0.560117844970342,0,0,-0.139169133806606,0,0.217378756050673,0,0,0,0,0,0,-0.229032767474905,0,0,0.26296636977094,0,0,0,0.312195615408438,0,0,0,-0.0311937261233483,0,0,0,3.46944695195361e-18,0,0,0.0372707592800014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.284197835021126,0,0,0.0397419678052711,0,0,0,0,0
X600019.SH,0,0,0,0,0.102207378383838,0,0,0,0,0,0,0,0,0.0392265926653647,0,0,0,0,0,0,-0.0120266058099225,0,0,0.0550003766041213,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0900914099920744,-0.0162310716554888,0,0,0,0.1276068874054,0,0,0,0,0,0,-0.0590659526218412,0,-0.00924722169378356,0,-0.00182937420704581,0,0,0,0,0
X600547.SH,0,0,0,0,-0.249335346837867,0,-0.135171897964316,0,0,0,0,0,0,0,0,0,0,-0.0390351245944037,0,0.0716202458603963,0,0,0,0.906672130071897,0,0,-0.0336306315568159,0,0,0,0,0.149939939183485,0,0,0,0,0,0,0,0,0,0,0,0,-0.0788264937066631,0,0,0.00899974746641045,0,0,-0.0204176132245113,0.0471111499318795,-0.0570318641763304,-0.0414334729321641,0,0,0,0,0
X601600.SH,0.257376177838133,0,0,0,0,0,0,0,-0.0673406215399161,0,0,0,0,0,0,0,0,0,0.167980896905036,0,0,0,0,0,0,0,0.124294812564869,0,0,0,0.0409214312478031,0,0,0.210304546564548,0,0,0,0.149342883970117,0.0892090316512808,0,4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0.00420423296486459,0.16562683129751,0,0,0,0,0
X600585.SH,0,0,0,0.107809397237112,0,0,0.157080896999788,0,0.0368014116291117,0,0,0,0,0,0,0,0,0,0,0,0.0237845902913628,0,0.0366854087081907,0,0,-0.0334564979797115,0,0,-0.066614951350072,0,0,0,0,0,0,0,0.133627440604754,-0.0456125833089643,0.0186634995399917,0,0.193783588301012,0,0.0694790549125597,0,0,0,0,0,0,0,0.127265327177253,-0.00760742185248807,0.0454127942958064,-0.116452397799459,0,0,0,0,0
X600660.SH,0.066022362819976,0,0,0,0,0,0,0,0.046771939161582,0,0,0,0,0,0,0,0,0,0,0,-0.0313223809829081,-0.0324231117270618,0,0,0,0,0,0,0,0,0.165327379563228,0.0051476313474249,0,0,0.0125321661876788,0,0,-0.11291342690343,-0.0642832635302669,0,0,0.133771779124135,0,0,-0.0875935553757453,0,-0.0164073399838795,0,0,0,0,0,0.0651711564478019,0,0,0,0,0,0
X600886.SH,0,0.0533409100562009,0,0,0.0526703023970406,0,0,0,0,0,0,0,0,0.368359949309727,0,0,-0.00463105615018522,0,0,0.00506598584360255,0,0,0,0,0,0,0.0266007502076489,0,0,0,0,0,0,0,0,0,0,0.0682291441980474,0,0,0,0,0,0,0,0,0.0636083013225854,0,0.00921869285714261,-0.0440268659996691,0,-0.0141156661801595,0,0,0,0,0,0,0
