,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600585.SH,X600011.SH,X600010.SH,X601898.SH,X600309.SH,X601600.SH,X600688.SH,X600795.SH,X600188.SH,X002466.SZ,X601992.SH,X600660.SH,X600362.SH,X600547.SH,X601991.SH,X300072.SZ,X600886.SH,X600111.SH,X600027.SH,X000709.SZ,X600157.SH,X000898.SZ,X000959.SZ,X600339.SH,X002460.SZ,X600489.SH,X600516.SH,X601158.SH,X002271.SZ,X600219.SH,X000723.SZ,X600352.SH,X000883.SZ,X600808.SH,X000630.SZ,X600176.SH,X600299.SH,X000983.SZ,X600578.SH,X600549.SH,X000539.SZ,X002092.SZ,X000408.SZ,X600008.SH,X000792.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.0879484761985895,0,0,0,0,0,0,-0.0061719232481085,0.15605141290805,0,0,0,0,0,0,0,-0.0454561689432007,0,0,0,0,0,0,0,0.000510220145949855,0,-0.0209980388870506,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0349355829498885,0,4.33680868994202e-19,0,-0.0316786944613102,0.00723719636287655,0,0,0,-0.0130139038684327,-0.00482588492289609,0,0,0,0,0,0
X600028.SH,0,0,0,0,0.12281029074519,0,0,0,0.00546417927168788,0,0,0,0.0343342758033328,0,0,0,0,-0.120326458216626,0,-0.0799803887870742,0,0,-0.00850402309033167,0,0,0.0349206900979695,0,-0.0311171959705547,-0.0162569694583077,-0.119969825775556,0,0,0.0371642455576213,0,-0.0292184703067778,0,0,0,0,0.0272316386734347,0,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,-0.00254675534457556,-0.131229083723013,0,0,0,0,0
X601088.SH,0,0,0,0.00997409821543391,0,0,0,0,0,0.00297242334143421,0,0,0,0,0,0,0.00472991272812996,0.0331028369669712,-0.00455039402532078,0,0,0,0,-0.029971496485017,0,0.0440735692137949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0346745031062801,0,0,0,0,0,0,-0.0108069346603196,-0.00447508520785496,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0136520449160264,-0.0179998605174649,0.0347147935821105,0.0652553073074697,0.110143325921697,0,0,0,0,0,0,0,0,0.285633706724387,0,0.0193802515574679,0,0,-0.0820207727307692,0,0,0,0,0,-0.0643620722587941,0.388636193568334,0,0,0,0,0,0.0378410368768517,0,0,0,0,0,0,-0.0083231487775343,0.0112532626055751,0,0,0,0,0,0
X600585.SH,0,0,0,0.196817365385877,0,0,0,0,0.073211804279772,0,0,0,-0.0781183540546744,0,0,0.1705084794451,0,-0.0719518680334508,-0.103338686495439,0,0.729148535509817,0,0,0,0,0,0,0,0,0,0,0,0.0228639220644432,0,0,0,0,0,0,0.0492517982955394,0,0.115786101180907,0,-0.0501470612524895,0,0,0.166544994215577,-0.0319388045921826,0,0,0.00613170212036035,-0.00525137510355214,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0431681430543851,0,0,0.0042612749206697,0.308798639041805,-0.0174330176555971,0,0,0.299656485771005,0,0,0,0,0.114750720474301,0.045719181946756,0,-3.46944695195361e-18,0,0,0,0,0,0,-0.159948996568969,0,0.0489792758305179,0,0,0,0,0,0,-0.0590844644105223,0,0,0,0.0205040730449556,0.00835340518192219,0,0,0,0.0710943648686325,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0.0714895175381286,0,0,0,-0.0213434690487357,0,-0.0844117747857057,0,0,0.0232793741997766,0.0327135576866065,0,0.0897734456144222,0.00963514875673887,0,0,0.164056038952037,0,0,0,0,0,0,0,0,0,0,0,0,0.0264356821886451,0,0,-1.73472347597681e-18,0,-3.46944695195361e-18,0,0,0,0.114249311859477,0,0,-0.00976319628850003,-0.00888723047878466,0,0,0,0,0,0
X601898.SH,0,0,0,0.124625800305152,0,0,0,0,0,0.125135425652344,0,0,0.118182040321488,0,0,0,0,0,-0.0249548572121138,0,0,0,0,0,0,0.31284650435221,0,0,0,0,0,0,0,0,0,0,0,0.0184679139370884,0,0.0322091102109187,0,0.113846849481079,0.163906964244852,0,0,0,0,0,-0.0533448179172957,0,0,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,-0.173379960873977,0,0,0.449243332536541,0,-0.0497669266473715,0.283287886510824,0,0,0,0.152983865667283,0,0,0,0.0679849454759871,0,0,0,0,0,0,0.0254882609982288,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0423018467228733,0,0,0,0,0,-0.00844776159035529,-0.058680648786381,0,0,0,0,0,0
X601600.SH,0.118911943831815,0,0,0.15614802830482,0,0,0.00984784923899734,0,0,0,0,0,0,0,0,0.00394299767155351,0,0,0,0,0,0,0.300017912803341,0,0,0,0.169893929377941,0.0962843379154818,0,0,0,0,0,0,0,0,0,0,0,0,0,0.154755837260752,0,0.120150968945498,0,0,0,0,0,0,-0.011008571711032,-0.0217405417393093,0,0,0,0,0,0
X600688.SH,0,0,0,0,0.236542752687876,0,0,0,0,0,0,-0.00139481762987126,-0.0292641617126826,0,-0.0151420765456666,0,0,-0.0658999622185785,0,-0.0473613120835496,0,0.0562156969195819,0,0,0,0,0,-0.027258269043978,0,0,-0.0438563127350515,0,0.039689037402112,0,0,0,0,0,0,0,0,0,0,0.0434292105895749,0,0,0,0,0,0,-0.0104142068182787,-0.020032200521386,0,0,0,0,0,0
X600795.SH,0,0,0,0,0,0,0,0,0.0268864328514374,0,0,0,0,0,-0.0277162148400728,0,0,0.0733850087082763,0,0,0,0,0.0395249885475793,0.0350026320277527,0,0,0.0946329733567632,-0.0175762944089832,-0.0161853274692061,0,0,0,0,0,0,0,0,0,0,-0.0144479222710945,0,0.0275718566760172,0,0,0.14863091316983,0,-0.0274764510273735,0,0,0,-0.00850126936768635,-5.42101086242752e-20,0,0,0,0,0,0
X600188.SH,0,0,0,0,0,0,0,0,0.00597493276066637,0,0,0,0,0,0.0768983747281686,0,0,0,0,0.0188839356670209,0,0,0,0.231809657509466,0,0,0,-0.222821997667643,0,0,0,0,0,0,0,0,0,0,0,0,0,0.510705585462596,0,0,0,0,0,0.0371012954491761,0,0,-0.0109372366309625,-0.0387286824382089,0,0,0,0.232587061309304,0,0
X002466.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0467103337792017,0,0,0,0.118909742911921,0,0,0,0,0,0,0,0,-0.070096678487075,0.582217848803546,0,0,0,-0.100990776295748,0,0,0,0,0,0,0,0,0.22170732118352,0,0,0,0,-0.202773807693265,0,0.0896470379102436,0.0201815424973014,-0.0117501659301247,0,-0.065446836525914,0,0,0,0,0
