,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600309.SH,X600547.SH,X600019.SH,X000708.SZ,X002460.SZ,X600011.SH,X002271.SZ,X600886.SH,X600660.SH,X601898.SH,X601600.SH,X600801.SH,X600010.SH,X600362.SH,X600188.SH,X600489.SH,X600352.SH,X601991.SH,X000786.SZ,X600688.SH,X600795.SH,X002466.SZ,X600111.SH,X600027.SH,X601992.SH,X600176.SH,X600299.SH,X600529.SH,X600426.SH,X002353.SZ,X600315.SH,X600126.SH,X600612.SH,X002080.SZ,X000723.SZ,X002075.SZ,X600219.SH,X600516.SH,X002409.SZ,X000959.SZ,X000898.SZ,X600486.SH,X000932.SZ,X601158.SH,X000027.SZ,X000883.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.139726060555598,0,0,0,0,0,0,0,0.0810305384833483,0.0367908173785715,0,0,0,0,0,0,0,0,0.0423812568038659,0,0,0,0.060885911880126,0,0,0,0,0,0,0,0,0,0.0148487763494898,0,0,0,0,0.0502641569347009,0,0,0.0084639738625602,0,0,0,0,0,0,0,0,0.0205658726998476,-0.0031474091985704,-0.00378614046488262,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0,0.00103257091362515,0.161305113597494,0,0,0,0,0,0.090260575251173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0269257536955505,0,0.014323314073362,0,0,0.0725195113013902,0,0,0.0788304899829874,0.0223336145214756,0,0,0,0,0,0,0,0,0.00425277182541338,-0.00638217706605545,0,0,0,0,0,0
X601088.SH,0,0,0,0,0.0505542787291797,0,0,0,0,0,-0.0130632267704533,0,0.0708693660142612,0,0,0,0,0,0.391596516640305,0,0,0,0,0,0,-0.0261771976650635,0,0,0,0.1718997041435,0,0,0.137598851446736,0.00211604967953422,0.0205662075283981,0.0263754247502032,0,0,0,-0.0418934574531573,0,0,1.73472347597681e-18,0,0,0,0,0,0,0.0757227695013893,-0.03636534735702,0,-0.00155725544052819,0,0,0,0,0,0
X600585.SH,0,0,0,0,0.0438735186916203,0,0,0.00244958501378154,0.0438626131045735,0,0.113416576437073,0,0,0,0,0.558811366382328,0,0,0,0,0.027257454685392,0,0,0,0,0.000440867616426748,0,0,0,0,0,0,0.0513389185231176,0.0146152738276786,0,0.00966479844256068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0100662208995975,-0.00889541482699642,0.00758117133884565,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0.0156203342734634,0,0.0221299157691571,0,0.181865364764946,0,0,0,0,0,0,0,0,-0.0413933420752171,0.0594950085536081,0,0,0.00555253294708043,0,0,0,0.069270943473026,0,0,0.305246751674903,0,0,-0.0201335971085565,0,0,0,0,0,-0.006725316440774,0.106786016416727,0,0,0,0,0,0,0,0,-0.0135147076712519,0.00589069498028759,0,0,0,0,0,0
X600547.SH,0,0,0,0.0315412695678709,0,0,0,0.13134145348017,0,0,0.0912167398316828,0,0,0,0,0,0,0,0,0.597035764065629,0,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0.258395136298844,0,0,0,0,0,-9.415139506216e-05,0,0,0,0,0,0,0,-0.032943851543914,-0.0156746723035941,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0.131266971780898,0,0,0,0,0,0,0,0,0,0.292986453655407,0,0,0,0,0,0,0,0,0,0,-0.0181693887749432,0,0.0194280563903067,0,0.0575200207585316,0,0,0.0105290422002227,0,0,-0.0317604624995678,0,0,0.122828489135879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000708.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.203691438745029,0.0905828414732827,0,0,0,0,0,0,0.0886748107620729,-0.0921860119462235,-0.0928300563195503,0,0,0.0513490997086894,0,0,0,0.0116473174325541,0,0.149120732114675,-0.0800166244813586,-1.73472347597681e-18,0,0,0,0,0,0,-0.0315440841468566,-0.0109906440753725,0,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0,0.0570954458027607,0,0,0,0,0,0,0,0.0308362041448267,0,0,0,0,0,0,0,0.135511075878067,0,0.087781150420353,0,0,0,0,0,0,0.0639909635617838,-0.00991757067834155,0,0.122020839524226,0,0,0,0,0.176786437948658,0,0,0,0,0,0.327936872722604,0,0,-0.0158934458122346,0.00811233582962286,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0.00896851420850268,0,0,0,0,0.0294254723882094,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0.00961334295632931,0,0.117901939968623,0,0,0.14223313811614,0.0361096458303359,0,0.00730835231691297,0.100793437678768,0,0,0,0,0,0,0,0.0420689503617281,0,0,0,0,0,0,0,0,0,0.00310033784027543,0,0,0,0,0,0
