,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600309.SH,X600547.SH,X600019.SH,X600011.SH,X000708.SZ,X002271.SZ,X600660.SH,X002460.SZ,X600886.SH,X000786.SZ,X600801.SH,X600489.SH,X600010.SH,X601898.SH,X600362.SH,X600176.SH,X601600.SH,X600352.SH,X600188.SH,X601991.SH,X600795.SH,X600111.SH,X600426.SH,X600027.SH,X600299.SH,X600688.SH,X601992.SH,X002080.SZ,X000932.SZ,X000301.SZ,X002466.SZ,X002353.SZ,X600219.SH,X002075.SZ,X600486.SH,X600529.SH,X000723.SZ,X600612.SH,X000027.SZ,X002250.SZ,X601158.SH,X600315.SH,X000898.SZ,X000883.SZ,X000878.SZ,X002409.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0,0,0.0349010077041403,0.032767059911295,0,0,0,0,0,0,0.030883630397118,0.0791848914660417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0473919720138703,0.109663268528007,0,0,-0.042469860906001,0.0391289287629785,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,-0.00720310095141972,0.00629974871585841,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0.0334124518755343,0,0,0,0.0250695553761883,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.016166962802608,0,0,-0.0329100988711448,0,0,0,0,0,0,0.0947586505318062,0.0799505077835865,0,0,-0.0152516703189074,0,0,0.0318365607623887,0,0,0,0.0392977906494705,0,0.054433030709383,0,0,-0.00224596035518422,0.0145899449009404,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0,0.0934083511149502,0,0,0,0,0,0,0,0,0,0,0,0.0299398721332303,0.0399285292501916,0.257885766129364,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0258417726941541,0,0,-9.64485914373723e-05,0,0,0,0,0,0,0,0,0,0,0,-0.000445176387154866,0.0083142156020677,0,0,0,0,0,0
X600585.SH,0,0,0,0,0.0663476445485625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111603089768401,0,0,0,0,0,0,0,0,0,0,0.0217243546744152,0,0,0.0295047231087454,0,0.0185357708836148,0,0,-0.033472839619316,0,0,0,0,0,0,0,0,0.10779548524284,0,0,0,0.00249284231453718,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0.252746708634094,0,0,0,0.0421650387932023,0,0,-0.0193830440868683,0,0,-0.0696089754593735,0,0,0,0,0,0,0.0893639466988495,0,0,0,0,0,0,0,0.0284209229900225,0.141983722798657,0,-0.0842805133885594,0,0,0,0,0,0.0696526543119419,0,0.122661671745194,0,0,0,0,0,0.0170299293280304,0,0,0,0,0,0,0
X600547.SH,0,0,0,0,0.0340365636634943,0,0,0,0,0,0,0,0,0.0130212695751226,0,0.487360717531112,0,0,0,0,0,0,0,0,0,0.0859181931159354,0,0,0.0972262852634684,0,0,0.0197794145625344,0,0,0,0,0.0227472723019212,0,0,0,0,0.15303321174472,0,0,0,0,0,0,0,0,0,0,-0.00654317391183602,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0.0944426052793938,0,0,0,0,0,0,0,0,0,0,0,0.0319523130202225,0.0750767133039905,0,0,0,-1.73472347597681e-18,0,0,0.080546034244137,0,0,0,0,0.0645836680642518,0.0241897303837843,-0.0492569072775779,0,0,0,0,-0.00883559523165703,0.103529594074101,0,0,0,0,0,0.071748551653435,0,0,0.0985929058830192,0,-0.0228735647373215,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.135202460021998,0,0,0,0,0,0,0,0,0,0,0,0,-0.112799441942922,0.753188871407058,0,0,0,0,0,-0.177068449338692,0,-0.0290889042996882,0,0.147210743350436,0,-0.0289657785429642,0,0,0,0,0,0,0,0,0,0,0,0.0643643604485777,-0.00190487402508727,0,0,0,0,0,0
X000708.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0618245461103376,0,0,0,-0.00383910358892592,0,0,0.217027950952276,0,0,0.106105089651181,-0.0981339212722382,0,0.118653045393399,0,0,0,0,0,0,0.102710770059103,0,0,0,0,0.237847068146236,0,0,8.67361737988404e-19,0,0.00964891140517025,0,0,0,0,0,0.0242886361496684,0.0194160481381154,0,0.0137865629537169,0,0,0,0
X002271.SZ,0,0,0,0,0,0,0,0,0,0,0.166648877798405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.240525878696548,0,0.189358611367343,0,0,0.041937089274972,0.188310019002531,0,0.0236892972554869,0.00371819097628598,0,0,0,0,0,0
