,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600585.SH,X002460.SZ,X600019.SH,X600660.SH,X000708.SZ,X002271.SZ,X600547.SH,X002466.SZ,X000786.SZ,X600176.SH,X600362.SH,X000301.SZ,X600011.SH,X600426.SH,X600111.SH,X601600.SH,X600886.SH,X601898.SH,X600010.SH,X600188.SH,X600352.SH,X600486.SH,X002080.SZ,X601991.SH,X002353.SZ,X600219.SH,X600801.SH,X600489.SH,X600795.SH,X600803.SH,X600688.SH,X300037.SZ,X600299.SH,X601168.SH,X002409.SZ,X600157.SH,X600027.SH,X601992.SH,X600399.SH,X600516.SH,X000932.SZ,X002497.SZ,X300073.SZ,X000898.SZ,X000027.SZ,X000830.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0.022683158178066,0,0.000378407717455759,0,0,0,0,0,0.0579623717564621,0.0166232544742214,0.0704222402059302,0,0,0,0,0,0,0.0514766339140444,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0452991771870698,0.0125241673652286,0,0,0,0,0,0,0,0,0,0,0,0,-0.00115207947161474,0,0,0,0,0.000890416710451677,0,0
X600028.SH,0,0,0,0,0,-0.0767489542276766,0,-0.00386101087070242,0.0259732731110733,0,0,0,0,0,0,0,0,0.0542153608309269,0,0,0.130241085722816,0.0216125091853878,0,0,0,0,0.0374764716913236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0272369783933337,0,0,0,0,0.151727103677286,0,-0.0214366883590553,0,-0.00635168701120847,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0.0209030018109465,0.0589411815577311,0,0,0,0,0,-0.0147691202774605,0,0,0,0,0,0,0,0.205901719459483,0,0.443226849945322,0,0,-0.0296100491500254,0,0,0,0,0,0,0,0,-0.0254955571466749,0,0.0849598665377878,0,0,0,0,-0.110622953234111,0,0,-0.0130478163081789,-0.0692155761429612,0,0,0,0,0.0164465779653138,0,0,0,0,-0.013519197083302,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0718471379927933,0.0817977888335421,0,0,0,0,0,0,0,0,0,0.098029384628698,0.137758623031729,-0.322152597021733,0,0,0,0,0,0,0,0,0,0,0.00613116441612341,0,0,0,0.0138330135143586,0,0,0,0,0.211445860914543,0,0.224616596256981,0,-0.0158551839706814,0.0392713705877382,0,0,0,0.0275868512745017,0,0
X600585.SH,0,0,0,0,0,0.0437231416137924,0,0.00181347068788237,0,0,0,0,-0.0413475101861614,0,0.0567313419259802,0,0,0,0,0,0,0.0281654656826276,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0815502862271002,0,0.115596070466466,0,0,0,0,0,0,0,0,-0.0466811676984819,0.00679217761471736,0,-0.0562438803533165,0,0.00431588959570848,0,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0.316804699470794,0,0.140795110315443,0,0.352100845989676,0.0754126560330135,0,0,0,0,0,0,0,0,-0.188187975081722,0,0,0,0,0,0,0,0,0,0,0,0,0,0.212789453633625,0,0.116580480292485,-0.083630447250293,-0.120538977250311,0,0,0.0480903054579857,0,0,0.328532738643947,0.115706071358622,0,0.00296772708009161,0,0,0,-0.062080140713155,0,0,0,0.00313008175496704,0,0
X600019.SH,0,0,0,0,0,0,0,0.00368345682331242,0.247161082361787,0,0,-0.0602674536484473,0,0,0,0,0,0,0.265059093679757,0,0,0,0,0,-0.0155227129786491,0,0,0,0,0.162755178302014,0,0,0,0,0,0,0,0,0,-0.0341416469945495,0,0,0,0,0.292909919438288,0,0,0,0,-0.0759156442248703,0,0,-0.0315938269619486,0,0,0,0.00825607750174415,0,0
X600660.SH,0,0,0,0,0,0.0278303687770327,6.93889390390723e-18,0,-0.0642693144456508,0.0102085793467548,0,-0.0271100396996466,0.106998666396407,0,0,0.0725796098748858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0584953607779694,0,0,0,0,0,0,0.0735511658649318,0,0,0,0,0,0,0.109408156736243,0,0.00763148308562719,-0.0307570791232029,0,0,0,0.0193188161632067,0,0
X000708.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00769049730122434,0.115896946419015,0,0.0688279482247832,0,0,0,0,0,0,0,0,0,-0.103741116465373,0,0,0.165824985059954,0.0268901082710042,0,0,0,0,0,0,0.0394480509793636,0,0,0,0,0.0553857482712119,0,0,0,0,0.22600586134939,0,0,0,-0.0493658526827621,0.0746466195564169,0,0,0,0.00700802582077819,0,0
X002271.SZ,0,0,0,0.0260305901660512,0,0,0,0.210210901831179,-0.0222361924945969,0,0,0.0970378999610315,0,0.212404207917247,-0.0154440541934783,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0797269375454748,0,0,0,0.185110891183465,0,0,0,0,0,0,0,0,-0.0157235701447467,0,0,0,0,0.0127340429687925,0,0
