VARIABLES,(1),(4),(5),(8),(9),(12)
,future_pure_LC_premium,future_pure_LC_premium,future_pure_LC_premium,future_pure_LC_premium,future_pure_LC_premium,future_pure_LC_premium
CARDI_5P_M,0.029***,0.022**,,,,
,	(0.010),	(0.011),,,,
CarbonVol_M_Shenzhen,,-0.014,,-0.014,,-0.015
,,	(0.009),,	(0.010),,	(0.009)
CarbonVol_M_Guangdong,,0.055,,0.055,,0.051
,,	(0.078),,	(0.077),,	(0.079)
CarbonVol_M_Hubei,,-0.128,,-0.129,,-0.120
,,	(0.121),,	(0.120),,	(0.118)
RealEstate_Premium_M,,0.048*,,0.048**,,0.046*
,,	(0.024),,	(0.023),,	(0.024)
Slope_M,,-0.001,,0.000,,-0.000
,,	(0.009),,	(0.010),,	(0.010)
TED_M,,0.001,,0.002,,0.001
,,	(0.007),,	(0.006),,	(0.007)
TY3M_Change_M,,0.005,,0.006,,0.005
,,	(0.009),,	(0.009),,	(0.009)
MarketVol_M,,-0.220,,-0.227,,-0.187
,,	(0.309),,	(0.314),,	(0.313)
Event_dummy_M,,,,,,
,,,,,,
Event_Covid_M,,0.023**,,0.021**,,0.021**
,,	(0.011),,	(0.010),,	(0.009)
Event_China_M,,-0.005,,-0.004,,-0.004
,,	(0.005),,	(0.005),,	(0.005)
Event_International_M,,-0.013,,-0.012,,-0.013*
,,	(0.008),,	(0.007),,	(0.008)
CARDI_1P_M,,,0.026***,0.018**,,
,,,	(0.009),	(0.009),,
CARDI_10P_M,,,,,0.025***,0.015*
,,,,,	(0.008),	(0.009)
CARDI_5P_LogDiff_M,,,,,,
,,,,,,
CARDI_1P_LogDiff_M,,,,,,
,,,,,,
CARDI_10P_LogDiff_M,,,,,,
,,,,,,
Constant,-0.029**,-0.013,-0.026**,-0.011,-0.025***,-0.008
,	(0.012),	(0.013),	(0.011),	(0.012),	(0.010),	(0.013)
Observations,120,118,120,118,120,118
R-squared,0.048,0.125,0.047,0.124,0.043,0.117
Adjusted R-squared,0.040,0.025,0.039,0.023,0.035,0.016
Controls,NO,YES,NO,YES,NO,YES
Newey-West errors in parentheses,,,,,,
"*** p<0.01, ** p<0.05, * p<0.1",,,,,,
