regression_name,dependent_variable,predictor_family,predictor_name,specification,predictor_coefficient,ordinary_t_stat,ordinary_p_value,newey_west_t_stat,newey_west_p_value,r_squared,adjusted_r_squared,n_observations,controls_included,positive_coefficient,ordinary_p_lt_10,ordinary_p_lt_05,ordinary_p_lt_01,nw_p_lt_10,nw_p_lt_05,nw_p_lt_01,CARDI_predictor,CARDI_coefficient
PureLC_CARDI5PM_Baseline,future_pure_LC_premium,CARDI,CARDI_5P_M,Baseline,0.0286748829347485,2.43029991922175,0.0165920025080359,2.83675065522765,0.00536561449479527,0.0476679147634621,0.0395973038716271,120,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,CARDI_5P_M,0.0286748829347485
PureLC_CARDI5PM_MacroEventCategories,future_pure_LC_premium,CARDI,CARDI_5P_M,MacroEventCategories,0.0216455838468821,1.52644316480951,0.129906235269057,2.01395579243454,0.046571737969066,0.125401276768355,0.0254471369704524,118,CarbonVol_M_Shenzhen; CarbonVol_M_Guangdong; CarbonVol_M_Hubei; RealEstate_Premium_M; Slope_M; TED_M; TY3M_Change_M; MarketVol_M; Event_Covid_M; Event_China_M; Event_International_M,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,CARDI_5P_M,0.0216455838468821
PureLC_CARDI1PM_Baseline,future_pure_LC_premium,CARDI,CARDI_1P_M,Baseline,0.0259037296307173,2.40935595987507,0.0175265900356118,2.88698498835248,0.00462728150789551,0.0468882219806074,0.0388110035228161,120,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,CARDI_1P_M,0.0259037296307173
PureLC_CARDI1PM_MacroEventCategories,future_pure_LC_premium,CARDI,CARDI_1P_M,MacroEventCategories,0.0182720383328077,1.45334281772545,0.149110861848064,2.1025661932998,0.0378944549767216,0.123622692733196,0.0234652861884183,118,CarbonVol_M_Shenzhen; CarbonVol_M_Guangdong; CarbonVol_M_Hubei; RealEstate_Premium_M; Slope_M; TED_M; TY3M_Change_M; MarketVol_M; Event_Covid_M; Event_China_M; Event_International_M,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,CARDI_1P_M,0.0182720383328077
PureLC_CARDI10PM_Baseline,future_pure_LC_premium,CARDI,CARDI_10P_M,Baseline,0.0247964295668189,2.29820922968901,0.0233106793715377,2.98261276706816,0.00347319278926962,0.0428430403718221,0.0347315407139562,120,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,CARDI_10P_M,0.0247964295668189
PureLC_CARDI10PM_MacroEventCategories,future_pure_LC_premium,CARDI,CARDI_10P_M,MacroEventCategories,0.0151040328574106,1.12080626578496,0.264927258622896,1.67219402420309,0.0974634855957326,0.116562608203205,0.015598334855,118,CarbonVol_M_Shenzhen; CarbonVol_M_Guangdong; CarbonVol_M_Hubei; RealEstate_Premium_M; Slope_M; TED_M; TY3M_Change_M; MarketVol_M; Event_Covid_M; Event_China_M; Event_International_M,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,CARDI_10P_M,0.0151040328574106
AR1_CARDI5PM_Baseline,future_AR1_Premium,CARDI,CARDI_5P_M,Baseline,0.0216766179360481,1.95083868012111,0.0534468562565446,2.77651104435289,0.00639231377245954,0.0312445913460797,0.0230347997473177,120,,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,CARDI_5P_M,0.0216766179360481
AR1_CARDI5PM_MacroEventCategories,future_AR1_Premium,CARDI,CARDI_5P_M,MacroEventCategories,0.0185021879434714,1.37411518698507,0.172332055557403,1.9120513777681,0.0585950945617605,0.094685935003117,-0.00877852956795522,118,CarbonVol_M_Shenzhen; CarbonVol_M_Guangdong; CarbonVol_M_Hubei; RealEstate_Premium_M; Slope_M; TED_M; TY3M_Change_M; MarketVol_M; Event_Covid_M; Event_China_M; Event_International_M,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,CARDI_5P_M,0.0185021879434714
AR1_CARDI1PM_Baseline,future_AR1_Premium,CARDI,CARDI_1P_M,Baseline,0.0202820215914743,2.00579493875949,0.0471657232051877,2.85101354492317,0.00514572195518061,0.0329708850172903,0.0247757230259115,120,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,CARDI_1P_M,0.0202820215914743
AR1_CARDI1PM_MacroEventCategories,future_AR1_Premium,CARDI,CARDI_1P_M,MacroEventCategories,0.0165236609580335,1.3857420155586,0.168761966328871,2.09100007570608,0.038941469667515,0.0949576333885078,-0.00847577993851978,118,CarbonVol_M_Shenzhen; CarbonVol_M_Guangdong; CarbonVol_M_Hubei; RealEstate_Premium_M; Slope_M; TED_M; TY3M_Change_M; MarketVol_M; Event_Covid_M; Event_China_M; Event_International_M,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,CARDI_1P_M,0.0165236609580335
AR1_CARDI10PM_Baseline,future_AR1_Premium,CARDI,CARDI_10P_M,Baseline,0.0174006501552869,1.71065083342335,0.0897733815438765,2.70544783380493,0.00783181854659995,0.0241992489481904,0.0159297510579209,120,,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,CARDI_10P_M,0.0174006501552869
AR1_CARDI10PM_MacroEventCategories,future_AR1_Premium,CARDI,CARDI_10P_M,MacroEventCategories,0.0103204950089148,0.805896250433907,0.422124069183618,1.38024976760485,0.170441317736413,0.0840712667577135,-0.0206063027556906,118,CarbonVol_M_Shenzhen; CarbonVol_M_Guangdong; CarbonVol_M_Hubei; RealEstate_Premium_M; Slope_M; TED_M; TY3M_Change_M; MarketVol_M; Event_Covid_M; Event_China_M; Event_International_M,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,CARDI_10P_M,0.0103204950089148
