"VARIABLES","(1)","(2)","(3)","(4)","(5)","(6)"
"","future_pure_LC_premium","future_pure_LC_premium","future_pure_LC_premium","future_pure_LC_premium","future_pure_LC_premium","future_pure_LC_premium"
"DY_HL_Ratio","-0.031","-0.025","","","",""
"","	(0.039)","	(0.036)","","","",""
"CarbonVol_M_Shenzhen","","-0.016*","","-0.017*","","-0.017*"
"","","	(0.009)","","	(0.009)","","	(0.009)"
"CarbonVol_M_Guangdong","","0.043","","0.054","","0.055"
"","","	(0.079)","","	(0.075)","","	(0.075)"
"CarbonVol_M_Hubei","","-0.141","","-0.112","","-0.105"
"","","	(0.142)","","	(0.120)","","	(0.131)"
"RealEstate_Premium_M","","0.058**","","0.050**","","0.051**"
"","","	(0.028)","","	(0.024)","","	(0.024)"
"Slope_M","","-0.001","","-0.001","","-0.000"
"","","	(0.010)","","	(0.010)","","	(0.010)"
"TED_M","","0.006","","0.005","","0.005"
"","","	(0.008)","","	(0.007)","","	(0.008)"
"TY3M_Change_M","","0.006","","0.006","","0.007"
"","","	(0.009)","","	(0.009)","","	(0.009)"
"MarketVol_M","","-0.095","","-0.155","","-0.173"
"","","	(0.410)","","	(0.309)","","	(0.293)"
"Event_Covid_M","","0.016**","","0.016**","","0.014"
"","","	(0.008)","","	(0.008)","","	(0.009)"
"Event_China_M","","-0.004","","-0.004","","-0.004"
"","","	(0.005)","","	(0.005)","","	(0.005)"
"Event_International_M","","-0.013","","-0.012*","","-0.011"
"","","	(0.008)","","	(0.007)","","	(0.008)"
"EDC_HL_Ratio","","","-0.041","-0.002","",""
"","","","	(0.035)","	(0.037)","",""
"CVaR_HL_Ratio","","","","","0.005","-0.008"
"","","","","","	(0.024)","	(0.024)"
"Constant","0.033","0.033","0.042","0.008","-0.005","0.013"
"","	(0.041)","	(0.042)","	(0.037)","	(0.039)","	(0.022)","	(0.023)"
"Observations","117","115","120","118","120","118"
"R-squared","0.006","0.113","0.009","0.106","0.001","0.107"
"Adjusted R-squared","-0.003","0.008","0.000","0.004","-0.008","0.005"
"Controls","NO","YES","NO","YES","NO","YES"
"Newey-West errors in parentheses","","","","","",""
"*** p<0.01, ** p<0.05, * p<0.1","","","","","",""
