,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X601898.SH,X600188.SH,X600019.SH,X600660.SH,X601600.SH,X600585.SH,X600011.SH,X600547.SH,X600886.SH,X000792.SZ,X600010.SH,X600111.SH,X600795.SH,X600362.SH,X002460.SZ,X600489.SH,X000708.SZ,X002466.SZ,X600803.SH,X600160.SH,X600027.SH,X000807.SZ,X000301.SZ,X601991.SH,X000786.SZ,X600219.SH,X600426.SH,X000983.SZ,X002128.SZ,X000408.SZ,X601699.SH,X000877.SZ,X600176.SH,X000630.SZ,X601168.SH,X000933.SZ,X600096.SH,X600985.SH,X002353.SZ,X600157.SH,X600378.SH,X002271.SZ,X600995.SH,X000831.SZ,X600352.SH,X600688.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,-0.0215887723817163,0,0,0,0.243030908023436,0,0,0,0,0,0.0217939008079576,0,0,0,0,0,0,0,0,0,0.082948250006686,0,0,0,0,0,0,0,0,0,0,0,0.308183241833741,0,0.0485477043263949,-0.0879850109623762,0,0,0,0.056196863317512,-0.044506519592713,0.0514206942820119,0,0,0,0.0513289144286287,0,0
X600111.SH,0,0,0,0,0,0,0,0.0231216720998773,0.0338951792450141,0,0,0,0,0,0.131275608053167,0,0,0,-0.0429465367982684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0575995802480669,0.0304780657455218,0,0,0.55071800971532,0,0,0,-0.0195291774930729,0,0,0,0,0,0,0
X600795.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.383531056153953,0,0,0,0,0,0,0,0,0.0943570292174527,0,0,0.275723070956628,0.069687294157934,0,0,0,0,0,0,0,0,0,0,-0.0879739719738014,0,0,0,0,0,0,0.0664827302682814,0,0,0,0,0,0,0,-0.00177448325552426,0.00425980843063106,0,0.100368343451203,0,-0.0441387876311024,0,0
X600362.SH,0,0,0,0,0,0,0,0,0.194393281952537,0,0,0,0,0,0,0,0,0,0.0438322217381956,0,0.151615684988752,0.0275184900504251,0,0,0,0,0,0,0,0,0,0,0,0.102809520273768,0,0,0,0.0841591623203499,0.0101025758462793,-3.46944695195361e-18,0,0,0,0,0.0722872445401391,0,0,0,0,0,0,-0.00848351798226026,0,0,0,0,0.0173917401444499,0,0
X002460.SZ,0,0,0,0,-0.0338384905883477,0,0,0,0,0,0,-0.0665278027214462,0,0,0,0,0,0,0,0,0,0.929143718838004,0,0,0,0,0.0233657292068797,0,0,0,0,0,0,0,-0.0494977015502712,0,0.0984293612975471,0,0,0,0,0,0,-0.0101378889394529,0,0,0,0.0110685871483723,0,0,0,-0.0217895029874915,0.0260529364757755,0.0198452002735707,0,0,0.0129529361582344,0,0
X600489.SH,0,0,0,0,0,0,0,0,0,0,0,0.44037107335221,0.225417397441649,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0868544395956722,0,0,0,0,0,0,0,0.0315208505939612,0,0,0,0,0,0,0,0.00178198561880618,0,0.0912903697132096,0,0,0.0550435747318947,0,0,0,0,0,-0.0802415840095801,0,0,0.0356132655432321,0,0
X000708.SZ,0,0,0,0.227009357269848,0.0381024982207069,0,0.164653685922005,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0.0815646110760209,0,0,0.0203186488548228,0,0,0,0,0,0,0.0039275774442348,0,0,0.0281797436369666,0,0,0.185661270608493,0,0.100522195589049,0,0,0,0.05678542466812,0,0,0,0,0,0.00426364382405313,0,-0.0103083046589919,0,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116738347234208,0,0,0.570048194211391,0,0,0,0,0,0,0,-0.029265816616546,0,0,0,0,0,0,0.131526186294308,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0172268528720634,0,0,-0.0330230574663273,-0.00452155887294594,0.0150922805928589,0,0,0,0.00203937111700582,0,0
X600803.SH,0,0.0298125677325987,0,0.172356741121187,0,0,0.174334301104091,0,0.0406332628711317,0,0,0,0,0,0,0,0,0,-0.0360970170863973,-0.0843419482762419,0,0,0,0,0.0988132234223812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0830009876135779,0,0,-0.0480507206286692,0,0,0.028492547979929,0,0,0,0,0.000820089332861249,-0.016092761215461,0,0,0,0,0,0
X600160.SH,0,0,0,0,0,0,0,0.183885098016189,0,0,0,0,0,0,0,0,0,0,0.130789105236844,0,0,0,0,0,0,0,0,0,0,0,0.132370067777501,0,0,0.10105133552534,0.00108981000910334,0.0139315187112784,0,0,0,0.155067880901164,0.0726273536136685,0,0,0,0.0930770065120628,0,0,0,0,0,-0.111979368608103,0,-0.0199837865130829,0,0,0,0,0,0
