regression_name,dataset,dependent_variable,independent_variable,lagged_independent_variable,specification,coefficient,t_statistic,p_value,r_squared,adjusted_r_squared,n_observations,sample_period,controls_included,firm_fixed_effects,year_trend_control,year_fixed_effects,inference,positive_coefficient,p_lt_10,p_lt_05,p_lt_01
HC_Firm_Monthly__Rela_vola_ExReturn__CARDI_5P_M__NoControls,HC_Firm_Monthly,Rela_vola_ExReturn,CARDI_5P_M,lag1_CARDI_5P_M,NoControls,0.10800202929957,5.76464254174317,8.23844254560946e-09,0.00165987127754549,0.00163685744331954,43382,2015-02 to 2025-01,,FALSE,FALSE,FALSE,clustered by StockID,TRUE,TRUE,TRUE,TRUE
HC_Firm_Monthly__Rela_vola_ExReturn__CARDI_5P_M__ControlsFirmFEYearTrend,HC_Firm_Monthly,Rela_vola_ExReturn,CARDI_5P_M,lag1_CARDI_5P_M,ControlsFirmFEYearTrend,0.141613933758726,6.70806947997089,1.99954185949167e-11,0.139224696459339,0.13079651977515,38675,2016-01 to 2025-01,RealEstate_Premium_M; Slope_M; TED_M; TY3M_Change_M; MarketVol_M; Event_Covid_M; Event_China_M; Event_International_M; lag_logAsset; lag_ROE; lag_BM; lag_CapExRatio; YearTrend,TRUE,TRUE,FALSE,clustered by StockID,TRUE,TRUE,TRUE,TRUE
HC_Firm_Monthly__Rela_vola_ExReturn__CARDI_1P_M__NoControls,HC_Firm_Monthly,Rela_vola_ExReturn,CARDI_1P_M,lag1_CARDI_1P_M,NoControls,0.109226984441407,7.06061959868415,1.68246940721438e-12,0.00204747293416798,0.00202446803497325,43382,2015-02 to 2025-01,,FALSE,FALSE,FALSE,clustered by StockID,TRUE,TRUE,TRUE,TRUE
HC_Firm_Monthly__Rela_vola_ExReturn__CARDI_1P_M__ControlsFirmFEYearTrend,HC_Firm_Monthly,Rela_vola_ExReturn,CARDI_1P_M,lag1_CARDI_1P_M,ControlsFirmFEYearTrend,0.174533533783083,9.06234422438208,1.33557072223967e-19,0.140708769262898,0.13229512369705,38675,2016-01 to 2025-01,RealEstate_Premium_M; Slope_M; TED_M; TY3M_Change_M; MarketVol_M; Event_Covid_M; Event_China_M; Event_International_M; lag_logAsset; lag_ROE; lag_BM; lag_CapExRatio; YearTrend,TRUE,TRUE,FALSE,clustered by StockID,TRUE,TRUE,TRUE,TRUE
HC_Firm_Monthly__Rela_vola_ExReturn__CARDI_10P_M__NoControls,HC_Firm_Monthly,Rela_vola_ExReturn,CARDI_10P_M,lag1_CARDI_10P_M,NoControls,0.0955147057168013,5.3964509488006,6.83274724305969e-08,0.00156003200391424,0.00153701586818356,43382,2015-02 to 2025-01,,FALSE,FALSE,FALSE,clustered by StockID,TRUE,TRUE,TRUE,TRUE
HC_Firm_Monthly__Rela_vola_ExReturn__CARDI_10P_M__ControlsFirmFEYearTrend,HC_Firm_Monthly,Rela_vola_ExReturn,CARDI_10P_M,lag1_CARDI_10P_M,ControlsFirmFEYearTrend,0.137500476269262,6.70409208952951,2.05469632947029e-11,0.139352487708012,0.130925562276291,38675,2016-01 to 2025-01,RealEstate_Premium_M; Slope_M; TED_M; TY3M_Change_M; MarketVol_M; Event_Covid_M; Event_China_M; Event_International_M; lag_logAsset; lag_ROE; lag_BM; lag_CapExRatio; YearTrend,TRUE,TRUE,FALSE,clustered by StockID,TRUE,TRUE,TRUE,TRUE
HC_Firm_Monthly__Rela_vola_PurReturn__CARDI_5P_M__NoControls,HC_Firm_Monthly,Rela_vola_PurReturn,CARDI_5P_M,lag1_CARDI_5P_M,NoControls,0.174514782394734,7.97528787007421,1.56177315428695e-15,0.00357563285049805,0.00354986747498665,38675,2016-01 to 2025-01,,FALSE,FALSE,FALSE,clustered by StockID,TRUE,TRUE,TRUE,TRUE
HC_Firm_Monthly__Rela_vola_PurReturn__CARDI_5P_M__ControlsFirmFEYearTrend,HC_Firm_Monthly,Rela_vola_PurReturn,CARDI_5P_M,lag1_CARDI_5P_M,ControlsFirmFEYearTrend,0.140838823739903,6.67652561776695,2.48007842418833e-11,0.138832161168789,0.130400141023049,38675,2016-01 to 2025-01,RealEstate_Premium_M; Slope_M; TED_M; TY3M_Change_M; MarketVol_M; Event_Covid_M; Event_China_M; Event_International_M; lag_logAsset; lag_ROE; lag_BM; lag_CapExRatio; YearTrend,TRUE,TRUE,FALSE,clustered by StockID,TRUE,TRUE,TRUE,TRUE
HC_Firm_Monthly__Rela_vola_PurReturn__CARDI_1P_M__NoControls,HC_Firm_Monthly,Rela_vola_PurReturn,CARDI_1P_M,lag1_CARDI_1P_M,NoControls,0.207517865841707,10.8405131342242,2.42207267399886e-27,0.005470090270649,0.00544437388170249,38675,2016-01 to 2025-01,,FALSE,FALSE,FALSE,clustered by StockID,TRUE,TRUE,TRUE,TRUE
HC_Firm_Monthly__Rela_vola_PurReturn__CARDI_1P_M__ControlsFirmFEYearTrend,HC_Firm_Monthly,Rela_vola_PurReturn,CARDI_1P_M,lag1_CARDI_1P_M,ControlsFirmFEYearTrend,0.172846121986279,8.97965854180993,2.83663576151007e-19,0.14027532454903,0.131857434961988,38675,2016-01 to 2025-01,RealEstate_Premium_M; Slope_M; TED_M; TY3M_Change_M; MarketVol_M; Event_Covid_M; Event_China_M; Event_International_M; lag_logAsset; lag_ROE; lag_BM; lag_CapExRatio; YearTrend,TRUE,TRUE,FALSE,clustered by StockID,TRUE,TRUE,TRUE,TRUE
