date,Year,Month,CARDI_5P,CARDI_1P,CARDI_10P
2015/1/7,2015,1,1.467176026,1.244239631,1.416473018
2015/1/8,2015,1,1.443129847,1.225520833,1.446018665
2015/1/9,2015,1,1.393267672,1.189707234,1.463926469
2015/1/12,2015,1,1.435020755,1.271840924,1.470762653
2015/1/13,2015,1,1.525286598,1.331652958,1.414274992
2015/1/14,2015,1,1.479580462,1.258473445,1.405297793
2015/1/15,2015,1,1.356059529,1.251217265,1.533558853
2015/1/16,2015,1,1.386807541,1.227238144,1.442435381
2015/1/19,2015,1,1.367207759,1.26460177,1.79209195
2015/1/20,2015,1,1.336750946,1.346249435,1.571428571
2015/1/21,2015,1,1.475398605,1.467977396,1.54572678
2015/1/22,2015,1,1.520053052,1.544273504,1.539257153
2015/1/23,2015,1,1.498707362,1.607612782,1.540818848
2015/1/26,2015,1,1.450337787,1.576532964,1.532577335
2015/1/27,2015,1,1.5101918,1.508769982,1.557603807
2015/1/28,2015,1,1.401509889,1.603976234,1.57841292
2015/1/29,2015,1,1.436068426,1.564629529,1.661019053
2015/1/30,2015,1,1.500450535,1.564780716,1.533933203
2015/2/2,2015,2,1.509981373,1.448327296,1.496721767
2015/2/3,2015,2,1.440558379,1.552079791,1.590714
2015/2/4,2015,2,1.485829347,1.558924044,1.571502207
2015/2/5,2015,2,1.399870319,1.552187431,1.834748455
2015/2/6,2015,2,1.397814525,1.665990763,1.816498553
2015/2/9,2015,2,1.479951916,1.681491094,1.522903882
2015/2/10,2015,2,1.540679651,1.508853884,1.541316527
2015/2/11,2015,2,1.616036127,1.669332406,1.626461298
2015/2/12,2015,2,1.579803276,1.915597569,1.53126315
2015/2/13,2015,2,1.422128507,1.456259352,1.508793519
2015/2/16,2015,2,1.467617453,1.707937548,1.436055554
2015/2/17,2015,2,1.252492121,1.507417434,1.4685988
2015/2/25,2015,2,1.316209185,1.72564899,1.479325584
2015/2/26,2015,2,1.355651094,1.521687782,1.495071365
