,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000725.SZ,X000858.SZ,X600276.SH,X002304.SZ,X000625.SZ,X000063.SZ,X600690.SH,X600031.SH,X600703.SH,X600271.SH,X000559.SZ,X000100.SZ,X600118.SH,X600066.SH,X600372.SH,X002236.SZ,X000157.SZ,X002475.SZ,X002292.SZ,X600741.SH,X002241.SZ,X600089.SH,X000338.SZ,X300124.SZ,X000568.SZ,X002465.SZ,X600839.SH,X600177.SH,X300003.SZ,X002294.SZ,X002074.SZ,X600867.SH,X002085.SZ,X000977.SZ,X000869.SZ,X002129.SZ,X000800.SZ,X600582.SH,X600498.SH,X600525.SH,X000550.SZ,X000581.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.263911853983862,0,0,0,0,0.0257373074055756,0,0,0,0.0530602916270311,0,0,0,0,0,0,0.187756335335525,0,0,0,0,0.0597490964705913,0,0,0,0,0,0,0,0,0,0,0.00941196317482871,-0.00801547911546575,0,0,0,0,0,0,0,0,0,0,0.117090741329943,0,0,0,0.158629353208473,-0.0245965998704248,0,0,0,0
X600104.SH,0,0,0,0,0,-0.0383836538000944,0,0.153902759216274,0.235728542369627,0,0,0,0,-0.0582876605524827,-0.0321268623810166,0,-0.0272067554622868,0.366155916633438,0,0,0,0.153347461118353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0977405300339735,0,0,0,0,0,0,-0.231944330658607,0,0.104489641110206,0,0,0.0488647919470109,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,-0.115480155852583,0,0,0.0849762092173354,0,0,0,0,0,0,1.73472347597681e-18,0,0,0.116902921649088,-0.0709383314542029,0.239907597833793,0,0,0,0.00327817549100043,0,-0.0581000749430105,0,0.105895563106368,0,-0.0962547364795325,0,0,0,0,0,0.107862386544038,0,0,0,0,-0.0151646781520184,-0.0542253588765882,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0.0160385138451126,0,0,0,0,0,0,0,0,0,0.256880994041519,0,0,0,0,0,0,0.0241732838175445,0.0662944079747069,0,-0.0299227268073637,0,0,0.25455319297216,-0.0154244918560128,0.0339687444083805,0,0,0,0,0,0.077421283270253,0.0631525617131437,0,0,0.0144668574653955,0,0,0,0.0406468995690905,0,0,-0.0477760829592161,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0.0950211310581924,0.110558023248429,0,0.258346258613381,0,1.0842021724855e-19,0,0,0,0.0397229113494583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0421453290232726,0.112750977521625,0,0,0.000551166108384348,0,0,0,0,0,0,-0.00655952697705371,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0.000860614367347898,0,0,0.22678457420013,0,0,0,0,0,0,-0.0311221646180634,0,0,0,0,0,-0.138892855340723,0.0155763870918758,0,0,0.273667409911737,0,0,0,0,0.12218322390229,0,0,0,0,0,-0.135010280382024,0,0,0,0.0623259037316186,0,0.0109528767275013,0,0,0,0,0,0,-0.0539870779436465,-0.0447483700697042,0,0,0,0,0,0
X600276.SH,0,0,0,0.0997983543835185,0,0,0,0,0,0,0,0.0274608687592029,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0.364918013348242,-0.21353975575048,0.21320112270387,0,0,0,0,0,0,0,0,-0.0111784837898329,0,0,0,0,-0.0117657917853059,0,0,0,0,0.193721287806778,0,0,0.0221978806828676,0,0,0,0,0,0,0
X002304.SZ,0,0.376224881839906,0,0,0,0,0.0685901234410469,0,0.027201087279432,0,0,0,-0.0623935147048914,0,0,0,0,0,0,0,0,0,0,0.275320441690989,0,0,0,0,0,0,0,0,0,0.199042765794818,-0.0554618722354194,0,0,-0.0178320687248305,0,0,0,0,0,0,0,0,0,-0.0440713468201063,0.122165897737178,-0.00927493549604895,0,0,0,0,0
X000625.SZ,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0.0135643569271913,0,0,0,0.02470829758569,0.0269266778033902,0.0110591840780771,0,0,0,0,0,0,0,0.261331972462628,0,0,0.20620556322076,0,0.0842433826868646,0,0,0.00311654379765971,0,0,0,0,0,0,0,0.0152481061930945,0.0655734091363657,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000063.SZ,0,0.0755505883088067,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0.239998498823055,0,0.0699323932828087,0.00524085266950235,0,0,0,0,0.0258315350152221,0,0,0.251911517431103,0,0,0,0.0233060418239752,0,0,0,0,0.0504620164335522,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0.0930725023372852,0,-0.0258535702260987,-0.0323976172991268,0,0,0,0,0,0
