,X600519.SH,X000858.SZ,X002415.SZ,X000568.SZ,X600809.SH,X600276.SH,X002304.SZ,X600690.SH,X002475.SZ,X000651.SZ,X300124.SZ,X600104.SH,X000725.SZ,X002129.SZ,X000063.SZ,X600031.SH,X003816.SZ,X000596.SZ,X300014.SZ,X002371.SZ,X000625.SZ,X000338.SZ,X600703.SH,X002179.SZ,X002049.SZ,X600089.SH,X000661.SZ,X000100.SZ,X002180.SZ,X002241.SZ,X300142.SZ,X600702.SH,X601877.SH,X600741.SH,X000157.SZ,X000733.SZ,X600522.SH,X002074.SZ,X600584.SH,X000977.SZ,X600460.SH,X002236.SZ,X000799.SZ,X000066.SZ,X600183.SH,X300003.SZ,X002007.SZ,X000800.SZ,X600884.SH,X002414.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.0676933930236036,-1.73472347597681e-18,0,0.10644659684899,0,0.196240199328925,0,0.0901040205144064,0,0,0,0,0,0.0375213404493583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0667713091055448,0,0,0,0,0,0,0,0,0.10845840349957,0,0.0501920599009344,0,0,0,0,0,0,0.00926395083877243,0,0,0,0,0,0,0
X000858.SZ,0,0,0.0690023418002409,0,0.173262821248245,0,0.642689197141788,0,0,0.167847029229212,0,0,0,0,0,0.0212581807767007,0,0.0496727041652908,0,0,0,0,-0.023290110664378,0,0,0,0,0,0,0,0.0202728065798326,0,0,0,0,0,0,0,0,-0.00781215905098943,0,0,0,0,0,-0.0234506657947501,0,0,0,0,0,-0.0413760264531792,0.0151677911134909,0,0,0,0,0,0
X002415.SZ,0,0.252574080024905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0660185797487446,0.0290468579156974,0,0,0,0,0.0543137706478631,0,0,0,0.186340213933487,0,0,-0.105401429231691,-0.0420038673489815,0,0,0.0382871525272948,-0.140884042239917,0,0,0,0,0.0848021598779495,0,0.0241495586518182,0,0,-0.0945023484261752,0,0,0,0,1.73472347597681e-18,-0.0206119260897625,0,0,0,0,0,0
X000568.SZ,0,0.445075449247107,0,0,0,0,0.360335299281735,0,0,0,0,0,0,0,0,0,0,0,0,0.0439601464362786,0,0,0,0,-0.15701754409849,0,0,0,0,0,0,0,-0.0365739227726605,0,0,-0.0982676137893405,-0.121480556749972,0,0,-0.0681651557729684,0,0,0,0,0.247193496177014,0,-4.33680868994202e-19,0,-0.0671364666981876,0,0,0.00608042710200021,-0.0129729829185861,0,0,0,0,0,0
X600809.SH,0,0.0609047344084008,0.0349234137462431,0.083734147353673,0,0,0.188345950576434,0.137219103865795,0.0148613014007707,0,0,0,0,0,0,0,0,0,0.0395644766450034,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0545370205337597,0,0,-0.0171246061428441,-0.10888093658273,0,0,0,0,0,0.237116716903144,3.46944695195361e-18,-0.014232614531194,0,0,0,0,0,0,0.0157205901195493,-0.0177100636856624,0,0,0,0,0,0
X600276.SH,0,0,0,0.249808155859743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0343490732536751,0,0,0,0,0,-0.0193876361906083,0,0,0,0.0933033317432443,0,0.0760596454226764,0,-0.146030665618456,0.269328221676673,0,0.0733045021440597,0,0,0.0412806764701856,0,0,0.0995150880663955,0.0371315054542318,0.126355687101246,0,0.0425356151157562,0,0,0,0,0,-0.0424843110508939,0.0426126664554926,0,0,0,0,0,0
X002304.SZ,0,0.296649283772727,0,0.423045145524974,0,0,0,0,0,0,0,0,0,0,-0.0328108481960984,0.102756106396816,0,0.187526015750276,0,0,0,0,0,0,0,0,0,0,0,-0.0563319695318014,0,0.0182011476457042,0,0,0,0.0224416507674029,0,0,0,0.0158492241418348,0,0,0,-0.0710250345295522,0,-0.0775261155599137,-2.16840434497101e-19,0,0,0,0,-0.0142468238928907,0.0205246765721524,0,0,0,0,0,0
X600690.SH,0,0,0,0,0.123542518125535,0,0,0,0,0,0.0775572732356723,0,0,-0.049309867134113,0,0.231628879181484,0,0,0,0,0.00133062587638821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0019405471993327,0,0,0,3.46944695195361e-18,0,0,0.0807906385940342,-0.023388128622301,0,0,0,0,0,0,0,-0.00622450760365999,0,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0.301867038062894,0,0,0.0760063303713961,0,0,0,0,0.21036489005539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.233917182517012,0.114383622682968,0.233457867748274,0,0,0,0,0,0,0,0,0.0869167416362461,0,0,0,0.553642694724221,0,-0.00759546139911397,0,0,0,0,0,0
X000651.SZ,0,0.173206474956555,0,0,0,0,0,0.272787886930201,0.0188372080407666,0,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0.0342056927507216,0,0,0,0,0,-0.00549123614767036,0,0.0396668462911342,0,0.0426272769802734,0,0,0,0,0,0,-0.0146037153039208,0,0,0,0,0.0378892657267212,-0.0460908503364558,0,0,0,0,0,0,-0.0045722653131578,0,0,0,0,0,0
