,X600519.SH,X000858.SZ,X002475.SZ,X002415.SZ,X600276.SH,X600690.SH,X003816.SZ,X600809.SH,X000651.SZ,X000568.SZ,X002371.SZ,X600104.SH,X000725.SZ,X000625.SZ,X000063.SZ,X300124.SZ,X600031.SH,X000338.SZ,X002304.SZ,X000596.SZ,X002463.SZ,X000100.SZ,X002179.SZ,X002241.SZ,X300014.SZ,X600089.SH,X000157.SZ,X600703.SH,X600584.SH,X000977.SZ,X600372.SH,X600066.SH,X600183.SH,X600522.SH,X600741.SH,X002028.SZ,X002236.SZ,X002049.SZ,X600418.SH,X600487.SH,X002180.SZ,X601877.SH,X000921.SZ,X000661.SZ,X002223.SZ,X000800.SZ,X601799.SH,X002156.SZ,X000400.SZ,X002129.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.0665211846331826,0,0,0,0,0,0.20007240282256,0,0.198333902802143,0,0,0,0,0,0,0,0.0491745144992166,0.0207369738690717,0.119966409184888,0,0,0,0,0,0,0,-0.0487831058916813,0,0,0,0,-4.33680868994202e-19,-0.013580512760921,0,0,0,-0.00684612961588775,-0.0650455784555187,0,0,0,0,-0.0299243453433133,-0.0273103668141259,0,0,0.0282603065847653,0,0,0,-0.0225131930129572,0,0,0,0,0.00314625594939324,0,0
X000858.SZ,0.223445857559708,0,0.0121691498386002,0,0,0,-0.0591839819595517,0,0,0.346199481830097,0,0,0.0299928423574565,0,0,0,0,0,0.0689925012828727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.061918248504274,0,0,0,0,0,0,0,0.016327690625358,0.0535843084733031,0.0747571749131255,0,0,0.050879323428216,-0.0237001142373229,0,0,0,-0.0314335185326238,0,0,0,0.0142537045048865,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0.0417397386948606,0,0,0,0,0,0,0,0,0,0,0,-0.111633903053961,0,0.441446114719211,0.207191422416814,0,0,0,0.00455922830814108,0.057324393310622,0,0.0790936230349521,0,0.084653225024299,0,0.0538267477101015,0,0,0,0,0,0,0,0,0,0,0,0.0418035510422276,0,0.0134041736697978,0,0.0664248534642852,0.0506153755388498,0,0,0,-0.00270085685401412,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.155579832582331,0,0,0,0,0,0,0,0,0,0,0.0275136389286941,0,0,0,0,0,0,0,0.0673721674147115,0,0,0,0,0.0984458848093607,0,0.000360813533372788,0,0,0,0,0,0,0,0,0,0.139481514039943,0,0,0,-0.12406216575314,0,0,0.0583480176380338,0,0
X600276.SH,0,0,0,0,0,-0.160010605475648,0,0,0,0,0,0,0,0,0,0,0.102718278486152,0,0,0,0,0.0396569300186179,0.323286540321214,0,0.204505694474425,0,0,0,0,-0.00748001280973995,-0.323266402374716,0,0,0.0582860123788065,0,0,0,0.0346009687162995,0,0,0,0,0,0,0,0,0.182145711015783,0,0,0,0,-0.0308968179761906,0,0,0,0,0.0581494033044009,0,0
X600690.SH,0,-0.107199758143935,0,0,0,0,0,0,0.00882548656823075,-0.159517775907169,0,0.00357383102713653,0,0,0,0,0.0289316847786696,0.224187290330254,0,0,0,0,0,0,-0.0116438534697469,0,0,0,-0.0193628077036459,5.42101086242752e-20,0,0,0,0,0,0,-0.0898692178710436,0,0,0,-0.0349518601722183,0,0.23725295907598,0,0,0,0,0,-0.031995431096287,0.00147447999787811,0,0,0,0,0,0,0.0865294993808715,0,0
X003816.SZ,0,0,0,0,0,-0.00580493599833709,0,0,0,0,0,-0.131790861467306,0,0,0,0,0,-0.0119848760564703,0,0,-0.223553960585064,0,0,0,-0.020627837176765,0,0,0,0,0,0,0,-0.111888725190727,0,-0.0380532019197002,0,0,0,0,0,0,0,0,0,0,0,0.10869692259015,0.00877480548545624,0.140796475275182,0,0,0.0421416823139352,-0.0608149210107585,0,0,0,0.0109703646540637,0,0
X600809.SH,0.0417850338426396,0,0,0,0,0,0,0,0,0,0,0,0,-0.0609139472113279,-0.0698267176630123,0,-0.0917937250719368,0,0,0.397178996551145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00552915722659838,0,-0.00933311863962428,0,0,0,0,0.104539172601815,0,0,0,0.0879589578201176,0,0,0,0,0.0849240684324826,0,0,0.0338932471425086,0,0
X000651.SZ,0,0,0,0,0,0.0295153744656265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0140533388639807,0,0,0,0,0.0590649474782369,0.19480456370566,0,0,0,0,0,0,0,0,0.0491521943323505,0,0,0,0,0,0,0,0,-0.0117701643797528,-0.0404595796366223,0,0,0.0295297391494383,0,0,0.118113821061923,-0.104224498440917,0,0,0,-0.00579577688631407,0,0
X000568.SZ,0,0.669289714826391,0,0,0,0,0,0,0,0,0.0451463681866255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0822061760480817,0,0,0,0,0.0783148564381917,-0.0141518274603612,0,0,0,0,0,0,-0.214732187198566,0,0,0,0.0185318191600777,0,0,0,0,0,0,0,0,-0.0596101323866513,0,0,0,0,0,0
