,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X000568.SZ,X600276.SH,X002475.SZ,X002304.SZ,X600690.SH,X600104.SH,X000651.SZ,X300014.SZ,X002371.SZ,X000725.SZ,X600031.SH,X300124.SZ,X002129.SZ,X002241.SZ,X000625.SZ,X600703.SH,X003816.SZ,X000063.SZ,X002049.SZ,X000338.SZ,X601877.SH,X000596.SZ,X000661.SZ,X002179.SZ,X600089.SH,X000100.SZ,X300142.SZ,X600460.SH,X600741.SH,X002074.SZ,X002236.SZ,X000799.SZ,X600779.SH,X601799.SH,X600884.SH,X000157.SZ,X600702.SH,X600584.SH,X000733.SZ,X002007.SZ,X600183.SH,X002414.SZ,X002180.SZ,X000800.SZ,X002008.SZ,X000977.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.4911818077702,0,0,0.0972998145531081,0,0,0.0596011409608128,0,0,0,0,0.0146288251353896,-0.0290121409521532,0,0.0017309147073792,0,0,0,0,0,0.0785468947553781,0.0624958567744574,0,0.0345061228571732,0,0,0,0.0453151667259931,0,0,0,0,0,0,0,0,0,-0.0378882895857806,0,0.0195231299748618,0,0,0,0,0,0,0,0,0,0,0.00398761065138612,0,0,0,0,-4.33680868994202e-19,0,0
X000858.SZ,0,0,0,0.157562637587899,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.149628481138953,-0.0645055989656864,0,0,0,0,0,0,0.0577818953584252,0.140045377622685,0,0.0323063911192978,0,0,0,0,0,0,0.321213306160618,0.102761279448987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0324793406109068,0,0,0,-0.0122603320164586,0,0
X002415.SZ,0,0,0,0,0.072181542749197,0,0,0.149258686045723,0.0191376729138073,0,0,0,0,0,0,0,0.00168335593455216,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0690144609056365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0829140994920031,0,0,0.00872049699703346,0,0,0,0,0.0201419801597953,0,0
X600809.SH,0,0.161697645822809,0,0,0.0232228462096722,0,0,0.102360380903724,0,0,0,0,0,0,0,0,0,-0.0803610521322266,0,0,0,0,-0.0419852192409738,0.0199240556467935,-0.0651374152197534,0,0,0,0,0,0,0,0,0,0,0.452094528524629,0,0.105012985326551,0.0756385867444785,0,0.145208242967813,0,0.0107834167024014,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00258532967135481,0,0
X000568.SZ,0,0.46497382871757,0,0.132275826261177,0,0,0,0,0,0,0,0,-0.0909847682646028,0,0,0,0,0,0,0,0,0,-0.0105257751717256,0,0,0.0133170643016922,0,0,0.0306186852142034,0,0.0371866552023922,0,0,0,0,0.0391258978161629,0.0791456449938375,0,-0.0637198582060614,0,0.0624091283846936,0,0,0,0,0,0,0,0,0,0,0.0010384289947467,0,0,0,0,0,0,0
X600276.SH,0,0,0,0.12521810807914,0,0,0,0,0,0,0,0.0633162782424712,0,0,0,0,0,0,0.0548471662662902,0,0,0,-0.145762368056507,0,0,0,0,0,0,0.0976791887915346,0,-0.0600742361678047,0,0,0,0.359164999982427,0,0,-0.186661041563467,0,0,-0.0252953247896516,0,0,0,0,0,0,-0.187566650505303,0,0,0,0,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101693416043112,0.0252928834505257,0.100052561144075,0,0.354879372724943,0,0,-8.67361737988404e-19,0,0,0,0,0,-0.180272108086478,0.035221875372104,0,0,0,0.00237679368870325,0,0,0.0510291036467066,0,0,0,0,0,-0.0588479564509285,0,0,0,0.014010968551293,0,-0.166911536450166,0,0,0,0.012943956036959,0,0,0,0.0890279282393963,0,0
X002304.SZ,0,0.0815337593308501,0,0.312028291006773,0,0,0,0,0.141673149676233,0,0,0,0,0,0,0,0,0,0,0,-0.119403826541908,0,0,0,0,0.0938789343349335,0,0,0,0,0.0233730592876486,-0.0163790875561685,0,0,0,0.0945613731097579,0.0160294748076111,0,0,0.0440742648248464,0,0,-0.0227515518058867,0,0,0,0,0,0,0,0,0.0159790479347133,0,0,0,0,-0.0475594546234681,0,0
X600690.SH,0,0,0,0,0,0,0,0.190763769214762,0,0,0,0,0.0351681689322571,0,0,0,0,0,0,0,-0.0512176867132291,0,0,0,0,0,0,0,0.00885436392195368,0.18518838566605,0,-0.0906310967899407,0.0794761194595087,0,0,0,0.0786487605705264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00309955373991115,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,0.0643217013943576,0,0,0,0,0,0.087342998126391,0,0,0,0,0,0.0985467463082816,0,0,0,0,0,0,0.0231523715172902,0.0400607658044659,0,0,0,0.0314528581019174,0,0.0316180852171395,0,0,0,0,0,0,0,0,0,0.0490372980849806,-0.0307218540979712,0,0,0.0139694221536554,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.0297648185410947,0,0,0.0576455236622031,0,0,0,0,0,0,0,0.135744270916703,-0.0215780893423271,0,0.0251017156372934,0,-0.105634483267305,0,0,0.0164205193922419,0,0,0.016219235655995,1.73472347597681e-18,0.00913796708978868,0,-0.110923110809562,0,0.0313557343530813,0,0,0.0726784734984152,0,0,0,0,0,0,0,0,0.0723852315915929,0,0,0,-0.0559850157250194,0,0
