,X600519.SH,X000858.SZ,X600809.SH,X002415.SZ,X000568.SZ,X002304.SZ,X002475.SZ,X600690.SH,X600104.SH,X600276.SH,X000651.SZ,X300014.SZ,X300124.SZ,X002129.SZ,X002371.SZ,X600031.SH,X000725.SZ,X003816.SZ,X002241.SZ,X002049.SZ,X000625.SZ,X000596.SZ,X000063.SZ,X000338.SZ,X002179.SZ,X600089.SH,X600703.SH,X601877.SH,X002074.SZ,X300142.SZ,X600741.SH,X000661.SZ,X002180.SZ,X600460.SH,X000733.SZ,X600522.SH,X000100.SZ,X600702.SH,X000799.SZ,X600884.SH,X000157.SZ,X002236.SZ,X601799.SH,X600584.SH,X000800.SZ,X002056.SZ,X600563.SH,X002176.SZ,X600779.SH,X600372.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.0945420795295401,0,0,0,0.0315970438611215,0,0.00808242590326024,0,0,0,0,0.145459984715708,0,0,0,0,0.150330181946825,0,0,0,0.243702523096188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0684465242168839,0,0,0,0,0,0,0,0,0,-0.000893071783964895,0,0,0,0,0,0
X000858.SZ,0.0577050773949814,0,0,0,0.256893708971718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.259209338078634,0,0.148793765001565,-0.0213030954964431,0,0,-0.0249640648334557,0,0,0,0,0,0,-0.0715051893153964,0,0,0,0.110660359092881,0.0235546313916143,0,0,0,0,0,1.73472347597681e-18,0,0,0.0780702390200717,0,0,0.0208983707043137,-0.0384506921350605,0,0,0,0,0,0
X600809.SH,0,0.396625362601613,0,0,0.278131031261183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.099003638613156,0.0905554902976747,0,0,0,0.170459215693255,0,0.0184040501555652,-0.00917690256231889,0,0,0,0,0,0.0647158656448849,0,0.0630538836599738,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0034137187432139,0.0191718380762275,0,-0.0163243238190303,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,1.38777878078145e-17,0,0.0795580048345287,0,0,0,0,0,0.162517768611874,0,-0.271455351293645,0,0,0,0,0,0,0,0,0.0605535540640406,0,0,0,0,0,0,0,0.254531527245294,0,0.108890372063984,0,0.563900387678906,0,0,0,0.0865460035893208,0,0,0,0,0,-0.047147455107836,0.140692931735546,0,0,0,0,0,0
X000568.SZ,0,0.11190195669897,0.234929324493169,1.73472347597681e-18,0,0.197537359902469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333768084165945,0,0,0,0,-0.0128653395921996,0,0,0.0479381766483644,0,0,0,0,0,0,0,0,0,0,0,0,-0.0538688471280544,0,0,0,0,0,0,-0.112285230915447,0,0.017182062544187,0.0390882838532663,0,0,0,0,0,0
X002304.SZ,0.106853331579096,0,0,0.0331685845504708,0.142103806488952,0,0,0,0,0,0,0,0.126247879274301,0,0,0,0,0.271912541833653,0,0,0,0.083276723080281,0.0526848590592284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.229338969723545,0,0,0,0,0,0,0,0,0,-0.0212658634912591,0,0,0,0,-0.0639295634391233,0,0,0,0,0,0
X002475.SZ,0,0,0,0.0408299587641023,0,0,0,0,0,0.0633316197450998,0,0,0,0,0.124846101356834,0,0,0,0.42156215956973,0,0,0,0,0,0,0,0.00145758563900568,0,1.73472347597681e-18,0,0,0,0,0,0,0.0163117566602309,0,0,0,0,0,0.0511715905730464,0,0,0,0,0,0,0,0,0,0,0.0295590232753547,0,0,0,0,0,0
X600690.SH,0,0,0,0,0.0348642909403089,0,0,0,0,0,0.216407045417694,0,0.129426062788071,-0.0971944684153298,0,0.0193640300116873,0,0.1399691355462,0,0.0677647412119751,0,0,0.00441673643292041,0.218584629717378,0,0,0,0,0,0.0042601350597608,0,0,0,0,-0.0426181412207078,0,0,0,0,0,0,0,0,0.0595649488800317,0,0,0,0,-0.0392794772798536,0,0,-0.0295821519134573,0,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147559137862863,0,0,0.154147040860597,0,0,0,0,0,0,0,0,0,0.200344177718484,0,0.0216575461654152,0,0,0.0422078170629697,0,0,0,-1.73472347597681e-18,0,0,0.00926262650138236,0,0,0,0,0,0,0,0.033339846957965,-0.00974682725926867,0.011328539753033,-0.0512502659841095,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0.0597057724033771,0,0,0,0,-0.0643105345617218,0,0,0,0,0,0,0,0.126493737289457,0,0,0,0,0,0.131396317496397,0,0,0,0,0,0,0,0,0,0,0.160148465745254,0,0,0,0,-0.0251453641061446,0,0,0,0,0,0.0609488194060168,0.354783525921652,0,0.00808907674667068,0.0255514007094851,0,0,0,0,0,0
