,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X600276.SH,X000568.SZ,X600690.SH,X000651.SZ,X003816.SZ,X002475.SZ,X600104.SH,X300124.SZ,X002304.SZ,X000725.SZ,X000338.SZ,X002371.SZ,X000625.SZ,X000596.SZ,X600031.SH,X000063.SZ,X000100.SZ,X600089.SH,X300014.SZ,X002179.SZ,X000157.SZ,X600703.SH,X002236.SZ,X600372.SH,X002241.SZ,X600741.SH,X000661.SZ,X002129.SZ,X002049.SZ,X000977.SZ,X002463.SZ,X600584.SH,X002028.SZ,X601877.SH,X600522.SH,X000800.SZ,X601799.SH,X000921.SZ,X600066.SH,X600183.SH,X002223.SZ,X002007.SZ,X002074.SZ,X600177.SH,X002156.SZ,X002294.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.284513304028708,0.0763231632722169,0.136406315201313,0,0,0,0.132452949380646,0,0,0.0672180605021866,0,0,0,0,0,0,0,0,0,0.0706052440022983,0,-0.0246183799568381,0,0,0,0,0,0,0,0,-0.0324104252513859,0,0,0,0,0,0,0.133133809827369,0,0,0,0,0,0,0,-0.00632994216932513,-0.026826338312362,0,0.00809478059840699,-0.00757644688548564,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0.523569454004952,0,0,0,0,-0.0455175417525874,0,0,0,-0.0194590217094796,0,-0.0383218583791628,0,0,0.120162712045513,0,0,0.113352668085841,0,0,0,0.0032995810028286,0,0,0,0,0.0111352722890674,0,0.0203331147458487,0,0,0,0,0,0,0,-0.00864844906197151,-0.0467162809114849,0,0,0,0,0,0,0,0,0,0.00136720066928795,0,0,0,0,0,0
X002415.SZ,0.109567425696022,0.0753754138614365,0,0.00616068914251496,0,0.114749181453922,0,0,0,0,0,0.157466002124399,0.0342130151658206,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0.134353922751515,0,0,-1.73472347597681e-18,0,0.136172980564296,0,0,0,0,0.0350410688930322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0221300755827351,0.0133958007164569,0,0,0,0,0,0
X600809.SH,0,0,0,0,0,0.505173862242434,0,0,0,0,0,0.0047214908238803,8.67361737988404e-19,0,0,0,0,0.311854968768984,0,0,0,0,0.0361505488999981,0,0,0,0,0.110713881439976,0,0,0,0,0,0,0,0,0,0,0,0,0.0726648382029824,0,0,-0.0830430202035159,0,0,0,0,-0.0878019845472969,0,0,-0.0440458698666417,0.0301610026769641,0.091851212805997,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.151449215603073,0,0,0,0,0,0,0.102917149087322,0,0,0,0.0224505814460737,-0.0964011394007793,0,0.23179493018457,0,0,0,0.0819102008705632,0,0,0,0.0305870437793435,0,0.04291571593029,0,0.0971266886244098,0,0.187474819797851,0,0,0,0.0358056079173139,0,0,-0.00289846262415637,0,0.0507313855975558,0,0,0,0,0
X000568.SZ,0,0.656597554695295,0,0.302232037631959,0,0,0,0,0,0,0,0,0.0167840581367738,0,0,0,0,0,0,0,0.119939367367004,0,0,-0.0682479094777025,0,0,0,0,0,0,0,0.0303756435770405,0,0,0,0.0545806104541382,0,0,0,0,0,-0.00283945322795862,0,0,0,0,0,0,0,0,0,0,0.00896032299208125,0,0,0,0,0,0
X600690.SH,0,0,0,0.0310371208637596,0,0.116662997683739,0,0.0658702946801848,0,0,0,0,0,0,0.125203310452183,0,-0.0193945552810201,0,0,0,0,0,0.0244769310572727,0,0,0,0,0,0,0,0,0.0599821026258288,0,0,-0.0527221811492884,0,0,0,0,0,0,0.0659286301207307,0,-0.147673640536426,0,0,0,0,0,0,0.0853289132928962,-0.0226459147223377,0.0324495342700492,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,0,0,0.0486112602067646,0,0,0,0,0,0.114519593267542,0,0,0,0,0,0,-0.213647421492032,0,0.142998818821168,0,-0.0729603478755612,0,0,0,0,0.0863618661180597,0,0,0,0,0,0,0.112034052585735,0.419917713150399,0.0856667153581563,0,-0.081987230176531,0,0,0,0,0,0,0.191104621989307,-0.15222439165207,0.120593350172998,0,0,0,0,0
X003816.SZ,0,0,0,0,0,0,0,0,0,0.102921222145533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.217320550030659,0,-0.152182656255778,0.324638527834005,0,0,0,-0.200640051230924,0,-0.00259973816832133,-0.011525832420253,0,0,0,0,0,-0.00181849929938482,0.103101234456037,0,0,0,0.133437236474913,0,0,-0.0587138468140566,0,0,-0.028966860776556,0,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.0699023380500274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.446440093724476,0,0,0,0,-0.174008469725687,0,0,0,0,0,0,0,0,-0.0285016702920283,0.0364501479431525,0,0,0,0,0.0119976113867291,0.224055515478473,0,-0.0371531174648537,0.0101620749368966,0,0,0,0,0,0
