,X600519.SH,X600104.SH,X002415.SZ,X600276.SH,X000858.SZ,X000651.SZ,X002304.SZ,X000725.SZ,X600690.SH,X000063.SZ,X002475.SZ,X600031.SH,X600703.SH,X600741.SH,X000568.SZ,X000338.SZ,X300003.SZ,X600271.SH,X601877.SH,X002008.SZ,X002456.SZ,X002236.SZ,X600487.SH,X300124.SZ,X600809.SH,X000596.SZ,X600867.SH,X000661.SZ,X000100.SZ,X600066.SH,X300136.SZ,X000625.SZ,X000977.SZ,X300142.SZ,X600566.SH,X002179.SZ,X600498.SH,X002007.SZ,X002294.SZ,X000157.SZ,X002241.SZ,X002180.SZ,X600522.SH,X300146.SZ,X002049.SZ,X000869.SZ,X600177.SH,X600089.SH,X002371.SZ,X002506.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0.344918626639023,0,0,0,0,0,0.0186553351073758,0,0,0,0,0,0.0993098080346143,0,0,0.0594938660519218,0,0.00343620590537222,0,0,0,0,0,0,0,0,0,0,0,0.0299626943876375,0,0,0,0,0,0,0.0842442587654782,0,0,0,0,0,0,0,0,0,0,0.00363053169576041,0.00201837069910846,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,-0.00390960598894808,0.0334924447088077,0,0,0.580003530337595,0.275711675507388,0.0246610327367961,-0.112311390481006,0,0,0,0,0,-0.0839217646061238,0,0,0,0.0894619450075946,0,0,0,0,0,0,-0.0670436049066115,0,0,-0.0176524208555908,0,0,0,0,0,-0.0464101884230726,0,0,0,0,0,0.00576911616031364,0,0.00301487473814194,0.0203280918012525,0.0231208145031146,0,0,0,0,0,0
X002415.SZ,0,0,0,0.0535626063357803,0,0,0.168603970879332,0,0,0,0,0,0,0,0,0.0137552132301053,0,0,0,0.0505229685133653,0,0.352561168772811,0.119856774930724,0,0,0.0158406176405397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0187459658778048,0,0,0,0,0,0,0,0,0,0.000197023438592531,0.0163694550123046,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,-0.0920453967874618,0,0,0,0,0.0136865921831312,0,0.208815095266558,0,0,0,0,0,0,0,0,0.0158212299170775,0,0.0470776256880623,0,0,0,0,0,0,0.117663677161179,0.0700678349201628,0,0.109975583092019,0.441906388981914,0,0,0,0,0.160804931752117,0,0,0,0,0,0,0.0739311025270481,0.0283637676394627,0.0253761383359607,0,0,0,0,0,0
X000858.SZ,0.107161724395334,0,0,0,0,0,0.290334247462043,0,0.143394518645527,4.33680868994202e-19,0,0,0,0,0.219580693880234,0,0,0,0,-3.46944695195361e-18,0,0.0470447097102011,0,0,0,0.0148995521443663,0,0,0,0,0,0,0,0.0731326027040367,0,0,0,0,0.00373097788097216,0,0,0,0,0,0,0,0,0,-0.023245226138707,0,0,0.00630579101998855,1.0842021724855e-19,0,0,0,0,0,0
X000651.SZ,0.191268859513913,0,0,0,0,0,0,0,0.0416680390927568,0,0,0,0.0945583802959128,0,0,0.137805176061571,0,0,0,0.182022254160598,0.0254432640193069,0,0,0,0.016626563656861,0.0434904076972688,0,0,0,0,0.0203626238623981,0,0,0,0,0,0,-0.0157289978278294,0,0,0,0,0.0318969318966782,0,0,0,0,0,0,0,0,0.0154063944814466,0.0168133017125087,0,0,0,0,0,0
X002304.SZ,0,0,0,0.120722771131194,0.745550900626849,0,0,0,0,-0.112879084084597,0,0,0,0,0.214488493166274,0,0.0138761557468927,0.0816538874271597,0.0237694572013398,0,0,0,0,0.0714414361162437,0,0.0316557325392682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.115280708252075,0,0,0,0,0,0,0,0,-0.0129939288058607,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0.00629696432630933,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0.0818881982042017,0.0834795952122635,0,0,0,0,0,0.440354281227688,0,0,0,0.00381210867054656,0,0,0,0.0280721322949514,0,0,0,0,0,0.462649855168799,0.0180715445357336,0,0,0,0,0,0,0,-0.00128629402173908,0.022862576281873,0,0,0,0,0,0
X600690.SH,0,0,0,0,0.301771443907368,0.292600031311802,0,0,0,-0.124097893692021,0.152323079100337,0,0,0,0,0,0,0,0,0,0.0820844500294057,0.0819339601622273,0,0,0,0,0.135922929653453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0243349338504325,0,0,0.0139675884381835,0.00333037962975905,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.232532253323505,0,0,0,0,0,0,0,0.208667538500333,0,0,0,0,0,0,0,0,0,0.215586125984123,0,0,0,0.13346507624578,0,0.0729000602602001,0,0,0,0,0,0,0.0235700321383403,0,0,0,0,0.219788816270115,0,-0.142602333582685,0.0775309765067204,-0.0435553435791088,0,0,0,0,0,0
