,X600519.SH,X000858.SZ,X600276.SH,X002475.SZ,X002415.SZ,X000651.SZ,X600104.SH,X600031.SH,X000568.SZ,X002304.SZ,X000725.SZ,X600809.SH,X000063.SZ,X600690.SH,X003816.SZ,X000661.SZ,X002241.SZ,X000338.SZ,X600703.SH,X000596.SZ,X300124.SZ,X000100.SZ,X300014.SZ,X002007.SZ,X600741.SH,X300142.SZ,X002371.SZ,X000625.SZ,X002129.SZ,X002049.SZ,X601877.SH,X000157.SZ,X002236.SZ,X000800.SZ,X002414.SZ,X300003.SZ,X600584.SH,X300136.SZ,X600183.SH,X002179.SZ,X000066.SZ,X000977.SZ,X601799.SH,X600118.SH,X002456.SZ,X002185.SZ,X002008.SZ,X000050.SZ,X002294.SZ,X600066.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0,0,0,0,0.215558220656982,0,0,0.260128706850626,0,0,0,0,0,0,0.0377638440466474,0.00720000460206653,0,0,0,0,0,0,0,0,0,0.0196454020093847,0,0,0.0277684864714748,0,0,0,0.062680943257921,0,0,0,0,0,0,0,0,0,0,0,0.0592900193060695,0,0,0.00582369722711779,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0,0,0,0.282815309783444,0,0.398397726401647,0,0,0,0,0.0785865565015415,0,0,0.00818911078084578,0,0,0,0,0,0,0,0,0,0.0246343707185648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0360441455503977,0,0,0,-3.46944695195361e-18,0,0,0.0454888018143966,0.0416425185834662,0,0,0,0,0,0
X600276.SH,0.0242788038882121,0,0,0,0,0,0,0,-3.46944695195361e-18,0.196675837454826,0,0,0,0,0,0,0,-0.123147061541532,0,0,0,0,0,0.0758125880621079,0,0,0,0,0,0,0,0,0.0440731336299012,0,0.0122974818314151,0.0512406519412826,0,0.015977999945131,-0.0241142297770758,0,0,0,0.126222997653226,0,0,0,0,0,0.119315543311776,0,0,0,0,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.326205185598703,0,0,0,0,0.0587642288665566,0,0,0,0,0,0,0.0776099632044054,0,0.021864302299321,0,0,0,0,0,0.0632760506455142,0,0,0,0,0,0.0223614533626073,0.0207048072469658,0,0.0760569242916984,0,0.0881461369933896,0.054714325268735,0,0,0.00027519619037315,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0.0969776981171099,0,0,0,0,0,0,0,0,0,0.0672976144526676,0,0,0,0,0.0368877398120363,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0.0606277999044016,0,0,0.154279444955585,0,0,0,0,0.0429678448999376,0,0.0819283442820729,0,0,0,0,0,0,0,0,0,0,0,0,0.0166097788038083,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0.0184421667974837,0,0,0,0,0.0640032637289307,0,0,0,0,0,0,0.0085397956084746,0.0229365942648937,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0.138124832859465,-0.025790726685161,0.0455977067798275,0,0,0,0,0,0,0,0,0,0,0,0,0.0796297422439481,0,0.0877839679422478,0,0,0,0,-0.0637493417518701,-0.0170140994130995,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0.0658998533277963,0,0,0,0,0,0,0,0,-0.000430493304631307,0.0696714400319975,0.0705004559002477,0,0,0,-0.0757469605040688,0,0.0970793365305212,0,0.151559936933266,0,0,0,0,0,0.0846509570572275,0.079123715363639,0,0,1.73472347597681e-18,0,0,0,0.00574608321448494,0,0,0,0,0,0,0,0,0,0,-0.0231554309706945,0.0108463071841072,0,0,0,0,0,0
X600031.SH,0,0,0,0,0,0,0,0,0,0.0350700092192132,0,0,0,0,0,0,0,0.442956180853471,0,0,0,0,0,0,0.0695709251921861,0,0,0,0.0209965821490487,0,0,0.291802314436831,0,0,-0.0124950861094134,0,0,0.00883253052544172,0,0,-0.040572522643796,0,0,0,0,0,-0.0301093051805501,0,0,0,0,-0.00774163091083246,0.0347669824795363,0,0,0,0,0,0
X000568.SZ,0,0.287140851087749,0,0,0,0,-0.112178168744273,-0.234893736199056,0,0.536214693392123,0,0.0186682405389644,0,0,0,0,0.0963679496508502,0,0,0.0832477333470504,0,0,0,0.0569323696284025,-0.0605807050330261,0,0,0,0,0,0,0,-0.0288652964526524,0,0.0244467126904779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X002304.SZ,0,0.118923981098996,0,0,0.128698980906829,0,0,0,0.304994061197196,0,0,0.213603033717418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.109978977176602,0,-0.0228258026434463,0,0,0,0,0,0,0,0,0.0417752279630918,0,0,0,-0.0477667607857042,-3.46944695195361e-18,0,0,0,0,0.0384383671293504,0,0,0.0212195717847515,0,0,0,0,0,0
